Track file,C:\Users\tiago\rat_navigation\data\ethovision\exp nestle 3_0003\data\track_00106.trk,,,,,,,
Object,0,,,,,,,
Samples,46,,,,,,,
treatment,2,,,,,,,
cage,41,,,,,,,
mark,1,,,,,,,
id,73,,,,,,,
trial,2,,,,,,,
date,32:15.0,yyyy-MM-dd HH:mm:ss,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,93.21,18.09,428,344,s ext,81.98,-
2,0.2,84.48,18.47,556,400,s ext,78.47,8.74
3,0.4,76.09,21.06,668,432,south,73.59,8.78
4,0.6,67.15,24.34,724,624,south,68.71,9.52
5,0.8,59.36,26.7,644,584,south,65.67,8.15
6,1,52.6,28.3,672,588,south,64.15,6.94
7,1.2,47.26,30.11,704,648,south,62.93,5.64
8,1.4,45.97,33.86,716,612,south,59.44,3.97
9,1.6,46.4,38.29,652,600,south,55,4.45
10,1.8,49.23,44.25,648,620,south,48.65,6.59
11,2,54.25,52.37,712,648,south,40.03,9.55
12,2.2,60.32,61.4,764,700,south,31.14,10.87
13,2.4,64.53,69.44,752,660,west,23.84,9.08
14,2.6,67.73,76.42,892,636,west,18.33,7.68
15,2.8,69.34,81.32,764,528,west,14.85,5.17
16,3,70.7,86.91,900,520,west,11.41,5.75
17,3.2,72.28,92.65,884,480,west,9.25,5.95
18,3.4,72.89,95.83,876,560,west,8.58,3.24
19,3.6,75.19,100.1,892,608,west,9.88,4.85
20,3.8,77.98,103.47,952,556,west,12.63,4.37
21,4,81.37,105.95,1024,664,west,16.31,4.2
22,4.2,84.08,108.18,1004,556,west,19.37,3.51
23,4.4,87.51,109.71,948,608,west,23.07,3.76
24,4.6,89.59,111.71,912,636,west,25.62,2.89
25,4.8,90.29,114.22,940,604,north,27.06,2.61
26,5,90.98,116.71,888,588,north,28.54,2.59
27,5.2,89.84,118.54,1020,492,north,28.24,2.15
28,5.4,88.64,120.4,960,628,north,28.07,2.22
29,5.6,87.08,121.06,936,608,north,27.1,1.69
30,5.8,84.36,121.16,928,472,north,24.94,2.72
31,6,82.12,119.99,988,452,north,22.44,2.53
32,6.2,78.42,117.54,1088,668,west,18,4.44
33,6.4,73.9,115.67,1000,720,west,13.26,4.89
34,6.6,69.81,114.32,892,596,west,9.14,4.31
35,6.8,65.44,113.61,876,616,west,5.57,4.42
36,7,62.35,112.76,828,544,platform larger,3.13,3.21
37,7.2,58.98,109.81,824,564,platform,0,4.48
38,7.4,57,105.59,784,528,platform,0,4.67
39,7.6,57.31,103.59,820,340,platform,0,2.02
40,7.8,57.16,104.59,784,164,platform,0,1.01
41,8,58.53,104.81,792,200,platform,0,1.39
42,8.2,58.37,105.78,792,216,platform,0,0.99
43,8.4,57.69,105.69,820,116,platform,0,0.69
44,8.6,57.52,106.68,784,156,platform,0,1.01
45,8.8,58.37,105.78,776,152,platform,0,1.24
46,9,58.37,105.78,748,380,platform,0,0
