Track file,C:\Users\tiago\rat_navigation\data\ethovision\exp nestle 3_0003\data\track_00013.trk,,,,,,,
Object,0,,,,,,,
Samples,48,,,,,,,
treatment,2,,,,,,,
cage,32,,,,,,,
mark,2,,,,,,,
id,102,,,,,,,
trial,1,,,,,,,
date,28/07/2009 09:01,yyyy-MM-dd HH:mm:ss,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,214.85,222.22,332,408,n ext,189.91,-
2,0.2,208.65,216.47,396,400,n ext,181.51,8.45
3,0.4,203.02,211.49,528,300,n ext,174.02,7.52
4,0.6,195.72,205.4,608,344,n ext,164.53,9.51
5,0.8,188.41,199.15,632,504,n ext,154.94,9.62
6,1,185.23,196.64,680,320,n ext,150.9,4.05
7,1.2,176.04,188.98,728,472,north,138.96,11.97
8,1.4,170.88,184.87,700,316,north,132.38,6.59
9,1.6,165,180.86,700,320,north,125.25,7.12
10,1.8,160.13,177.25,728,260,north,119.19,6.06
11,2,157.29,175.49,804,212,north,115.86,3.34
12,2.2,153.06,172.99,736,308,north,110.97,4.91
13,2.4,145.42,167.7,748,556,north,101.68,9.29
14,2.6,142.42,165.59,700,568,north,98.02,3.66
15,2.8,139.22,162.84,776,436,north,93.81,4.22
16,3,135.66,158.76,812,420,north,88.54,5.41
17,3.2,131.01,153.63,824,524,north,81.76,6.92
18,3.4,126.82,148.79,888,576,north,75.55,6.41
19,3.6,122.06,143.84,996,596,north,68.84,6.87
20,3.8,118.66,138.91,924,576,north,63.34,5.98
21,4,114.86,134.58,912,564,north,57.87,5.76
22,4.2,110.66,130.94,948,596,north,52.43,5.56
23,4.4,106.79,128.21,1016,548,north,47.73,4.73
24,4.6,101.71,125.5,1044,724,north,41.98,5.75
25,4.8,96.85,123.76,980,712,north,36.87,5.17
26,5,91.52,122.28,1032,708,north,31.5,5.53
27,5.2,87.08,121.06,1040,600,north,27.1,4.6
28,5.4,82.32,121.29,1016,600,north,23.36,4.76
29,5.6,79.19,120.88,1052,724,north,20.58,3.16
30,5.8,75.81,121.23,988,608,west,18.22,3.39
31,6,70.76,122.63,912,748,west,16.01,5.25
32,6.2,67.33,123.19,928,456,west,14.48,3.48
33,6.4,63.87,123.81,924,436,west,13.62,3.51
34,6.6,61.46,123.43,888,500,west,12.68,2.44
35,6.8,58.34,123.12,892,444,west,11.88,3.13
36,7,56.62,120.59,896,468,west,9.4,3.05
37,7.2,54.44,116.82,824,504,platform larger,5.95,4.36
38,7.4,53.2,113.7,828,532,platform larger,3.46,3.36
39,7.6,53.69,108.33,780,424,platform,0,5.39
40,7.8,55.09,104.23,832,444,platform,0,4.33
41,8,56.18,101.3,812,348,platform,0,3.13
42,8.2,55.48,101.14,832,220,platform,0,0.71
43,8.4,55.48,101.14,872,272,platform,0,0
44,8.6,54.89,99.95,852,228,platform,0,1.34
45,8.8,55.68,99.1,864,204,platform,0,1.16
46,9,55.13,96.86,896,208,platform,0,2.31
47,9.2,55.76,98.09,928,136,platform,0,1.38
48,9.4,56.46,98.28,872,224,platform,0,0.72
