Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0002\data\track_00107.trk,,,,,,,
Object,0,,,,,,,
Samples,116,,,,,,,
treatment,2,,,,,,,
cage,41,,,,,,,
mark,1,,,,,,,
id,73,,,,,,,
trial,3,,,,,,,
date,11:15.0,yyyy-MM-dd HH:mm:ss,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,218.19,225.54,340,344,n ext,194.57,-
2,0.2,222.19,229.6,512,428,n ext,200.21,5.7
3,0.4,219.17,226.76,544,408,n ext,196.1,4.14
4,0.6,211.73,220.28,536,520,n ext,186.25,9.87
5,0.8,200.3,210.87,628,460,n ext,171.47,14.8
6,1,188.17,201.54,572,472,n ext,156.16,15.31
7,1.2,178.03,194.41,588,432,n ext,143.77,12.4
8,1.4,165.39,185.44,676,464,north,128.27,15.51
9,1.6,150.5,176.09,676,608,north,110.76,17.58
10,1.8,138.33,169.87,784,660,north,97.35,13.67
11,2,126.74,164.92,760,656,north,85.29,12.6
12,2.2,114.3,162.32,764,668,north,74.48,12.71
13,2.4,107.24,162.57,764,528,north,69.92,7.06
14,2.6,100.15,162.55,672,396,north,65.56,7.09
15,2.8,91.6,162.98,644,572,north,61.09,8.56
16,3,88.16,161.5,676,368,north,58.08,3.74
17,3.2,82.72,159.57,788,496,north,53.87,5.77
18,3.4,78.63,156.39,776,532,north,49.31,5.18
19,3.6,73.88,152.31,788,708,north,43.81,6.27
20,3.8,70.57,147.72,828,712,north,38.44,5.66
21,4,68.05,143.19,888,844,north,33.41,5.18
22,4.2,65.72,137.97,852,860,north,27.79,5.71
23,4.4,62.82,134.03,812,832,west,23.3,4.9
24,4.6,58.63,129.92,816,892,west,18.69,5.86
25,4.8,53.32,125.93,800,832,west,15.06,6.65
26,5,48.11,121.63,832,816,west,12.86,6.76
27,5.2,43.27,115.94,772,740,west,12.39,7.47
28,5.4,39.17,110.36,764,704,west,13.83,6.92
29,5.6,34.8,108.28,728,620,west,17.54,4.84
30,5.8,30.05,112.21,656,536,west,23.13,6.17
31,6,25.47,118.36,604,468,west,29.28,7.66
32,6.2,22.54,126.79,612,384,w ext,35.65,8.93
33,6.4,18.11,140.68,620,456,w ext,47.36,14.58
34,6.6,15.77,152.13,640,500,w ext,56.92,11.68
35,6.8,13.45,161.34,584,440,w ext,65.39,9.5
36,7,12.31,170.02,584,584,w ext,73,8.76
37,7.2,14.73,172.12,660,516,west,73.37,3.19
38,7.4,18.1,172.83,680,628,west,72.2,3.45
39,7.6,23.6,170.88,696,584,west,67.85,5.83
40,7.8,28.41,169.93,732,700,north,64.91,4.91
41,8,33.5,167.72,748,616,north,60.96,5.54
42,8.2,37.95,166.7,784,572,north,58.47,4.57
43,8.4,43.03,166.17,740,596,north,56.58,5.11
44,8.6,50.31,163.88,756,536,north,53.06,7.63
45,8.8,55.72,162.96,752,476,north,51.77,5.49
46,9,62.11,161.45,720,480,north,50.38,6.56
47,9.2,69.28,159.54,708,508,north,49.6,7.42
48,9.4,77.44,156.56,692,528,north,49.03,8.69
49,9.6,84.88,152.85,788,488,north,48.94,8.31
50,9.8,93.34,148.33,756,600,north,50.1,9.6
51,10,98.77,144.44,784,564,north,50.86,6.68
52,10.2,104.78,139.17,844,692,north,52.03,7.99
53,10.4,107.98,134.66,896,716,north,52.03,5.53
54,10.6,111.47,129.93,956,788,north,52.68,5.88
55,10.8,115.91,125.77,992,788,north,55.06,6.08
56,11,119.14,121.33,968,872,north,56.69,5.49
57,11.2,121.51,116.39,880,760,east,57.69,5.49
58,11.4,123.97,111.02,848,728,east,59.21,5.9
59,11.6,126.07,104.93,824,712,east,60.72,6.44
60,11.8,128.01,98.17,780,612,east,62.72,7.04
61,12,129.74,91.67,812,568,east,64.97,6.72
62,12.2,131.35,84.87,764,664,east,67.75,6.99
63,12.4,132.23,79.71,756,512,east,69.93,5.23
64,12.6,131.66,75.76,760,436,east,70.65,4
65,12.8,131.13,70.38,800,640,south,72.09,5.4
66,13,130.3,66.06,808,520,south,73.05,4.4
67,13.2,127.78,62.39,728,592,south,72.46,4.46
68,13.4,124.7,61.08,732,452,south,70.43,3.35
69,13.6,121.71,58.9,704,484,south,69.03,3.7
70,13.8,118.1,57.45,652,444,south,66.87,3.89
71,14,114.18,55.86,672,396,south,64.72,4.23
72,14.2,110.71,54.76,624,376,south,62.74,3.63
73,14.4,107.05,53.52,616,400,south,60.75,3.87
74,14.6,102.09,52.11,624,360,south,58.18,5.15
75,14.8,97.85,51.23,632,352,south,56.01,4.33
76,15,91.21,49.88,660,380,south,53.12,6.77
77,15.2,84.37,48.76,636,472,south,50.52,6.93
78,15.4,78.57,47.41,656,324,south,49.27,5.96
79,15.6,71.48,45.26,704,432,south,49,7.4
80,15.8,63.03,42.02,668,500,south,50.69,9.06
81,16,54.77,38.75,696,516,south,53.61,8.88
82,16.2,45.46,33.02,592,456,south,60.36,10.94
83,16.4,38.95,28.96,548,324,south,65.8,7.67
84,16.6,32.99,24.49,608,316,south,71.86,7.45
85,16.8,28.21,20.67,516,284,south,77.11,6.12
86,17,21.08,14.59,564,288,south,85.5,9.37
87,17.2,19.01,13.33,516,264,south,87.52,2.43
88,17.4,13.82,8.86,492,232,south,93.83,6.85
89,17.6,10.29,6.21,540,272,s ext,97.82,4.41
90,17.8,6.27,3.19,528,332,s ext,102.41,5.04
91,18,5.73,3.54,472,320,s ext,102.36,0.65
92,18.2,4.38,2.85,456,288,s ext,103.63,1.52
93,18.4,6.41,5.85,508,324,s ext,100.03,3.62
94,18.6,7.87,7.98,532,248,south,97.44,2.59
95,18.8,11.08,12.53,500,288,west,91.91,5.56
96,19,13.28,16.01,420,280,west,87.8,4.11
97,19.2,17.31,21.97,520,324,west,80.63,7.19
