Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00059.trk
Object,0
Samples,450
rat,65,
trial,3,
comment,,
Status,Acquired,
Trial duration,0000:00:01:30.000,dd:HH:mm:ss
Tracking profile,Tracking profile (1),
Arena,wm trial,
Track file,track_00059.trk,
Object,0,
Arena profile,wm learning ,
Start date & time,2008-01-17 13:03:00.701,yyyy-MM-dd HH:mm:ss
Stop date & time,2008-01-17 13:04:30.701,yyyy-MM-dd HH:mm:ss
Trial number,1,
Mobility low,20,
Mobility high,60,
Movie file,,
Maximum voltage x,0,
Maximum voltage y,0,
Mobility running av,1,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,108.08,174.39,420.00,300.00,north,79.48,-
2,0.20,107.04,168.42,472.00,348.00,north,74.63,6.06
3,0.40,106.87,163.55,544.00,336.00,north,71.31,4.88
4,0.60,107.43,157.31,524.00,460.00,north,67.98,6.26
5,0.80,108.76,151.33,540.00,464.00,north,65.81,6.13
6,1.00,110.86,146.31,580.00,440.00,north,65.10,5.44
7,1.20,112.97,142.11,572.00,416.00,north,65.16,4.70
8,1.40,115.87,139.54,584.00,460.00,north,66.87,3.87
9,1.60,119.54,137.85,576.00,424.00,north,69.76,4.04
10,1.80,122.53,137.57,576.00,320.00,north,72.52,3.00
11,2.00,125.52,137.32,640.00,328.00,north,75.31,3.01
12,2.20,128.48,136.31,580.00,388.00,north,77.88,3.12
13,2.40,129.96,135.80,596.00,392.00,north,79.17,1.56
14,2.60,131.44,135.30,644.00,504.00,east,80.48,1.56
15,2.80,132.76,132.44,632.00,356.00,east,81.13,3.15
16,3.00,132.55,129.32,636.00,420.00,east,80.30,3.12
17,3.20,132.27,124.69,692.00,432.00,east,79.25,4.64
18,3.40,131.22,119.26,632.00,444.00,east,77.66,5.53
19,3.60,129.53,114.61,656.00,456.00,east,75.79,4.95
20,3.80,127.17,110.02,740.00,388.00,east,73.44,5.17
21,4.00,125.59,105.56,692.00,416.00,east,72.14,4.73
22,4.20,124.04,100.46,692.00,584.00,east,71.27,5.34
23,4.40,124.62,94.69,676.00,552.00,east,72.93,5.79
24,4.60,125.21,88.89,688.00,524.00,east,74.98,5.84
25,4.80,126.52,82.98,664.00,552.00,east,78.11,6.05
26,5.00,128.53,77.64,624.00,520.00,east,81.98,5.71
27,5.20,130.58,75.18,572.00,540.00,east,84.85,3.19
28,5.40,134.00,72.48,600.00,436.00,east,89.09,4.36
29,5.60,136.75,71.32,608.00,344.00,east,92.08,2.99
30,5.80,139.51,70.10,620.00,276.00,east,95.10,3.02
31,6.00,142.29,69.63,588.00,280.00,east,97.82,2.82
32,6.20,143.69,69.38,556.00,232.00,east,99.19,1.42
33,6.40,144.37,68.44,516.00,240.00,east,100.20,1.17
34,6.60,147.89,68.58,532.00,600.00,east,103.35,3.53
35,6.80,150.08,70.69,512.00,540.00,east,104.54,3.04
36,7.00,152.34,73.70,568.00,288.00,east,105.54,3.76
37,7.20,154.00,78.61,568.00,344.00,east,105.51,5.18
38,7.40,154.98,83.68,576.00,344.00,east,105.04,5.17
39,7.60,156.07,89.66,552.00,368.00,east,104.74,6.08
40,7.80,156.41,94.86,568.00,352.00,east,104.12,5.21
41,8.00,156.91,101.81,544.00,448.00,east,103.68,6.97
42,8.20,155.94,108.70,600.00,464.00,east,102.23,6.96
43,8.40,154.21,115.41,612.00,428.00,east,100.47,6.93
44,8.60,151.79,122.73,624.00,516.00,east,98.43,7.71
