Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0002\data\track_00017.trk
Object,0
Samples,146
rat,50,
trial,1,
date,2008-01-16 11:02:26.000,yyyy-MM-dd HH:mm:ss
Status,Acquired,
Trial duration,0000:00:00:29.200,dd:HH:mm:ss
Tracking profile,Tracking profile (1),
Arena,wm trial,
Track file,track_00017.trk,
Object,0,
Arena profile,wm learning ,
Start date & time,2008-01-16 11:04:05.961,yyyy-MM-dd HH:mm:ss
Stop date & time,2008-01-16 11:04:35.161,yyyy-MM-dd HH:mm:ss
Trial number,1,
Mobility low,20,
Mobility high,60,
Movie file,,
Maximum voltage x,0,
Maximum voltage y,0,
Mobility running av,1,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,73.30,186.83,456.00,500.00,n ext,-,70.69
2,0.20,66.97,189.60,352.00,416.00,n ext,6.91,71.41
3,0.40,63.77,192.05,332.00,300.00,n ext,4.03,72.97
4,0.60,59.72,195.76,192.00,268.00,n ext,5.49,75.81
5,0.80,58.89,196.89,148.00,116.00,n ext,1.41,76.80
6,1.00,58.80,198.74,144.00,92.00,n ext,1.85,78.61
7,1.20,62.87,194.94,264.00,240.00,n ext,5.56,75.60
8,1.40,63.55,197.50,144.00,280.00,n ext,2.64,78.24
9,1.60,65.20,195.31,128.00,200.00,n ext,2.74,76.47
10,1.80,69.07,197.27,124.00,220.00,n ext,4.34,79.36
11,2.00,71.47,196.88,236.00,232.00,n ext,2.42,79.68
12,2.20,73.85,197.47,240.00,220.00,n ext,2.45,80.93
13,2.40,80.27,199.66,72.00,224.00,n ext,6.78,85.15
14,2.60,-,-,-,-,-,-,-
15,2.80,-,-,-,-,-,-,-
16,3.00,-,-,-,-,-,-,-
17,3.20,-,-,-,-,-,-,-
18,3.40,133.48,210.26,208.00,-,n ext,-,122.99
19,3.60,139.58,209.97,324.00,284.00,n ext,6.11,126.93
20,3.80,150.14,210.10,356.00,472.00,n ext,10.56,134.57
21,4.00,161.43,209.08,300.00,560.00,n ext,11.34,142.38
22,4.20,169.08,207.28,352.00,428.00,n ext,7.86,147.25
23,4.40,176.54,204.37,360.00,456.00,n ext,8.00,151.58
24,4.60,183.76,200.19,312.00,480.00,e ext,8.35,155.32
25,4.80,188.52,192.31,344.00,496.00,e ext,9.21,155.30
26,5.00,192.23,183.59,344.00,456.00,e ext,9.47,154.53
27,5.20,193.52,171.32,432.00,536.00,e ext,12.34,150.75
28,5.40,192.95,158.18,416.00,544.00,e ext,13.16,145.88
29,5.60,192.32,143.95,428.00,572.00,e ext,14.24,141.79
30,5.80,190.95,129.57,436.00,568.00,e ext,14.45,138.09
31,6.00,187.91,114.04,512.00,628.00,e ext,15.82,134.15
32,6.20,185.21,98.95,524.00,676.00,e ext,15.33,132.12
33,6.40,181.93,83.24,552.00,692.00,e ext,16.05,131.37
34,6.60,178.52,71.23,536.00,664.00,e ext,12.49,131.11
35,6.80,175.28,57.57,536.00,648.00,e ext,14.04,132.86
36,7.00,170.97,45.85,504.00,640.00,e ext,12.48,134.15
37,7.20,166.34,36.87,508.00,620.00,e ext,10.11,134.80
38,7.40,160.59,29.89,500.00,576.00,e ext,9.04,133.95
39,7.60,154.37,26.33,496.00,588.00,e ext,7.16,131.15
40,7.80,145.56,25.84,456.00,688.00,s ext,8.82,124.72
41,8.00,136.77,29.28,524.00,692.00,s ext,9.44,115.89
42,8.20,127.27,33.76,600.00,724.00,south,10.50,105.93
43,8.40,118.38,37.93,648.00,768.00,south,9.81,96.72
44,8.60,109.41,42.82,640.00,816.00,south,10.22,87.04
45,8.80,101.05,49.23,680.00,920.00,south,10.54,76.72
46,9.00,96.15,56.72,612.00,812.00,south,8.94,67.85
47,9.20,94.07,64.80,680.00,772.00,south,8.34,60.51
48,9.40,93.37,72.73,692.00,692.00,south,7.96,54.57
49,9.60,93.36,80.51,792.00,716.00,south,7.78,49.85
50,9.80,93.31,89.51,816.00,848.00,south,9.00,45.07
51,10.00,93.25,98.38,872.00,856.00,south,8.87,41.63
52,10.20,94.57,108.58,832.00,1000.00,north,10.28,40.97
53,10.40,96.63,118.16,860.00,932.00,north,9.80,43.09
54,10.60,99.49,128.64,856.00,996.00,north,10.87,47.89
55,10.80,102.49,138.79,716.00,916.00,north,10.58,54.24
56,11.00,106.41,148.76,708.00,808.00,north,10.71,62.45
57,11.20,109.75,157.66,612.00,832.00,north,9.51,70.08
58,11.40,109.29,165.54,552.00,732.00,north,7.90,74.44
59,11.60,106.31,169.95,536.00,568.00,north,5.32,75.13
60,11.80,100.12,174.07,576.00,496.00,north,7.44,73.77
61,12.00,93.06,177.64,560.00,512.00,north,7.91,72.15
62,12.20,86.76,180.83,584.00,536.00,north,7.07,71.19
63,12.40,80.41,185.30,520.00,560.00,n ext,7.76,72.04
64,12.60,76.38,189.99,404.00,492.00,n ext,6.18,74.74
65,12.80,74.74,192.84,240.00,364.00,n ext,3.28,76.83
66,13.00,74.69,195.55,184.00,256.00,n ext,2.71,79.37
67,13.20,82.72,197.71,300.00,364.00,n ext,8.32,84.28
68,13.40,89.24,195.89,364.00,368.00,n ext,6.77,85.48
69,13.60,95.74,192.68,424.00,476.00,n ext,7.25,86.00
70,13.80,102.16,188.09,508.00,532.00,n ext,7.89,85.98
71,14.00,110.85,181.76,532.00,704.00,north,10.76,86.68
72,14.20,118.61,175.81,596.00,776.00,north,9.77,88.19
73,14.40,126.95,168.75,628.00,808.00,north,10.93,90.54
74,14.60,133.52,161.44,640.00,812.00,north,9.82,92.24
75,14.80,139.73,151.60,656.00,920.00,north,11.64,93.49
76,15.00,145.02,141.39,660.00,916.00,east,11.50,95.17
77,15.20,150.23,130.87,656.00,908.00,east,11.74,97.96
78,15.40,154.60,119.73,680.00,896.00,east,11.96,101.02
79,15.60,160.58,108.99,656.00,888.00,east,12.29,106.86
80,15.80,165.06,98.24,604.00,812.00,east,11.65,112.19
81,16.00,169.94,91.47,492.00,744.00,east,8.35,118.03
82,16.20,174.29,87.20,452.00,600.00,east,6.09,123.09
83,16.40,180.06,80.35,392.00,628.00,e ext,8.96,130.18
84,16.60,182.07,75.77,372.00,372.00,e ext,5.00,133.26
85,16.80,184.70,68.70,372.00,352.00,e ext,7.54,137.77
86,17.00,183.95,59.00,340.00,512.00,e ext,9.73,140.32
87,17.20,181.15,52.30,388.00,392.00,e ext,7.26,140.36
88,17.40,176.15,44.67,484.00,472.00,e ext,9.12,139.27
89,17.60,170.01,39.15,496.00,540.00,e ext,8.26,136.69
90,17.80,162.75,35.63,452.00,588.00,e ext,8.07,132.48
91,18.00,153.69,35.06,488.00,620.00,e ext,9.08,125.33
92,18.20,145.50,34.86,528.00,632.00,e ext,8.20,118.90
93,18.40,136.71,35.37,544.00,680.00,south,8.80,111.78
94,18.60,127.90,37.80,524.00,756.00,south,9.13,103.60
95,18.80,119.72,41.81,556.00,720.00,south,9.11,94.91
96,19.00,112.84,47.35,580.00,744.00,south,8.83,86.12
97,19.20,108.00,54.57,664.00,700.00,south,8.69,77.61
98,19.40,104.53,61.38,660.00,772.00,south,7.65,70.43
99,19.60,103.13,67.97,688.00,780.00,south,6.73,65.13
100,19.80,103.80,73.71,676.00,852.00,south,5.78,62.30
101,20.00,107.92,77.23,648.00,668.00,south,5.42,63.85
102,20.20,114.10,79.22,692.00,628.00,south,6.49,68.26
103,20.40,120.29,81.12,764.00,680.00,east,6.48,73.04
104,20.60,127.90,82.16,652.00,664.00,east,7.67,79.69
105,20.80,134.87,82.39,620.00,624.00,east,6.97,86.16
106,21.00,140.44,80.31,564.00,616.00,east,5.95,92.10
107,21.20,145.99,76.39,520.00,580.00,east,6.80,98.65
108,21.40,151.47,69.56,596.00,548.00,east,8.76,106.25
109,21.60,156.20,60.53,580.00,632.00,east,10.20,114.28
110,21.80,159.52,51.26,532.00,560.00,east,9.85,121.51
111,22.00,160.71,40.42,468.00,560.00,e ext,10.90,128.15
112,22.20,159.23,34.41,368.00,516.00,e ext,6.19,130.24
113,22.40,154.37,26.33,292.00,460.00,e ext,9.42,131.15
114,22.60,150.31,23.65,408.00,412.00,e ext,4.87,129.74
115,22.80,144.26,21.85,472.00,512.00,s ext,6.31,126.44
116,23.00,136.19,22.41,516.00,612.00,s ext,8.09,120.27
117,23.20,126.71,23.57,520.00,660.00,s ext,9.55,112.92
118,23.40,116.40,24.71,588.00,708.00,south,10.37,105.44
119,23.60,105.87,23.77,604.00,808.00,south,10.57,100.09
120,23.80,94.29,22.37,620.00,848.00,south,11.67,95.28
121,24.00,83.01,19.66,588.00,784.00,s ext,11.60,93.02
122,24.20,70.50,16.32,600.00,788.00,s ext,12.95,92.49
123,24.40,58.43,14.84,544.00,752.00,s ext,12.15,91.81
124,24.60,46.08,14.46,524.00,788.00,s ext,12.36,91.53
125,24.80,35.29,16.44,452.00,672.00,s ext,10.97,90.15
126,25.00,28.93,21.52,500.00,496.00,s ext,8.14,86.10
127,25.20,23.64,29.28,472.00,564.00,w ext,9.39,79.69
128,25.40,21.36,41.49,556.00,628.00,w ext,12.42,68.65
129,25.60,20.75,54.24,568.00,636.00,w ext,12.77,56.96
130,25.80,21.82,68.21,588.00,692.00,west,14.00,43.98
131,26.00,24.34,81.97,572.00,680.00,west,13.99,31.09
132,26.20,29.06,96.12,620.00,808.00,west,14.91,17.10
133,26.40,34.91,106.66,608.00,772.00,west,12.05,6.04
134,26.60,41.17,117.15,572.00,812.00,platform,12.22,0.00
135,26.80,42.63,122.68,480.00,644.00,west,5.72,1.88
136,27.00,43.41,121.78,400.00,376.00,west,1.19,0.81
137,27.20,45.75,119.15,468.00,348.00,platform,3.52,0.00
138,27.40,47.29,117.43,508.00,264.00,platform,2.31,0.00
139,27.60,48.82,116.53,540.00,264.00,platform,1.77,0.00
140,27.80,48.10,114.23,636.00,264.00,platform,2.41,0.00
141,28.00,48.88,111.84,596.00,288.00,platform,2.52,0.00
142,28.20,49.64,111.80,612.00,240.00,platform,0.76,0.00
143,28.40,48.88,111.84,636.00,328.00,platform,0.76,0.00
144,28.60,48.11,112.66,600.00,252.00,platform,1.12,0.00
145,28.80,45.83,111.99,676.00,324.00,platform,2.38,0.00
146,29.00,45.07,111.23,596.00,272.00,platform,1.08,0.00
