Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0002\data\track_00021.trk
Object,0
Samples,450
rat,58,
trial,1,
date,2008-01-16 11:13:35.000,yyyy-MM-dd HH:mm:ss
Status,Acquired,
Trial duration,0000:00:01:30.000,dd:HH:mm:ss
Tracking profile,Tracking profile (1),
Arena,wm trial,
Track file,track_00021.trk,
Object,0,
Arena profile,wm learning ,
Start date & time,2008-01-16 11:14:34.808,yyyy-MM-dd HH:mm:ss
Stop date & time,2008-01-16 11:16:04.808,yyyy-MM-dd HH:mm:ss
Trial number,1,
Mobility low,20,
Mobility high,60,
Movie file,,
Maximum voltage x,0,
Maximum voltage y,0,
Mobility running av,1,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,135.77,207.29,144.00,164.00,n ext,-,122.36
2,0.20,133.94,206.52,112.00,136.00,n ext,1.98,120.54
3,0.40,130.01,202.05,80.00,168.00,n ext,5.95,114.59
4,0.60,127.94,198.43,184.00,216.00,n ext,4.17,110.54
5,0.80,124.09,193.37,340.00,332.00,n ext,6.36,104.23
6,1.00,118.65,188.08,400.00,420.00,north,7.59,96.64
7,1.20,111.63,181.05,432.00,496.00,north,9.93,86.71
8,1.40,105.74,175.67,516.00,516.00,north,7.98,78.75
9,1.60,96.87,168.82,520.00,692.00,north,11.21,67.69
10,1.80,89.11,164.45,548.00,660.00,north,8.90,59.31
11,2.00,80.04,160.74,576.00,700.00,north,9.80,50.82
12,2.20,72.62,158.29,616.00,656.00,north,7.82,44.58
13,2.40,63.77,156.49,600.00,696.00,north,9.03,38.95
14,2.60,56.41,155.62,572.00,572.00,west,7.42,35.83
15,2.80,47.50,155.43,560.00,636.00,west,8.91,34.33
16,3.00,39.98,155.98,508.00,548.00,west,7.54,35.17
17,3.20,33.12,156.51,472.00,460.00,west,6.88,36.99
18,3.40,28.51,156.35,412.00,348.00,west,4.61,38.38
19,3.60,22.29,155.87,424.00,364.00,w ext,6.24,40.79
20,3.80,16.68,157.01,368.00,376.00,w ext,5.72,44.70
21,4.00,15.08,156.66,324.00,172.00,w ext,1.64,45.31
22,4.20,15.90,156.35,344.00,212.00,w ext,0.87,44.59
23,4.40,17.52,155.75,336.00,288.00,w ext,1.73,43.18
