Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00031.trk
Object,0
Samples,60
rat,57,
trial,3,
comment,,
Status,Acquired,
Trial duration,0000:00:00:12.000,dd:HH:mm:ss
Tracking profile,Tracking profile (1),
Arena,wm trial,
Track file,track_00031.trk,
Object,0,
Arena profile,wm learning ,
Start date & time,2008-01-17 11:32:47.102,yyyy-MM-dd HH:mm:ss
Stop date & time,2008-01-17 11:32:59.102,yyyy-MM-dd HH:mm:ss
Trial number,1,
Mobility low,20,
Mobility high,60,
Movie file,,
Maximum voltage x,0,
Maximum voltage y,0,
Mobility running av,1,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,-,-,-,-,-,-,-
2,0.20,103.50,201.14,100.00,-,n ext,97.34,-
3,0.40,101.77,199.90,272.00,228.00,n ext,95.35,2.13
4,0.60,97.57,199.31,244.00,220.00,n ext,92.59,4.24
5,0.80,95.02,197.18,152.00,172.00,n ext,89.45,3.32
6,1.00,94.98,195.34,104.00,176.00,n ext,87.85,1.84
7,1.20,96.58,193.67,104.00,128.00,n ext,87.29,2.32
8,1.40,98.24,193.86,176.00,128.00,n ext,88.36,1.66
9,1.60,98.18,192.04,180.00,164.00,n ext,86.82,1.82
10,1.80,98.11,189.34,132.00,160.00,n ext,84.56,2.70
11,2.00,97.25,187.47,112.00,92.00,n ext,82.54,2.06
12,2.20,97.20,185.70,124.00,68.00,north,81.08,1.77
13,2.40,98.80,185.00,156.00,152.00,north,81.49,1.75
14,2.60,102.06,185.43,120.00,228.00,north,83.80,3.29
15,2.80,101.27,186.19,168.00,128.00,north,83.94,1.10
16,3.00,101.97,182.80,228.00,252.00,north,81.67,3.47
17,3.20,101.08,180.09,328.00,220.00,north,79.00,2.85
18,3.40,100.98,176.68,440.00,232.00,north,76.31,3.41
19,3.60,99.27,171.49,416.00,384.00,north,71.28,5.46
20,3.80,96.06,167.15,544.00,368.00,north,65.91,5.40
21,4.00,92.93,161.42,544.00,440.00,north,59.60,6.53
22,4.20,90.65,155.94,560.00,424.00,north,54.12,5.94
23,4.40,89.19,149.14,572.00,468.00,north,48.50,6.95
24,4.60,89.24,142.54,584.00,540.00,north,44.63,6.60
25,4.80,89.30,136.08,628.00,524.00,north,41.27,6.46
26,5.00,90.10,129.75,700.00,504.00,north,39.30,6.38
27,5.20,90.17,123.50,728.00,572.00,north,37.61,6.24
28,5.40,90.25,115.96,740.00,700.00,north,36.56,7.54
29,5.60,88.92,109.14,744.00,692.00,west,35.30,6.96
30,5.80,87.58,102.99,704.00,632.00,west,34.97,6.29
31,6.00,84.83,96.08,716.00,628.00,west,34.56,7.44
32,6.20,82.04,89.73,728.00,596.00,west,35.32,6.93
33,6.40,79.20,83.20,736.00,592.00,south,37.01,7.11
34,6.60,75.58,77.84,732.00,564.00,south,38.44,6.47
35,6.80,72.61,73.08,660.00,536.00,south,40.62,5.61
36,7.00,69.61,69.66,624.00,492.00,south,41.94,4.56
37,7.20,65.08,67.41,636.00,500.00,south,42.01,5.06
38,7.40,59.72,65.67,596.00,504.00,south,42.00,5.64
39,7.60,54.31,65.42,604.00,480.00,west,41.15,5.41
40,7.80,48.05,65.79,576.00,436.00,west,40.20,6.27
41,8.00,42.49,66.31,476.00,412.00,west,39.82,5.59
42,8.20,39.40,69.14,444.00,496.00,west,37.36,4.19
43,8.40,37.12,72.21,564.00,408.00,west,34.82,3.82
44,8.60,35.68,76.37,532.00,384.00,west,31.09,4.40
45,8.80,35.94,82.55,548.00,416.00,west,25.08,6.19
46,9.00,36.96,88.72,596.00,400.00,west,18.91,6.26
47,9.20,38.73,95.65,612.00,424.00,west,11.82,7.15
48,9.40,41.94,99.92,516.00,512.00,west,6.72,5.34
49,9.60,43.53,102.39,500.00,304.00,west,4.06,2.93
50,9.80,46.62,104.80,388.00,400.00,west,1.19,3.92
51,10.00,46.62,107.19,536.00,284.00,platform,0.00,2.39
52,10.20,46.61,110.36,644.00,356.00,platform,0.00,3.18
53,10.40,45.82,112.79,768.00,316.00,platform,0.00,2.54
54,10.60,44.28,114.48,692.00,292.00,platform,0.00,2.29
55,10.80,43.50,115.34,684.00,208.00,platform,0.00,1.16
56,11.00,44.27,115.28,624.00,148.00,platform,0.00,0.77
57,11.20,43.50,115.34,672.00,160.00,platform,0.00,0.77
58,11.40,44.28,114.48,676.00,228.00,platform,0.00,1.16
59,11.60,45.04,114.43,640.00,228.00,platform,0.00,0.77
60,11.80,45.04,114.43,636.00,76.00,platform,0.00,0.00
