Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0001\data\track_00068.trk
Object,0
Samples,90
rat,71,
trial,4,
date,2008-01-15 14:01:05.000,yyyy-MM-dd HH:mm:ss
Status,Acquired,
Trial duration,0000:00:00:18.000,dd:HH:mm:ss
Tracking profile,Tracking profile (1),
Arena,wm trial,
Track file,track_00068.trk,
Object,0,
Arena profile,wm learning ,
Start date & time,2008-01-15 14:01:42.786,yyyy-MM-dd HH:mm:ss
Stop date & time,2008-01-15 14:02:00.786,yyyy-MM-dd HH:mm:ss
Trial number,1,
Mobility low,20,
Mobility high,60,
Movie file,,
Maximum voltage x,0,
Maximum voltage y,0,
Mobility running av,1,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,168.57,172.56,428.00,392.00,e ext,-,128.43
2,0.20,160.03,171.77,468.00,504.00,north,8.57,120.46
3,0.40,150.40,167.96,492.00,536.00,north,10.36,110.17
4,0.60,141.61,162.26,468.00,536.00,north,10.49,99.73
5,0.80,133.87,156.58,536.00,532.00,north,9.60,90.25
6,1.00,124.70,148.73,584.00,664.00,north,12.08,78.57
7,1.20,115.24,142.44,648.00,712.00,north,11.36,67.37
8,1.40,106.87,136.27,636.00,708.00,north,10.39,57.29
9,1.60,98.04,130.68,668.00,800.00,north,10.45,47.10
10,1.80,87.96,127.64,672.00,812.00,north,10.53,36.57
11,2.00,79.37,125.66,636.00,804.00,west,8.82,27.82
12,2.20,69.98,126.10,584.00,724.00,west,9.40,19.54
13,2.40,61.22,126.79,624.00,592.00,west,8.79,12.72
14,2.60,52.37,126.24,580.00,692.00,west,8.87,6.67
15,2.80,41.80,126.02,504.00,652.00,west,10.56,5.30
16,3.00,34.08,124.63,536.00,560.00,west,7.85,8.59
17,3.20,26.14,124.04,508.00,508.00,west,7.96,14.91
18,3.40,18.79,122.35,468.00,488.00,west,7.55,21.16
19,3.60,12.06,121.36,396.00,432.00,w ext,6.80,27.55
20,3.80,8.60,119.82,364.00,312.00,w ext,3.79,30.67
21,4.00,2.31,114.27,208.00,444.00,w ext,8.38,36.56
22,4.20,5.69,109.81,260.00,404.00,w ext,5.60,33.35
23,4.40,9.05,105.54,344.00,476.00,w ext,5.43,30.72
24,4.60,14.11,101.46,456.00,416.00,w ext,6.50,26.94
25,4.80,19.95,97.66,460.00,436.00,west,6.96,23.50
26,5.00,27.38,95.15,476.00,504.00,west,7.85,18.98
27,5.20,33.88,93.70,528.00,500.00,west,6.65,16.00
28,5.40,42.60,91.69,552.00,608.00,west,8.95,14.60
29,5.60,51.14,91.47,512.00,616.00,west,8.54,14.99
30,5.80,58.72,92.73,544.00,656.00,west,7.69,16.57
31,6.00,66.14,94.61,600.00,592.00,west,7.65,19.68
32,6.20,73.39,97.77,632.00,584.00,west,7.91,23.68
33,6.40,80.53,100.08,708.00,644.00,west,7.50,29.04
34,6.60,86.87,102.97,708.00,648.00,west,6.97,34.29
35,6.80,93.88,106.53,632.00,676.00,west,7.86,40.53
36,7.00,100.90,110.80,656.00,616.00,north,8.22,47.16
37,7.20,107.29,115.19,688.00,608.00,north,7.75,53.55
38,7.40,114.52,119.85,648.00,664.00,north,8.60,61.06
39,7.60,121.21,124.80,604.00,620.00,east,8.32,68.33
40,7.80,127.36,130.05,624.00,580.00,east,8.09,75.36
41,8.00,133.80,136.52,564.00,516.00,east,9.13,83.08
42,8.20,140.55,143.59,548.00,528.00,east,9.77,91.51
43,8.40,146.90,151.98,504.00,532.00,east,10.53,100.30
44,8.60,152.55,158.99,428.00,412.00,east,9.00,108.19
45,8.80,159.75,169.81,336.00,468.00,north,13.00,119.31
46,9.00,164.97,176.71,300.00,324.00,n ext,8.66,127.15
47,9.20,171.35,184.53,252.00,296.00,n ext,10.08,136.54
48,9.40,177.05,192.41,160.00,252.00,n ext,9.72,145.48
49,9.60,178.62,196.30,136.00,128.00,n ext,4.20,148.89
50,9.80,177.27,198.64,124.00,164.00,n ext,2.69,149.02
51,10.00,171.65,196.59,160.00,236.00,n ext,5.99,143.18
52,10.20,167.05,195.16,212.00,252.00,n ext,4.82,138.56
53,10.40,162.33,192.75,312.00,228.00,n ext,5.29,133.30
54,10.60,157.54,189.45,380.00,276.00,n ext,5.82,127.48
55,10.80,149.24,184.73,408.00,428.00,n ext,9.54,117.96
56,11.00,141.84,178.96,432.00,400.00,north,9.38,108.60
57,11.20,133.00,173.16,528.00,512.00,north,10.57,98.03
58,11.40,124.49,168.07,524.00,572.00,north,9.92,88.13
59,11.60,114.68,163.30,564.00,616.00,north,10.91,77.35
60,11.80,105.93,158.67,584.00,612.00,north,9.90,67.56
61,12.00,96.68,153.91,524.00,652.00,north,10.40,57.33
62,12.20,87.68,151.37,544.00,660.00,north,9.36,48.83
63,12.40,80.25,150.82,532.00,580.00,north,7.44,43.20
64,12.60,73.58,151.33,540.00,584.00,north,6.69,39.42
65,12.80,66.10,153.79,536.00,580.00,north,7.87,37.46
66,13.00,58.61,155.93,544.00,528.00,west,7.79,36.76
67,13.20,52.57,158.12,492.00,460.00,west,6.42,37.52
68,13.40,44.92,161.91,476.00,456.00,west,8.54,40.74
69,13.60,38.76,164.81,388.00,424.00,west,6.81,44.08
70,13.80,33.36,166.84,284.00,352.00,w ext,5.77,46.96
71,14.00,29.56,166.60,248.00,276.00,w ext,3.81,47.68
72,14.20,27.35,164.81,268.00,244.00,w ext,2.84,46.69
73,14.40,25.95,161.77,248.00,212.00,w ext,3.35,44.38
74,14.60,26.90,157.81,336.00,208.00,w ext,4.07,40.37
75,14.80,27.87,153.02,388.00,252.00,west,4.90,35.61
76,15.00,30.43,146.94,412.00,344.00,west,6.59,29.04
77,15.20,33.70,141.74,476.00,368.00,west,6.14,22.93
78,15.40,37.78,134.09,492.00,488.00,west,8.67,14.28
79,15.60,41.79,126.84,496.00,484.00,west,8.29,6.09
80,15.80,44.13,124.11,568.00,392.00,west,3.60,3.17
81,16.00,44.96,120.82,576.00,336.00,platform,3.39,0.00
82,16.20,45.00,118.42,628.00,300.00,platform,2.40,0.00
83,16.40,45.77,117.56,600.00,172.00,platform,1.16,0.00
84,16.60,44.23,118.49,588.00,172.00,platform,1.80,0.00
85,16.80,44.24,117.69,556.00,224.00,platform,0.80,0.00
86,17.00,45.01,117.62,536.00,132.00,platform,0.77,0.00
87,17.20,44.24,117.69,512.00,152.00,platform,0.77,0.00
88,17.40,45.01,117.62,532.00,156.00,platform,0.77,0.00
89,17.60,45.00,118.42,572.00,104.00,platform,0.80,0.00
90,17.80,45.00,118.42,564.00,88.00,platform,0.00,0.00
