Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0001\data\track_00049.trk
Object,0
Samples,450
rat,67,
trial,1,
date,2008-01-15 12:57:49.000,yyyy-MM-dd HH:mm:ss
Status,Acquired,
Trial duration,0000:00:01:30.000,dd:HH:mm:ss
Tracking profile,Tracking profile (1),
Arena,wm trial,
Track file,track_00049.trk,
Object,0,
Arena profile,wm learning ,
Start date & time,2008-01-15 12:59:41.310,yyyy-MM-dd HH:mm:ss
Stop date & time,2008-01-15 13:01:11.310,yyyy-MM-dd HH:mm:ss
Trial number,1,
Mobility low,20,
Mobility high,60,
Movie file,,
Maximum voltage x,0,
Maximum voltage y,0,
Mobility running av,1,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,88.87,14.41,220.00,132.00,s ext,-,100.10
2,0.20,90.21,9.05,292.00,360.00,s ext,5.53,105.55
3,0.40,94.58,3.97,320.00,516.00,s ext,6.70,111.95
4,0.60,99.85,5.42,388.00,476.00,s ext,5.46,112.88
5,0.80,106.44,4.62,356.00,440.00,s ext,6.64,116.68
6,1.00,112.93,5.19,400.00,460.00,s ext,6.52,119.51
7,1.20,119.30,6.16,388.00,428.00,s ext,6.44,122.19
8,1.40,124.86,6.80,384.00,404.00,s ext,5.60,124.84
9,1.60,131.70,7.52,356.00,476.00,s ext,6.88,128.41
10,1.80,135.06,9.09,336.00,468.00,s ext,3.71,129.33
11,2.00,134.36,10.30,180.00,332.00,s ext,1.39,127.96
12,2.20,141.08,11.23,272.00,356.00,s ext,6.78,131.72
13,2.40,148.46,10.40,164.00,380.00,s ext,7.43,137.43
14,2.60,148.41,13.30,256.00,348.00,s ext,2.89,135.36
15,2.80,149.73,15.46,292.00,372.00,s ext,2.53,134.79
16,3.00,153.76,16.16,300.00,392.00,e ext,4.09,137.29
17,3.20,157.14,17.16,356.00,336.00,e ext,3.53,139.15
18,3.40,160.55,20.11,332.00,408.00,e ext,4.51,139.87
19,3.60,165.42,22.29,212.00,400.00,e ext,5.33,142.36
20,3.80,166.15,24.91,280.00,260.00,e ext,2.72,141.37
21,4.00,169.02,27.38,300.00,316.00,e ext,3.79,142.29
22,4.20,172.03,33.00,352.00,388.00,e ext,6.38,141.68
23,4.40,175.89,38.43,316.00,356.00,e ext,6.66,142.10
24,4.60,179.98,45.16,308.00,360.00,e ext,7.87,142.43
25,4.80,183.45,51.43,240.00,340.00,e ext,7.17,142.81
26,5.00,186.22,57.14,244.00,316.00,e ext,6.34,143.12
27,5.20,188.49,65.49,252.00,304.00,e ext,8.65,142.38
28,5.40,190.81,72.90,264.00,348.00,e ext,7.77,142.44
29,5.60,193.26,80.51,272.00,344.00,e ext,7.99,143.01
30,5.80,195.39,91.85,304.00,400.00,e ext,11.54,143.10
31,6.00,196.54,101.07,300.00,364.00,e ext,9.29,143.21
32,6.20,197.94,111.51,344.00,388.00,e ext,10.54,144.17
33,6.40,197.84,122.97,300.00,404.00,e ext,11.46,144.38
34,6.60,199.13,136.87,332.00,424.00,e ext,13.95,147.18
35,6.80,198.29,147.90,296.00,372.00,e ext,11.07,148.45
36,7.00,197.50,158.75,264.00,360.00,e ext,10.88,150.41
37,7.20,195.99,170.23,336.00,400.00,e ext,11.57,152.67
38,7.40,195.05,179.59,316.00,364.00,e ext,9.41,155.39
39,7.60,192.59,190.21,320.00,404.00,e ext,10.91,157.86
40,7.80,187.64,197.11,260.00,348.00,e ext,8.49,156.97
41,8.00,181.43,201.99,260.00,384.00,n ext,7.90,154.33
42,8.20,175.75,204.95,272.00,340.00,n ext,6.40,151.27
43,8.40,166.16,205.65,224.00,392.00,n ext,9.62,143.94
44,8.60,156.15,203.28,164.00,300.00,n ext,10.29,134.61
45,8.80,146.97,199.73,240.00,300.00,n ext,9.84,125.29
46,9.00,138.01,196.71,324.00,340.00,n ext,9.46,116.57
47,9.20,127.31,191.69,368.00,452.00,n ext,11.82,105.33
48,9.40,117.80,187.85,412.00,476.00,north,10.25,95.89
49,9.60,106.09,184.32,460.00,552.00,north,12.23,85.44
50,9.80,96.32,182.14,440.00,548.00,north,10.01,77.70
51,10.00,85.96,181.69,440.00,528.00,north,10.36,71.50
52,10.20,77.34,181.23,408.00,504.00,north,8.64,67.05
53,10.40,68.78,182.34,360.00,528.00,n ext,8.63,64.98
54,10.60,62.51,185.33,328.00,464.00,n ext,6.95,66.14
55,10.80,56.12,190.55,284.00,492.00,n ext,8.25,70.14
56,11.00,54.47,192.85,240.00,244.00,n ext,2.83,72.23
57,11.20,53.49,196.77,140.00,188.00,n ext,4.04,76.03
58,11.40,55.06,196.25,96.00,164.00,n ext,1.65,75.67
59,11.60,57.32,197.35,88.00,120.00,n ext,2.52,77.04
60,11.80,57.32,197.35,136.00,96.00,n ext,0.00,77.04
61,12.00,59.64,197.59,160.00,216.00,n ext,2.33,77.61
62,12.20,65.83,199.73,92.00,252.00,n ext,6.55,80.92
63,12.40,68.19,200.19,76.00,112.00,n ext,2.41,81.93
64,12.60,-,-,-,-,-,-,-
65,12.80,-,-,-,-,-,-,-
66,13.00,-,-,-,-,-,-,-
67,13.20,-,-,-,-,-,-,-
68,13.40,-,-,-,-,-,-,-
69,13.60,-,-,-,-,-,-,-
70,13.80,-,-,-,-,-,-,-
71,14.00,-,-,-,-,-,-,-
72,14.20,-,-,-,-,-,-,-
73,14.40,101.63,196.16,144.00,-,n ext,-,92.17
74,14.60,101.49,192.48,244.00,260.00,n ext,3.68,89.09
75,14.80,103.80,188.35,372.00,296.00,n ext,4.74,87.18
76,15.00,106.01,182.56,400.00,404.00,north,6.19,84.05
77,15.20,111.44,177.57,432.00,512.00,north,7.37,84.11
78,15.40,115.99,172.64,484.00,516.00,north,6.71,84.14
79,15.60,122.92,168.49,532.00,640.00,north,8.08,87.08
80,15.80,130.62,164.77,560.00,700.00,north,8.55,91.47
81,16.00,139.20,162.34,520.00,656.00,north,8.92,97.64
82,16.20,148.76,161.20,472.00,560.00,north,9.62,105.65
83,16.40,158.42,160.16,472.00,608.00,east,9.72,114.04
84,16.60,169.55,162.45,476.00,564.00,east,11.36,125.21
85,16.80,180.10,164.65,412.00,496.00,e ext,10.78,135.83
86,17.00,190.02,166.64,392.00,476.00,e ext,10.11,145.81
87,17.20,194.60,167.46,224.00,280.00,e ext,4.65,150.39
88,17.40,199.77,166.29,136.00,272.00,e ext,5.30,154.87
89,17.60,199.86,161.86,88.00,168.00,e ext,4.43,153.57
90,17.80,200.61,161.02,100.00,60.00,e ext,1.12,154.04
91,18.00,200.92,157.76,120.00,156.00,e ext,3.28,153.41
92,18.20,201.56,151.18,112.00,216.00,e ext,6.61,152.37
93,18.40,200.31,143.98,152.00,216.00,e ext,7.30,149.62
94,18.60,199.72,140.42,240.00,280.00,e ext,3.62,148.35
95,18.80,199.30,132.35,288.00,400.00,e ext,8.07,146.71
96,19.00,199.30,120.89,252.00,444.00,e ext,11.47,145.72
97,19.20,198.83,111.58,280.00,364.00,e ext,9.32,145.06
98,19.40,195.67,101.07,300.00,436.00,e ext,10.97,142.35
99,19.60,194.40,90.76,276.00,384.00,e ext,10.38,142.28
100,19.80,192.31,79.51,288.00,420.00,e ext,11.45,142.30
101,20.00,188.69,67.70,292.00,436.00,e ext,12.35,141.87
102,20.20,185.68,60.68,264.00,404.00,e ext,7.64,141.33
103,20.40,182.68,51.72,284.00,396.00,e ext,9.44,141.99
104,20.60,179.13,43.36,284.00,416.00,e ext,9.09,142.51
105,20.80,175.85,37.38,280.00,388.00,e ext,6.82,142.60
106,21.00,171.23,30.30,272.00,440.00,e ext,8.45,142.50
107,21.20,168.30,26.76,332.00,380.00,e ext,4.60,142.05
108,21.40,163.33,22.49,336.00,492.00,e ext,6.55,140.57
109,21.60,159.18,18.93,340.00,444.00,e ext,5.47,139.56
110,21.80,154.44,15.77,292.00,504.00,e ext,5.69,138.04
111,22.00,149.75,13.54,312.00,516.00,s ext,5.19,136.14
