Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00059.trk
Object,0
Samples,42
rat,99,
trial,3,
date,2007-12-15 14:01:03.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,161.97,155.95,288.00,332.00,east,-,115.79
2,0.20,155.60,157.38,316.00,356.00,east,6.52,110.37
3,0.40,148.65,160.29,400.00,420.00,north,7.54,105.16
4,0.60,141.70,163.15,432.00,488.00,north,7.51,100.23
5,0.80,133.92,165.76,456.00,496.00,north,8.21,94.79
6,1.00,126.13,168.52,428.00,508.00,north,8.26,89.73
7,1.20,119.09,170.86,392.00,516.00,north,7.42,85.42
8,1.40,112.89,174.48,368.00,456.00,north,7.18,83.03
9,1.60,109.04,177.95,312.00,392.00,north,5.18,82.68
10,1.80,105.23,183.30,308.00,348.00,north,6.57,84.11
11,2.00,102.95,187.32,276.00,280.00,n ext,4.63,85.85
12,2.20,100.66,192.36,300.00,256.00,n ext,5.53,88.51
13,2.40,99.09,194.88,244.00,216.00,n ext,2.97,89.68
14,2.60,93.40,198.90,192.00,300.00,n ext,6.97,90.12
15,2.80,89.26,197.73,248.00,192.00,n ext,4.31,87.12
16,3.00,81.92,194.99,268.00,308.00,n ext,7.83,81.47
17,3.20,75.55,191.85,288.00,332.00,n ext,7.09,76.18
18,3.40,67.82,187.69,284.00,372.00,n ext,8.78,69.81
19,3.60,60.27,184.16,284.00,368.00,n ext,8.34,64.51
20,3.80,51.35,180.78,264.00,412.00,n ext,9.54,59.90
21,4.00,44.80,177.08,280.00,376.00,w ext,7.52,55.91
22,4.20,39.03,173.28,284.00,340.00,w ext,6.92,52.48
23,4.40,34.03,168.32,288.00,348.00,w ext,7.04,48.26
24,4.60,29.70,163.88,288.00,344.00,w ext,6.21,45.04
25,4.80,26.07,159.02,304.00,296.00,w ext,6.07,41.81
26,5.00,24.74,153.17,300.00,340.00,w ext,5.99,37.23
27,5.20,24.98,145.87,336.00,308.00,west,7.31,30.85
28,5.40,25.98,137.52,340.00,340.00,west,8.41,23.48
29,5.60,26.89,130.17,404.00,352.00,west,7.40,17.67
30,5.80,30.14,124.34,392.00,380.00,west,6.68,11.68
31,6.00,34.14,117.80,376.00,408.00,west,7.66,5.17
32,6.20,38.09,113.26,348.00,340.00,west,6.02,0.78
33,6.40,40.43,109.82,388.00,400.00,platform,4.17,0.00
34,6.60,42.76,109.72,348.00,280.00,platform,2.33,0.00
35,6.80,45.07,110.43,484.00,248.00,platform,2.42,0.00
36,7.00,45.83,111.99,488.00,172.00,platform,1.73,0.00
37,7.20,45.06,112.83,432.00,192.00,platform,1.14,0.00
38,7.40,44.29,112.87,424.00,184.00,platform,0.77,0.00
39,7.60,44.29,112.87,428.00,164.00,platform,0.00,0.00
40,7.80,45.06,112.83,444.00,112.00,platform,0.77,0.00
41,8.00,45.06,112.83,436.00,104.00,platform,0.00,0.00
42,8.20,45.05,113.63,432.00,164.00,platform,0.80,0.00
