Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00057.trk
Object,0
Samples,450
rat,99,
trial,1,
date,2007-12-15 13:55:09.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,68.55,167.50,332.00,440.00,north,-,50.95
2,0.20,68.88,158.78,348.00,464.00,north,8.73,43.16
3,0.40,72.12,150.73,396.00,504.00,north,8.68,38.05
4,0.60,77.52,142.13,424.00,540.00,north,10.15,35.10
5,0.80,82.80,134.01,468.00,620.00,north,9.69,34.61
6,1.00,90.12,127.65,500.00,664.00,north,9.69,38.63
7,1.20,98.04,123.02,568.00,724.00,north,9.18,45.22
8,1.40,108.06,120.78,524.00,780.00,north,10.27,54.75
9,1.60,116.73,121.46,488.00,708.00,east,8.69,63.43
10,1.80,124.90,125.23,468.00,700.00,east,9.00,72.04
11,2.00,130.52,132.83,468.00,632.00,east,9.45,79.03
12,2.20,134.10,140.52,484.00,504.00,north,8.48,84.45
13,2.40,135.70,150.52,464.00,508.00,north,10.13,89.36
14,2.60,137.46,160.95,468.00,580.00,north,10.58,95.45
15,2.80,139.30,170.96,440.00,516.00,north,10.18,102.11
16,3.00,141.30,181.45,392.00,480.00,north,10.67,109.56
17,3.20,142.33,190.10,360.00,400.00,n ext,8.71,115.58
18,3.40,142.28,196.65,296.00,352.00,n ext,6.55,119.72
19,3.60,142.25,203.35,176.00,304.00,n ext,6.70,124.19
20,3.80,136.01,209.36,104.00,248.00,n ext,8.67,124.03
21,4.00,-,-,-,-,-,-,-
22,4.20,-,-,-,-,-,-,-
23,4.40,-,-,-,-,-,-,-
24,4.60,-,-,-,-,-,-,-
25,4.80,-,-,-,-,-,-,-
26,5.00,-,-,-,-,-,-,-
27,5.20,-,-,-,-,-,-,-
28,5.40,-,-,-,-,-,-,-
29,5.60,-,-,-,-,-,-,-
30,5.80,86.79,196.75,100.00,-,n ext,-,85.13
31,6.00,82.73,194.96,172.00,168.00,n ext,4.44,81.78
32,6.20,75.55,191.85,184.00,252.00,n ext,7.82,76.18
33,6.40,65.48,188.15,120.00,296.00,n ext,10.74,69.60
34,6.60,60.92,186.59,248.00,232.00,n ext,4.82,67.02
35,6.80,54.86,185.69,264.00,360.00,n ext,6.13,65.15
36,7.00,48.01,186.28,216.00,320.00,n ext,6.88,65.16
37,7.20,44.25,185.97,104.00,240.00,n ext,3.77,64.81
38,7.40,32.72,189.39,88.00,192.00,w ext,12.03,69.24
39,7.60,29.12,186.63,108.00,172.00,w ext,4.53,67.20
40,7.80,25.50,183.88,92.00,192.00,w ext,4.55,65.41
41,8.00,21.89,180.14,96.00,180.00,w ext,5.19,62.96
42,8.20,22.11,176.29,196.00,244.00,w ext,3.85,59.28
43,8.40,19.28,171.08,272.00,340.00,w ext,5.93,55.62
44,8.60,17.29,162.49,348.00,412.00,w ext,8.82,49.05
45,8.80,15.17,153.74,360.00,428.00,w ext,9.00,42.90
46,9.00,12.92,142.82,376.00,456.00,w ext,11.15,36.49
