Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00012.trk
Object,0
Samples,37
rat,87,
trial,4,
date,2007-12-15 11:50:56.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,84.26,12.59,116.00,s ext,-,100.06
2,0.20,92.51,10.33,264.00,s ext,8.55,105.29
3,0.40,94.87,15.25,360.00,s ext,5.45,101.86
4,0.60,97.21,21.75,392.00,south,6.91,97.22
5,0.80,98.75,27.95,436.00,south,6.39,92.70
6,1.00,98.82,33.87,416.00,south,5.92,87.78
7,1.20,98.88,40.44,540.00,south,6.57,82.37
8,1.40,98.22,46.80,584.00,south,6.39,76.85
9,1.60,98.25,53.01,596.00,south,6.21,72.03
10,1.80,98.97,60.58,580.00,south,7.60,66.95
11,2.00,98.97,67.91,608.00,south,7.33,61.95
12,2.20,98.95,75.06,660.00,south,7.16,57.54
13,2.40,98.93,81.38,648.00,south,6.32,54.02
14,2.60,97.51,87.57,624.00,south,6.35,49.69
15,2.80,94.69,92.97,620.00,south,6.09,44.83
16,3.00,91.85,97.66,584.00,south,5.48,40.52
17,3.20,86.90,100.93,612.00,west,5.94,34.82
18,3.40,80.48,104.22,588.00,west,7.21,27.78
19,3.60,74.03,104.82,560.00,west,6.47,21.38
20,3.80,68.99,104.07,544.00,west,5.10,16.84
21,4.00,63.90,101.84,516.00,west,5.56,13.51
22,4.20,59.47,100.28,504.00,west,4.69,10.96
23,4.40,56.49,98.69,520.00,west,3.38,10.37
24,4.60,53.48,98.61,480.00,west,3.02,8.80
25,4.80,51.20,100.88,444.00,west,3.21,5.79
26,5.00,48.92,102.42,408.00,west,2.76,3.88
27,5.20,48.16,103.21,392.00,west,1.10,2.88
28,5.40,47.39,107.17,444.00,platform,4.04,0.00
29,5.60,46.60,111.16,480.00,platform,4.06,0.00
30,5.80,45.83,111.99,472.00,platform,1.13,0.00
31,6.00,45.05,113.63,500.00,platform,1.81,0.00
32,6.20,44.28,114.48,472.00,platform,1.15,0.00
33,6.40,44.28,114.48,428.00,platform,0.00,0.00
34,6.60,44.28,114.48,444.00,platform,0.00,0.00
35,6.80,44.27,115.28,448.00,platform,0.80,0.00
36,7.00,45.04,115.23,452.00,platform,0.77,0.00
37,7.20,45.04,115.23,456.00,platform,0.00,0.00
