Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00061.trk
Object,0
Samples,300
rat,114,
trial,1,
date,2007-12-15 14:06:08.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,-,-,-,-,-,-,-
2,0.20,-,-,-,-,-,-,-
3,0.40,-,-,-,-,-,-,-
4,0.60,107.57,198.17,144.00,-,n ext,-,97.28
5,0.80,103.95,191.96,272.00,304.00,n ext,7.18,90.14
6,1.00,98.01,185.79,288.00,360.00,north,8.57,81.64
7,1.20,93.86,178.53,288.00,376.00,north,8.36,73.35
8,1.40,91.44,170.94,352.00,368.00,north,7.98,65.84
9,1.60,90.64,162.91,364.00,500.00,north,8.07,59.13
10,1.80,92.16,155.98,344.00,436.00,north,7.09,55.25
11,2.00,95.16,151.56,396.00,420.00,north,5.34,54.68
12,2.20,101.12,147.47,424.00,508.00,north,7.22,57.30
13,2.40,107.80,144.43,488.00,504.00,north,7.34,61.51
14,2.60,115.27,143.19,480.00,536.00,north,7.57,67.70
15,2.80,123.68,144.64,464.00,512.00,north,8.53,76.00
16,3.00,131.65,148.71,412.00,508.00,north,8.95,84.93
17,3.20,137.62,154.32,416.00,532.00,north,8.19,92.65
18,3.40,142.44,162.53,416.00,552.00,north,9.52,100.59
19,3.60,145.17,172.21,424.00,552.00,north,10.06,107.75
20,3.80,145.33,180.34,400.00,472.00,north,8.13,112.27
21,4.00,144.40,186.35,364.00,364.00,n ext,6.08,114.95
22,4.20,143.46,192.45,324.00,336.00,n ext,6.17,117.94
23,4.40,142.28,196.65,256.00,228.00,n ext,4.36,119.72
24,4.60,138.24,198.70,208.00,312.00,n ext,4.53,118.09
25,4.80,134.76,198.21,220.00,180.00,n ext,3.52,115.21
26,5.00,130.11,194.54,252.00,264.00,n ext,5.92,109.32
27,5.20,124.55,188.95,348.00,280.00,n ext,7.89,101.44
28,5.40,119.04,181.98,400.00,380.00,north,8.89,92.64
29,5.60,111.27,174.15,428.00,484.00,north,11.03,81.62
30,5.80,103.88,167.96,452.00,488.00,north,9.63,72.00
31,6.00,96.00,161.58,484.00,528.00,north,10.14,61.89
32,6.20,89.15,155.15,476.00,552.00,north,9.40,52.49
33,6.40,82.49,149.97,488.00,556.00,north,8.43,44.12
34,6.60,76.71,145.11,492.00,492.00,north,7.56,36.60
35,6.80,70.29,139.79,460.00,576.00,west,8.34,28.33
36,7.00,66.85,133.56,428.00,544.00,west,7.12,21.45
37,7.20,64.17,125.80,436.00,504.00,west,8.21,14.49
38,7.40,62.23,115.72,480.00,572.00,west,10.26,8.67
39,7.60,60.89,107.70,516.00,564.00,west,8.14,7.98
40,7.80,58.74,97.26,524.00,680.00,west,10.66,12.80
41,8.00,57.17,87.27,452.00,584.00,west,10.11,20.64
42,8.20,56.26,78.60,456.00,484.00,west,8.71,28.61
43,8.40,55.96,68.18,488.00,536.00,west,10.42,38.74
44,8.60,54.81,58.91,464.00,520.00,south,9.34,47.65
45,8.80,53.49,48.40,460.00,516.00,south,10.60,57.91
46,9.00,51.24,38.02,400.00,452.00,south,10.62,68.07
47,9.20,48.96,28.99,400.00,392.00,south,9.32,77.01
48,9.40,49.18,21.57,312.00,416.00,s ext,7.42,84.43
49,9.60,51.40,18.68,340.00,316.00,s ext,3.65,87.40
50,9.80,56.30,18.74,344.00,380.00,s ext,4.90,87.69
51,10.00,62.14,21.84,392.00,408.00,s ext,6.61,85.43
52,10.20,67.10,25.31,512.00,424.00,south,6.05,82.97
53,10.40,73.57,30.70,584.00,496.00,south,8.43,79.44
54,10.60,82.10,36.86,572.00,604.00,south,10.52,76.84
55,10.80,89.54,40.48,564.00,576.00,south,8.27,77.19
56,11.00,97.49,44.39,556.00,600.00,south,8.86,78.35
57,11.20,103.84,47.70,564.00,568.00,south,7.16,79.70
58,11.40,110.07,51.42,564.00,560.00,south,7.26,81.29
59,11.60,116.23,54.81,504.00,540.00,south,7.03,83.59
60,11.80,120.30,58.20,452.00,532.00,south,5.30,84.71
61,12.00,121.64,63.36,488.00,452.00,south,5.33,82.90
62,12.20,120.95,70.14,544.00,552.00,south,6.82,78.67
63,12.40,118.90,77.59,584.00,552.00,east,7.72,73.29
64,12.60,116.87,86.95,612.00,676.00,east,9.58,67.68
65,12.80,114.86,96.08,580.00,672.00,east,9.36,63.10
66,13.00,111.45,106.41,576.00,780.00,east,10.87,57.99
67,13.20,108.71,115.26,572.00,668.00,north,9.27,54.98
68,13.40,106.66,123.48,544.00,620.00,north,8.47,53.77
69,13.60,104.60,132.50,496.00,576.00,north,9.25,53.90
70,13.80,102.51,140.24,460.00,564.00,north,8.02,54.88
71,14.00,99.62,147.36,468.00,656.00,north,7.68,55.97
72,14.20,94.41,153.03,448.00,620.00,north,7.70,55.01
73,14.40,89.15,155.15,472.00,472.00,north,5.68,52.49
74,14.60,82.39,156.01,448.00,504.00,north,6.82,48.52
75,14.80,76.42,155.61,444.00,428.00,north,5.98,44.55
76,15.00,70.54,153.94,440.00,404.00,north,6.12,39.79
77,15.20,65.39,153.14,484.00,388.00,north,5.21,36.55
78,15.40,59.50,152.63,436.00,440.00,west,5.91,33.86
79,15.60,54.20,155.34,400.00,388.00,west,5.96,35.06
80,15.80,50.31,158.71,400.00,432.00,west,5.14,37.85
81,16.00,47.11,162.88,404.00,452.00,west,5.26,41.75
82,16.20,46.17,166.49,392.00,348.00,west,3.72,45.32
83,16.40,48.83,172.29,392.00,344.00,west,6.39,51.24
84,16.60,51.54,177.31,392.00,344.00,n ext,5.70,56.48
85,16.80,55.05,182.18,356.00,356.00,n ext,6.00,61.70
86,17.00,57.77,188.30,312.00,388.00,n ext,6.70,68.15
87,17.20,58.98,195.06,220.00,300.00,n ext,6.86,75.01
88,17.40,58.89,196.89,208.00,148.00,n ext,1.83,76.80
89,17.60,58.85,197.81,116.00,116.00,n ext,0.92,77.71
90,17.80,58.89,196.89,72.00,84.00,n ext,0.92,76.80
91,18.00,58.89,196.89,60.00,44.00,n ext,0.00,76.80
92,18.20,60.43,197.38,80.00,108.00,n ext,1.61,77.53
93,18.40,63.55,197.50,184.00,200.00,n ext,3.12,78.24
94,18.60,66.72,196.81,248.00,256.00,n ext,3.25,78.29
95,18.80,73.02,198.49,212.00,300.00,n ext,6.53,81.66
96,19.00,76.23,199.04,100.00,144.00,n ext,3.25,83.18
97,19.20,-,-,-,-,-,-,-
98,19.40,-,-,-,-,-,-,-
99,19.60,-,-,-,-,-,-,-
100,19.80,-,-,-,-,-,-,-
101,20.00,-,-,-,-,-,-,-
102,20.20,-,-,-,-,-,-,-
103,20.40,-,-,-,-,-,-,-
104,20.60,121.66,204.83,76.00,-,n ext,-,111.17
105,20.80,122.46,204.13,84.00,96.00,n ext,1.06,111.14
106,21.00,-,-,-,-,-,-,-
107,21.20,129.83,208.77,72.00,-,n ext,-,119.45
108,21.40,133.26,208.19,160.00,192.00,n ext,3.48,121.30
109,21.60,136.57,206.66,248.00,256.00,n ext,3.65,122.46
110,21.80,143.44,205.84,284.00,364.00,n ext,6.92,126.76
111,22.00,151.42,206.78,224.00,348.00,n ext,8.04,133.28
112,22.20,159.51,208.03,208.00,288.00,n ext,8.18,140.22
113,22.40,166.91,210.12,88.00,224.00,n ext,7.69,147.28
114,22.60,171.24,209.54,80.00,144.00,n ext,4.37,150.34
115,22.80,-,-,-,-,-,-,-
116,23.00,171.44,200.50,100.00,-,n ext,-,145.19
117,23.20,172.61,197.11,208.00,172.00,n ext,3.59,144.27
118,23.40,173.39,191.50,280.00,248.00,n ext,5.66,141.91
119,23.60,173.81,183.75,328.00,344.00,e ext,7.77,138.29
120,23.80,173.56,171.82,372.00,444.00,e ext,11.93,132.61
121,24.00,173.56,161.10,376.00,444.00,e ext,10.72,128.45
122,24.20,173.49,149.46,376.00,488.00,east,11.64,124.76
123,24.40,174.23,137.10,416.00,560.00,east,12.38,122.70
124,24.60,175.91,124.78,404.00,556.00,east,12.44,122.64
125,24.80,175.99,111.98,452.00,560.00,east,12.80,122.22
126,25.00,176.91,98.05,424.00,628.00,east,13.96,123.97
127,25.20,178.05,84.77,380.00,556.00,e ext,13.33,127.26
128,25.40,180.24,72.95,340.00,544.00,e ext,12.02,132.26
129,25.60,182.63,62.70,264.00,500.00,e ext,10.53,137.77
130,25.80,182.40,59.50,300.00,316.00,e ext,3.21,138.70
131,26.00,182.33,58.43,264.00,220.00,e ext,1.07,139.03
