Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00072.trk
Object,0
Samples,36
rat,122,
trial,4,
date,2007-12-14 13:47:21.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,172.45,116.51,284.00,300.00,east,118.73
2,0.20,166.47,113.07,288.00,332.00,east,112.70
3,0.40,159.19,110.66,344.00,408.00,east,105.43
4,0.60,153.15,111.91,420.00,524.00,east,99.38
5,0.80,148.89,115.69,416.00,540.00,east,95.16
6,1.00,145.52,121.01,440.00,536.00,east,92.05
7,1.20,144.59,128.18,456.00,512.00,east,91.95
8,1.40,144.54,136.33,408.00,480.00,east,93.47
9,1.60,143.50,141.85,392.00,344.00,east,93.83
10,1.80,141.66,147.16,400.00,360.00,east,93.71
11,2.00,138.92,151.38,404.00,388.00,north,92.66
12,2.20,134.39,153.44,432.00,356.00,north,89.34
13,2.40,128.38,156.75,436.00,500.00,north,85.46
14,2.60,122.28,159.31,476.00,504.00,north,81.50
15,2.80,116.17,161.99,420.00,488.00,north,77.83
16,3.00,108.43,163.79,352.00,476.00,north,72.68
17,3.20,100.64,162.76,344.00,480.00,north,66.08
18,3.40,95.22,159.97,376.00,376.00,north,60.21
19,3.60,89.15,155.15,364.00,428.00,north,52.49
20,3.80,83.99,149.18,400.00,468.00,north,44.64
21,4.00,78.95,143.50,396.00,484.00,north,37.08
22,4.20,73.30,136.62,392.00,548.00,north,28.28
23,4.40,67.67,130.58,400.00,568.00,west,20.10
24,4.60,61.28,124.58,432.00,584.00,west,11.40
25,4.80,55.53,118.34,396.00,572.00,west,3.23
26,5.00,54.83,116.12,440.00,332.00,west,1.52
27,5.20,52.60,115.50,448.00,272.00,platform,0.00
28,5.40,50.34,115.65,452.00,220.00,platform,0.00
29,5.60,50.34,115.65,432.00,84.00,platform,0.00
30,5.80,51.11,114.82,392.00,96.00,platform,0.00
31,6.00,51.11,114.82,392.00,104.00,platform,0.00
32,6.20,50.37,114.10,380.00,100.00,platform,0.00
33,6.40,49.61,114.14,392.00,76.00,platform,0.00
34,6.60,49.61,114.14,400.00,104.00,platform,0.00
35,6.80,48.85,114.19,444.00,124.00,platform,0.00
36,7.00,48.10,114.23,444.00,128.00,platform,0.00
