Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00007.trk
Object,0
Samples,81
rat,104,
trial,3,
date,2007-12-14 10:37:48.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,-,-,-,-,-,-
2,0.20,-,-,-,-,-,-
3,0.40,-,-,-,-,-,-
4,0.60,165.72,41.12,76.00,-,e ext,132.00
5,0.80,165.16,47.23,220.00,240.00,e ext,128.41
6,1.00,163.94,54.43,300.00,304.00,e ext,123.93
7,1.20,162.06,62.56,372.00,400.00,east,118.75
8,1.40,159.48,70.55,380.00,464.00,east,113.33
9,1.60,155.49,79.26,376.00,484.00,east,106.74
10,1.80,150.78,87.49,460.00,564.00,east,100.04
11,2.00,143.87,95.20,460.00,656.00,east,91.73
12,2.20,138.44,103.03,472.00,660.00,east,85.18
13,2.40,131.55,111.04,528.00,728.00,east,77.79
14,2.60,125.34,118.66,512.00,728.00,east,71.75
15,2.80,119.00,124.56,616.00,712.00,north,66.12
16,3.00,112.64,131.81,600.00,808.00,north,61.41
17,3.20,106.17,138.38,528.00,784.00,north,57.44
18,3.40,100.33,144.45,512.00,656.00,north,55.02
19,3.60,93.66,150.74,508.00,668.00,north,52.99
20,3.80,86.88,156.67,476.00,664.00,north,51.98
21,4.00,79.26,162.35,420.00,616.00,north,51.64
22,4.20,73.08,167.67,416.00,564.00,north,52.99
23,4.40,67.58,173.35,400.00,488.00,north,56.06
24,4.60,62.81,178.45,328.00,472.00,north,59.54
25,4.80,59.58,182.62,236.00,284.00,n ext,62.86
26,5.00,57.95,184.78,200.00,196.00,n ext,64.69
27,5.20,57.77,188.30,108.00,164.00,n ext,68.15
28,5.40,56.95,189.42,112.00,116.00,n ext,69.13
29,5.60,59.28,188.76,156.00,164.00,n ext,68.84
30,5.80,60.88,187.47,172.00,136.00,n ext,67.87
31,6.00,63.32,184.28,232.00,252.00,n ext,65.32
32,6.20,68.13,179.07,240.00,352.00,north,61.66
33,6.40,73.65,174.09,324.00,396.00,north,59.02
34,6.60,79.13,168.70,368.00,452.00,north,56.85
35,6.80,84.54,163.68,436.00,500.00,north,55.89
36,7.00,90.64,159.01,428.00,552.00,north,56.28
37,7.20,97.45,154.72,380.00,528.00,north,58.43
38,7.40,103.44,150.69,376.00,516.00,north,60.98
39,7.60,110.13,146.97,360.00,488.00,north,64.76
40,7.80,115.33,144.71,448.00,440.00,north,68.38
41,8.00,122.78,142.17,428.00,548.00,north,74.26
42,8.20,129.50,140.36,424.00,468.00,north,80.01
43,8.40,136.13,136.98,428.00,532.00,east,85.44
44,8.60,142.03,134.18,460.00,504.00,east,90.56
45,8.80,148.02,132.10,432.00,452.00,east,96.01
46,9.00,154.13,130.79,460.00,436.00,east,101.79
47,9.20,159.78,131.95,424.00,412.00,east,107.55
48,9.40,162.34,133.39,348.00,324.00,east,110.33
49,9.60,164.22,135.63,340.00,312.00,east,112.59
50,9.80,166.75,142.72,300.00,320.00,east,116.55
51,10.00,168.40,148.81,276.00,304.00,east,119.69
52,10.20,167.08,151.20,280.00,348.00,east,119.11
53,10.40,165.16,155.21,184.00,304.00,east,118.55
54,10.60,161.23,156.61,212.00,236.00,east,115.34
55,10.80,157.92,156.38,264.00,268.00,east,112.16
56,11.00,151.16,154.15,364.00,380.00,east,105.05
57,11.20,144.53,152.13,420.00,424.00,north,98.14
58,11.40,137.23,150.10,448.00,468.00,north,90.61
59,11.60,127.72,147.81,424.00,568.00,north,80.95
60,11.80,119.92,145.47,468.00,540.00,north,72.87
61,12.00,110.74,142.56,464.00,604.00,north,63.31
62,12.20,103.96,138.91,488.00,504.00,north,55.63
63,12.40,95.14,134.79,448.00,640.00,north,45.89
64,12.60,87.90,131.83,504.00,560.00,north,38.08
65,12.80,81.46,129.11,484.00,548.00,north,31.09
66,13.00,74.29,127.27,488.00,572.00,west,23.86
67,13.20,65.63,125.68,476.00,620.00,west,15.66
68,13.40,59.09,124.03,440.00,580.00,west,9.31
69,13.60,52.46,122.40,392.00,464.00,west,3.61
70,13.80,50.23,121.85,312.00,312.00,west,1.82
71,14.00,47.23,121.37,200.00,200.00,west,0.39
72,14.20,46.48,120.66,204.00,76.00,platform,0.00
73,14.40,46.48,120.66,360.00,164.00,platform,0.00
74,14.60,45.00,118.42,456.00,248.00,platform,0.00
75,14.80,45.78,116.76,508.00,196.00,platform,0.00
76,15.00,45.77,117.56,440.00,108.00,platform,0.00
77,15.20,45.78,116.76,424.00,104.00,platform,0.00
78,15.40,45.78,116.76,436.00,116.00,platform,0.00
79,15.60,46.54,116.70,432.00,92.00,platform,0.00
80,15.80,45.78,116.76,420.00,84.00,platform,0.00
81,16.00,45.78,116.76,456.00,108.00,platform,0.00
