Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00042.trk
Object,0
Samples,63
rat,95,
trial,2,
date,2007-12-15 13:05:44.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,163.43,33.34,240.00,248.00,e ext,-,134.31
2,0.20,164.88,35.59,316.00,244.00,e ext,2.67,134.29
3,0.40,164.92,37.54,232.00,276.00,e ext,1.96,133.24
4,0.60,165.77,43.07,272.00,272.00,e ext,5.59,131.03
5,0.80,165.25,50.11,332.00,332.00,e ext,7.06,127.09
6,1.00,164.12,59.14,340.00,384.00,east,9.10,122.03
7,1.20,161.58,68.26,372.00,392.00,east,9.46,116.11
8,1.40,159.05,76.95,400.00,404.00,east,9.05,110.83
9,1.60,155.76,84.46,348.00,444.00,east,8.21,105.60
10,1.80,151.60,89.11,352.00,372.00,east,6.24,100.48
11,2.00,148.80,91.78,388.00,324.00,east,3.86,97.20
12,2.20,144.52,93.58,376.00,396.00,east,4.65,92.66
13,2.40,138.79,94.51,436.00,420.00,east,5.81,86.85
14,2.60,132.35,93.87,460.00,432.00,east,6.47,80.66
15,2.80,125.99,93.23,460.00,456.00,east,6.39,74.60
16,3.00,118.98,91.16,492.00,496.00,east,7.31,68.35
17,3.20,111.35,88.41,532.00,568.00,east,8.11,62.00
18,3.40,105.14,86.32,540.00,568.00,south,6.56,57.09
19,3.60,98.92,82.08,548.00,584.00,south,7.53,53.65
20,3.80,93.37,76.99,492.00,488.00,south,7.53,51.89
21,4.00,86.32,72.28,528.00,508.00,south,8.48,49.74
22,4.20,79.82,66.49,496.00,512.00,south,8.70,50.09
23,4.40,73.11,60.20,456.00,520.00,south,9.20,51.93
24,4.60,68.48,55.39,488.00,424.00,south,6.67,54.45
25,4.80,64.46,49.60,400.00,520.00,south,7.05,58.74
26,5.00,63.57,46.88,424.00,424.00,south,2.87,61.16
27,5.20,62.57,42.38,456.00,432.00,south,4.61,65.33
28,5.40,64.01,40.21,444.00,396.00,south,2.60,67.75
29,5.60,67.80,38.68,456.00,332.00,south,4.09,70.16
30,5.80,72.41,38.99,396.00,348.00,south,4.61,71.21
31,6.00,75.46,39.70,456.00,356.00,south,3.14,71.60
32,6.20,80.06,43.11,468.00,404.00,south,5.72,70.33
33,6.40,82.35,45.93,524.00,368.00,south,3.64,68.86
34,6.60,83.92,50.94,488.00,396.00,south,5.25,65.33
35,6.80,84.02,56.40,516.00,404.00,south,5.46,60.82
36,7.00,83.38,62.41,512.00,420.00,south,6.04,55.48
37,7.20,81.29,68.89,488.00,472.00,south,6.81,49.01
38,7.40,78.46,75.94,484.00,484.00,south,7.59,41.74
39,7.60,74.88,82.14,512.00,516.00,west,7.17,34.71
40,7.80,71.26,90.54,492.00,588.00,west,9.14,26.20
41,8.00,67.59,97.57,476.00,504.00,west,7.93,18.94
42,8.20,63.13,105.48,428.00,536.00,west,9.08,10.93
43,8.40,58.60,112.94,412.00,496.00,west,8.72,4.84
44,8.60,54.01,119.97,424.00,444.00,west,8.40,2.80
45,8.80,48.57,128.27,360.00,472.00,west,9.92,7.41
46,9.00,43.10,134.71,372.00,404.00,west,8.45,13.72
47,9.20,39.17,138.77,316.00,392.00,west,5.65,18.30
48,9.40,36.06,140.32,324.00,352.00,west,3.48,20.70
49,9.60,33.70,141.74,356.00,360.00,west,2.75,22.93
50,9.80,32.24,138.67,332.00,280.00,west,3.40,20.93
51,10.00,32.35,134.34,340.00,232.00,west,4.33,17.17
52,10.20,33.23,129.03,360.00,260.00,west,5.39,12.31
53,10.40,36.46,122.62,388.00,340.00,west,7.17,5.48
54,10.60,39.62,117.28,356.00,368.00,platform,6.20,0.00
55,10.80,41.19,114.69,380.00,248.00,platform,3.03,0.00
56,11.00,41.97,114.64,340.00,160.00,platform,0.78,0.00
57,11.20,42.73,115.39,352.00,172.00,platform,1.07,0.00
58,11.40,42.73,115.39,328.00,80.00,platform,0.00,0.00
59,11.60,42.73,115.39,344.00,72.00,platform,0.00,0.00
60,11.80,42.73,115.39,344.00,72.00,platform,0.00,0.00
61,12.00,42.73,115.39,332.00,124.00,platform,0.00,0.00
62,12.20,42.73,115.39,344.00,116.00,platform,0.00,0.00
63,12.40,44.27,115.28,368.00,152.00,platform,1.54,0.00
