Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00008.trk
Object,0
Samples,450
rat,104,
trial,4,
date,2007-12-15 11:42:03.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,89.45,8.92,268.00,s ext,-,105.38
2,0.20,93.26,10.44,348.00,s ext,4.10,105.51
3,0.40,96.35,15.40,416.00,s ext,5.84,102.40
4,0.60,100.08,19.27,412.00,s ext,5.37,100.81
5,0.80,103.03,25.51,428.00,south,6.91,97.07
6,1.00,104.49,31.49,468.00,south,6.15,92.92
7,1.20,105.22,37.29,540.00,south,5.85,88.65
8,1.40,105.23,45.33,572.00,south,8.04,82.40
9,1.60,105.93,52.33,608.00,south,7.03,77.71
10,1.80,105.92,57.64,564.00,south,5.31,73.99
11,2.00,105.91,61.37,480.00,south,3.73,71.48
12,2.20,105.21,64.33,432.00,south,3.04,69.04
13,2.40,103.13,67.25,528.00,south,3.59,65.58
14,2.60,100.35,70.10,612.00,south,3.98,61.63
15,2.80,95.47,72.82,568.00,south,5.58,56.12
16,3.00,91.97,74.09,592.00,south,3.72,52.62
17,3.20,87.03,74.49,628.00,south,4.95,48.69
18,3.40,82.76,74.88,528.00,south,4.29,45.40
19,3.60,80.60,73.23,512.00,south,2.72,45.20
20,3.80,79.15,72.35,516.00,south,1.69,44.97
21,4.00,77.66,68.48,544.00,south,4.15,47.25
22,4.20,77.62,65.47,544.00,south,3.01,49.73
23,4.40,78.33,64.05,492.00,south,1.58,51.30
24,4.60,79.03,62.63,456.00,south,1.59,52.88
25,4.80,81.21,62.15,536.00,south,2.22,54.48
26,5.00,84.80,61.06,540.00,south,3.76,57.40
27,5.20,88.38,60.67,584.00,south,3.60,59.85
28,5.40,91.93,59.47,600.00,south,3.75,63.02
29,5.60,94.75,58.90,568.00,south,2.88,65.29
30,5.80,96.86,58.26,528.00,south,2.20,67.17
31,6.00,98.96,58.34,488.00,south,2.10,68.55
32,6.20,100.36,56.87,532.00,south,2.02,70.58
33,6.40,101.75,55.38,512.00,south,2.04,72.61
34,6.60,102.45,55.39,604.00,south,0.70,73.09
35,6.80,103.15,54.64,536.00,south,1.03,74.12
36,7.00,103.84,53.11,492.00,south,1.68,75.70
37,7.20,104.54,53.11,488.00,south,0.69,76.18
38,7.40,103.84,52.35,496.00,south,1.03,76.26
39,7.60,102.45,53.11,548.00,south,1.59,74.75
40,7.80,100.36,54.60,596.00,south,2.57,72.23
41,8.00,97.56,57.54,596.00,south,4.05,68.18
42,8.20,95.47,61.92,600.00,south,4.86,63.55
43,8.40,92.67,67.64,568.00,south,6.37,57.51
44,8.60,90.56,72.58,556.00,south,5.36,52.57
45,8.80,88.45,76.73,552.00,south,4.66,48.23
46,9.00,86.32,80.85,540.00,south,4.63,43.96
47,9.20,84.18,86.35,548.00,south,5.90,38.98
48,9.40,82.03,91.82,608.00,west,5.88,34.16
49,9.60,80.55,98.00,620.00,west,6.36,29.87
50,9.80,79.04,104.88,620.00,west,7.04,26.23
51,10.00,77.52,111.10,572.00,west,6.40,23.78
52,10.20,75.96,117.38,572.00,west,6.46,22.48
53,10.40,74.38,123.74,596.00,west,6.55,22.47
54,10.60,73.45,131.59,568.00,west,7.91,25.43
55,10.80,72.53,138.13,548.00,north,6.61,28.72
56,11.00,72.27,146.23,528.00,north,8.10,34.57
57,11.20,72.05,153.00,500.00,north,6.78,39.85
58,11.40,71.85,159.16,496.00,north,6.16,44.92
59,11.60,70.85,166.36,436.00,north,7.27,50.83
60,11.80,69.08,173.92,376.00,north,7.76,57.11
61,12.00,66.55,180.20,376.00,north,6.77,62.28
62,12.20,63.25,186.03,300.00,n ext,6.70,66.99
63,12.40,59.20,190.54,284.00,n ext,6.07,70.59
64,12.60,56.72,193.93,240.00,n ext,4.19,73.56
65,12.80,54.37,194.67,148.00,n ext,2.46,74.03
66,13.00,57.68,190.09,80.00,n ext,5.65,69.89
67,13.20,48.51,190.49,72.00,n ext,9.18,69.39
68,13.40,47.12,188.37,228.00,n ext,2.54,67.22
69,13.60,43.53,185.38,284.00,n ext,4.67,64.23
70,13.80,39.36,180.10,276.00,w ext,6.74,59.22
71,14.00,37.43,174.79,328.00,w ext,5.65,54.14
72,14.20,35.58,167.71,384.00,w ext,7.31,47.39
73,14.40,32.91,160.91,436.00,west,7.31,41.30
74,14.60,31.72,153.51,428.00,west,7.50,34.57
75,14.80,29.73,144.52,420.00,west,9.21,27.23
76,15.00,29.16,136.77,452.00,west,7.76,20.95
77,15.20,28.50,128.99,460.00,west,7.81,15.67
78,15.40,26.95,118.56,444.00,west,10.55,12.39
79,15.60,26.88,109.60,468.00,west,8.96,12.47
80,15.80,26.75,102.38,500.00,west,7.22,15.24
81,16.00,28.15,93.37,464.00,west,9.12,19.72
82,16.20,29.47,84.44,484.00,west,9.03,26.13
83,16.40,31.50,74.77,472.00,west,9.88,33.89
84,16.60,35.12,65.56,500.00,west,9.90,41.75
85,16.80,37.84,56.32,468.00,west,9.64,50.28
86,17.00,41.46,49.24,444.00,west,7.95,56.91
87,17.20,44.08,40.10,436.00,south,9.51,65.92
88,17.40,46.80,32.81,436.00,south,7.79,73.18
89,17.60,51.18,26.12,364.00,south,7.99,79.95
90,17.80,55.61,20.36,412.00,s ext,7.27,86.02
91,18.00,60.03,14.51,428.00,s ext,7.33,92.34
92,18.20,64.50,9.52,428.00,s ext,6.70,97.97
93,18.40,69.09,6.36,324.00,s ext,5.57,101.93
94,18.60,72.28,6.47,240.00,s ext,3.19,102.49
95,18.80,75.44,6.51,312.00,s ext,3.16,103.21
96,19.00,80.94,7.09,348.00,s ext,5.53,104.18
