Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00028.trk
Object,0
Samples,53
rat,91,
trial,4,
date,2007-12-14 11:42:17.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,169.70,163.46,212.00,184.00,east,125.73
2,0.20,166.74,160.44,268.00,224.00,east,121.85
3,0.40,164.70,157.83,288.00,172.00,east,119.01
4,0.60,161.84,154.99,292.00,172.00,east,115.34
5,0.80,159.87,152.52,340.00,176.00,east,112.67
6,1.00,156.76,147.10,380.00,296.00,east,108.03
7,1.20,153.65,141.01,420.00,336.00,east,103.41
8,1.40,151.46,135.35,448.00,356.00,east,100.03
9,1.60,149.28,129.01,396.00,380.00,east,96.72
10,1.80,147.13,122.05,456.00,372.00,east,93.73
11,2.00,145.09,115.30,492.00,420.00,east,91.35
12,2.20,140.15,107.77,468.00,544.00,east,86.50
13,2.40,134.79,102.17,516.00,504.00,east,81.66
14,2.60,128.19,96.87,564.00,584.00,east,76.00
15,2.80,121.77,91.84,568.00,588.00,east,70.85
16,3.00,114.80,86.98,568.00,592.00,east,65.73
17,3.20,107.22,82.86,572.00,660.00,south,60.48
18,3.40,99.63,79.30,588.00,616.00,south,55.75
19,3.60,91.97,75.51,528.00,660.00,south,51.71
20,3.80,84.89,71.44,500.00,564.00,south,49.37
21,4.00,78.35,65.56,448.00,580.00,south,50.06
22,4.20,73.07,58.63,452.00,532.00,south,53.31
23,4.40,69.10,51.48,468.00,448.00,south,58.33
24,4.60,64.89,42.16,404.00,488.00,south,66.06
25,4.80,60.54,33.95,412.00,392.00,south,73.23
26,5.00,58.69,29.76,380.00,288.00,south,77.05
27,5.20,55.07,23.88,300.00,312.00,s ext,82.46
28,5.40,53.09,19.36,228.00,240.00,s ext,86.81
29,5.60,51.16,15.70,216.00,180.00,s ext,90.36
30,5.80,43.83,8.49,112.00,256.00,s ext,97.54
31,6.00,40.80,12.05,100.00,212.00,s ext,94.08
32,6.20,40.32,15.79,208.00,260.00,s ext,90.37
33,6.40,38.36,21.78,240.00,296.00,s ext,84.53
34,6.60,37.36,29.12,352.00,320.00,s ext,77.32
35,6.80,36.48,38.32,312.00,384.00,west,68.29
36,7.00,36.39,47.65,364.00,436.00,west,59.07
37,7.20,35.37,56.55,380.00,456.00,west,50.49
38,7.40,34.34,66.29,416.00,452.00,west,41.20
39,7.60,35.64,75.48,380.00,428.00,west,31.96
40,7.80,37.63,84.49,396.00,440.00,west,22.75
41,8.00,40.25,92.37,420.00,416.00,west,14.46
42,8.20,42.73,99.94,420.00,440.00,west,6.57
43,8.40,45.08,105.62,428.00,368.00,west,0.55
44,8.60,45.85,108.00,492.00,272.00,platform,0.00
45,8.80,48.13,110.30,464.00,340.00,platform,0.00
46,9.00,48.88,111.84,528.00,240.00,platform,0.00
47,9.20,50.40,111.77,464.00,336.00,platform,0.00
48,9.40,49.64,111.80,508.00,164.00,platform,0.00
49,9.60,49.62,113.36,484.00,224.00,platform,0.00
50,9.80,49.63,112.58,436.00,128.00,platform,0.00
51,10.00,49.63,112.58,432.00,132.00,platform,0.00
52,10.20,48.87,112.62,440.00,136.00,platform,0.00
53,10.40,48.87,112.62,440.00,120.00,platform,0.00
