Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00073.trk
Object,0
Samples,132
rat,101,
trial,1,
date,2007-12-14 13:48:44.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,-,-,-,-,-,-
2,0.20,-,-,-,-,-,-
3,0.40,85.03,12.75,112.00,-,s ext,100.18
4,0.60,82.75,13.19,312.00,240.00,s ext,98.99
5,0.80,80.47,13.57,468.00,300.00,s ext,97.87
6,1.00,78.17,13.91,348.00,320.00,s ext,96.84
7,1.20,75.86,14.21,444.00,408.00,s ext,95.89
8,1.40,71.82,12.05,420.00,296.00,s ext,96.95
9,1.60,67.59,7.76,320.00,332.00,s ext,100.27
10,1.80,65.94,7.16,312.00,264.00,s ext,100.55
11,2.00,61.63,3.52,120.00,320.00,s ext,103.45
12,2.20,60.79,3.17,96.00,96.00,s ext,103.68
13,2.40,62.55,4.87,88.00,80.00,s ext,102.24
14,2.60,63.31,4.19,128.00,80.00,s ext,103.03
15,2.80,63.23,3.18,104.00,80.00,s ext,104.02
16,3.00,63.99,2.49,104.00,64.00,s ext,104.82
17,3.20,64.90,3.83,96.00,80.00,s ext,103.64
18,3.40,66.49,3.46,108.00,100.00,s ext,104.29
19,3.60,66.42,2.44,120.00,68.00,s ext,105.27
20,3.80,66.42,2.44,140.00,60.00,s ext,105.27
21,4.00,66.42,2.44,112.00,60.00,s ext,105.27
22,4.20,65.73,4.15,92.00,100.00,s ext,103.47
23,4.40,64.90,3.83,104.00,68.00,s ext,103.64
24,4.60,63.23,3.18,156.00,124.00,s ext,104.02
25,4.80,60.71,2.15,136.00,172.00,s ext,104.68
26,5.00,58.33,3.13,128.00,176.00,s ext,103.43
27,5.20,55.94,4.08,124.00,188.00,s ext,102.26
28,5.40,53.36,2.93,120.00,116.00,s ext,103.22
29,5.60,49.97,2.37,116.00,164.00,s ext,103.64
30,5.80,47.64,4.29,128.00,212.00,s ext,101.70
31,6.00,45.30,6.18,128.00,176.00,s ext,99.82
32,6.20,41.95,6.58,140.00,188.00,s ext,99.49
33,6.40,42.17,8.70,240.00,260.00,s ext,97.37
34,6.60,36.21,8.82,108.00,332.00,s ext,97.64
35,6.80,33.83,10.69,92.00,176.00,s ext,96.03
36,7.00,29.72,12.75,120.00,196.00,s ext,94.59
37,7.20,26.39,14.19,140.00,188.00,s ext,93.79
38,7.40,23.29,17.85,124.00,264.00,s ext,90.89
39,7.60,21.67,19.15,84.00,112.00,w ext,90.00
40,7.80,21.91,21.34,76.00,80.00,w ext,87.82
41,8.00,21.10,22.00,112.00,92.00,w ext,87.38
42,8.20,19.47,23.33,100.00,76.00,w ext,86.54
43,8.40,19.47,23.33,108.00,40.00,w ext,86.54
44,8.60,20.65,25.93,84.00,80.00,w ext,83.71
45,8.80,20.76,27.01,64.00,68.00,w ext,82.64
46,9.00,19.95,27.69,92.00,52.00,w ext,82.22
47,9.20,18.90,26.19,136.00,84.00,w ext,83.96
48,9.40,16.90,24.24,184.00,112.00,w ext,86.42
49,9.60,15.83,22.70,148.00,92.00,w ext,88.22
50,9.80,16.90,24.24,104.00,76.00,w ext,86.42
51,10.00,18.90,26.19,60.00,108.00,w ext,83.96
52,10.20,18.78,25.09,128.00,92.00,w ext,85.04
53,10.40,18.54,22.89,184.00,112.00,w ext,87.22
54,10.60,20.41,23.75,252.00,268.00,w ext,85.87
55,10.80,23.53,20.03,212.00,296.00,s ext,88.71
56,11.00,25.95,18.09,224.00,284.00,s ext,90.06
57,11.20,28.36,16.17,232.00,288.00,s ext,91.46
58,11.40,31.56,13.64,248.00,264.00,s ext,93.41
59,11.60,34.74,11.14,276.00,284.00,s ext,95.48
60,11.80,38.81,9.08,216.00,372.00,s ext,97.16
61,12.00,44.41,5.76,196.00,308.00,s ext,100.26
62,12.20,47.06,7.02,208.00,316.00,s ext,98.97
63,12.40,52.68,4.62,156.00,316.00,s ext,101.50
64,12.60,55.34,6.79,208.00,324.00,s ext,99.51
65,12.80,60.34,7.90,292.00,348.00,s ext,98.93
66,13.00,67.65,8.74,316.00,400.00,s ext,99.32
67,13.20,74.81,9.19,360.00,396.00,s ext,100.45
68,13.40,82.55,8.44,388.00,460.00,s ext,103.40
69,13.60,91.67,7.39,364.00,488.00,s ext,107.65
70,13.80,100.59,5.46,332.00,488.00,s ext,113.17
71,14.00,107.17,4.60,284.00,408.00,s ext,117.05
72,14.20,114.36,5.97,240.00,388.00,s ext,119.62
73,14.40,119.99,6.97,276.00,404.00,s ext,121.91
74,14.60,125.54,7.56,280.00,356.00,s ext,124.63
75,14.80,131.01,7.76,288.00,392.00,s ext,127.80
76,15.00,137.08,9.22,264.00,400.00,s ext,130.55
77,15.20,141.75,10.92,256.00,360.00,s ext,132.41
78,15.40,147.75,12.69,264.00,392.00,s ext,135.31
79,15.60,153.10,14.59,244.00,412.00,e ext,137.86
80,15.80,159.19,16.95,212.00,400.00,e ext,140.84
81,16.00,164.72,21.69,208.00,396.00,e ext,142.16
82,16.20,168.28,25.74,208.00,336.00,e ext,142.62
83,16.40,172.72,31.59,196.00,356.00,e ext,143.03
84,16.60,178.24,40.52,140.00,320.00,e ext,143.09
85,16.80,180.85,46.97,212.00,328.00,e ext,142.38
86,17.00,184.43,54.40,228.00,328.00,e ext,142.51
87,17.20,187.51,63.50,188.00,384.00,e ext,142.09
88,17.40,189.89,71.96,144.00,332.00,e ext,141.81
89,17.60,193.14,79.37,60.00,188.00,e ext,143.14
90,17.80,194.34,82.67,96.00,124.00,e ext,143.64
91,18.00,194.14,88.48,116.00,196.00,e ext,142.39
92,18.20,194.09,95.37,124.00,216.00,e ext,141.35
93,18.40,193.08,101.07,180.00,264.00,e ext,139.76
94,18.60,192.22,107.78,316.00,288.00,e ext,138.52
95,18.80,191.11,118.72,316.00,440.00,e ext,137.45
96,19.00,191.12,130.68,352.00,452.00,e ext,138.39
97,19.20,192.14,142.82,312.00,432.00,e ext,141.37
98,19.40,192.55,155.88,324.00,388.00,e ext,144.85
99,19.60,190.02,166.64,312.00,428.00,e ext,145.81
100,19.80,187.27,175.94,340.00,412.00,e ext,146.79
101,20.00,185.68,186.63,296.00,436.00,e ext,150.08
102,20.20,184.88,196.63,212.00,364.00,e ext,154.36
103,20.40,182.42,202.56,172.00,264.00,n ext,155.47
104,20.60,175.75,204.95,176.00,260.00,n ext,151.27
105,20.80,169.67,205.59,204.00,308.00,n ext,146.71
106,21.00,164.77,207.90,152.00,252.00,n ext,144.23
107,21.20,-,-,-,-,-,-
108,21.40,-,-,-,-,-,-
109,21.60,147.02,206.57,60.00,-,n ext,129.88
110,21.80,143.96,203.16,168.00,164.00,n ext,125.32
111,22.00,136.44,197.95,260.00,276.00,n ext,116.26
112,22.20,126.44,191.40,236.00,344.00,n ext,104.50
113,22.40,117.61,185.12,332.00,360.00,north,93.80
114,22.60,106.68,179.23,340.00,488.00,north,81.99
115,22.80,96.95,173.75,368.00,532.00,north,71.47
116,23.00,86.79,169.23,416.00,568.00,north,61.66
117,23.20,76.95,164.09,412.00,572.00,north,51.80
118,23.40,68.10,159.67,428.00,608.00,north,43.61
119,23.60,60.18,154.05,452.00,600.00,west,35.42
120,23.80,52.35,147.10,420.00,600.00,west,26.62
121,24.00,48.27,137.73,412.00,568.00,west,16.77
122,24.20,45.59,127.10,404.00,568.00,west,5.93
123,24.40,43.46,118.56,476.00,560.00,platform,0.00
124,24.60,43.51,114.53,456.00,404.00,platform,0.00
125,24.80,45.82,113.58,472.00,352.00,platform,0.00
126,25.00,47.33,114.28,488.00,272.00,platform,0.00
127,25.20,47.35,112.70,464.00,256.00,platform,0.00
128,25.40,48.89,111.06,476.00,180.00,platform,0.00
129,25.60,49.66,109.47,484.00,184.00,platform,0.00
130,25.80,49.66,109.47,528.00,148.00,platform,0.00
131,26.00,48.89,110.27,464.00,136.00,platform,0.00
132,26.20,48.89,111.06,492.00,212.00,platform,0.00
