Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00015.trk
Object,0
Samples,450
rat,103,
trial,3,
date,2007-12-14 11:01:01.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,126.02,24.62,292.00,532.00,s ext,111.68
2,0.20,120.57,21.42,340.00,432.00,s ext,110.61
3,0.40,113.64,18.01,352.00,492.00,s ext,109.21
4,0.60,107.24,13.02,372.00,484.00,s ext,109.85
5,0.80,102.09,7.43,328.00,436.00,s ext,112.13
6,1.00,98.36,5.31,276.00,324.00,s ext,112.32
7,1.20,96.14,6.06,184.00,284.00,s ext,110.69
8,1.40,96.14,6.06,188.00,156.00,s ext,110.69
9,1.60,92.37,5.59,164.00,184.00,s ext,109.58
10,1.80,88.65,7.83,160.00,292.00,s ext,106.09
11,2.00,84.33,14.46,344.00,488.00,s ext,98.34
12,2.20,82.21,18.58,500.00,476.00,s ext,93.74
13,2.40,78.59,23.14,644.00,568.00,south,88.22
14,2.60,75.00,28.44,672.00,612.00,south,82.03
15,2.80,70.67,34.28,692.00,604.00,south,75.17
16,3.00,67.11,40.20,644.00,624.00,south,68.51
17,3.20,59.73,47.56,500.00,776.00,south,59.71
18,3.40,52.08,51.45,408.00,668.00,south,54.73
19,3.60,44.14,52.72,436.00,564.00,west,53.31
20,3.80,35.11,52.80,472.00,580.00,west,54.22
21,4.00,26.70,53.10,464.00,544.00,west,55.95
22,4.20,17.97,52.40,432.00,592.00,w ext,59.79
23,4.40,8.77,49.50,312.00,480.00,w ext,66.73
24,4.60,7.00,49.99,224.00,144.00,w ext,67.25
25,4.80,8.05,51.39,180.00,164.00,w ext,65.51
26,5.00,6.38,53.01,64.00,156.00,w ext,65.09
27,5.20,5.76,56.04,76.00,116.00,w ext,62.99
28,5.40,8.02,60.91,224.00,284.00,w ext,57.73
29,5.60,7.90,70.34,356.00,460.00,w ext,50.39
30,5.80,8.66,80.88,396.00,544.00,w ext,42.44
31,6.00,9.34,92.27,424.00,540.00,w ext,35.36
32,6.20,9.09,106.56,420.00,612.00,w ext,30.51
33,6.40,7.73,119.93,384.00,620.00,w ext,31.54
34,6.60,5.32,131.65,352.00,544.00,w ext,36.98
35,6.80,5.37,138.88,228.00,420.00,w ext,40.37
36,7.00,6.21,143.79,180.00,256.00,w ext,42.39
37,7.20,8.71,147.08,84.00,240.00,w ext,42.46
38,7.40,9.55,146.81,136.00,116.00,w ext,41.65
39,7.60,9.51,149.83,140.00,132.00,w ext,43.74
40,7.80,11.08,154.25,100.00,200.00,w ext,45.88
41,8.00,15.22,151.80,208.00,308.00,w ext,41.34
42,8.20,21.59,153.35,316.00,404.00,w ext,39.01
43,8.40,27.09,153.28,332.00,464.00,west,36.20
44,8.60,33.97,154.50,368.00,484.00,west,34.83
45,8.80,40.74,155.75,404.00,540.00,west,34.87
46,9.00,48.09,158.51,388.00,568.00,west,37.44
47,9.20,55.34,162.23,372.00,576.00,north,42.04
48,9.40,61.85,166.34,392.00,540.00,north,47.66
49,9.60,66.94,170.19,340.00,444.00,north,52.88
50,9.80,71.35,174.40,284.00,376.00,north,58.38
51,10.00,73.53,178.26,252.00,232.00,north,62.79
52,10.20,75.04,179.77,224.00,220.00,north,64.77
53,10.40,77.30,182.94,200.00,200.00,north,68.59
54,10.60,78.82,186.27,180.00,188.00,n ext,72.25
55,10.80,79.58,187.97,192.00,148.00,n ext,74.11
56,11.00,77.96,190.74,248.00,152.00,n ext,76.01
57,11.20,77.10,194.39,192.00,208.00,n ext,79.10
58,11.40,75.47,196.37,160.00,160.00,n ext,80.40
59,11.60,75.44,198.20,112.00,88.00,n ext,82.13
60,11.80,74.63,198.29,104.00,40.00,n ext,81.96
61,12.00,74.63,198.29,76.00,52.00,n ext,81.96
62,12.20,-,-,-,-,-,-
63,12.40,73.00,199.42,68.00,-,n ext,82.54
64,12.60,-,-,-,-,-,-
65,12.80,74.61,199.22,88.00,-,n ext,82.83
66,13.00,78.66,197.91,60.00,132.00,n ext,82.95
67,13.20,81.92,194.08,160.00,196.00,n ext,80.65
68,13.40,86.77,192.21,272.00,312.00,n ext,81.07
69,13.60,92.43,190.62,280.00,272.00,n ext,82.49
70,13.80,100.57,189.65,276.00,404.00,n ext,86.26
71,14.00,108.78,189.27,292.00,416.00,n ext,90.98
