Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00029.trk
Object,0
Samples,450
rat,93,
trial,1,
date,2007-12-15 12:32:11.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,125.31,207.06,92.00,96.00,n ext,-,115.22
2,0.20,122.37,203.14,116.00,112.00,n ext,4.90,110.33
3,0.40,-,-,-,-,-,-,-
4,0.60,121.17,198.95,60.00,-,n ext,-,106.36
5,0.80,120.94,196.07,68.00,72.00,n ext,2.89,104.05
6,1.00,119.64,190.17,128.00,196.00,n ext,6.04,98.83
7,1.20,119.43,187.40,132.00,148.00,north,2.77,96.70
8,1.40,115.16,185.38,128.00,228.00,north,4.73,92.27
9,1.60,113.65,187.68,120.00,144.00,north,2.75,92.93
10,1.80,113.76,189.50,244.00,172.00,n ext,1.83,94.37
11,2.00,114.55,188.79,240.00,228.00,n ext,1.05,94.36
12,2.20,115.70,193.63,284.00,316.00,n ext,4.98,98.76
13,2.40,119.43,198.41,324.00,248.00,n ext,6.06,104.81
14,2.60,127.02,206.71,140.00,336.00,n ext,11.25,116.06
15,2.80,126.92,205.70,124.00,120.00,n ext,1.01,115.23
16,3.00,133.48,210.26,80.00,172.00,n ext,7.99,122.99
17,3.20,-,-,-,-,-,-,-
18,3.40,139.08,205.81,120.00,-,n ext,-,123.61
19,3.60,139.38,201.10,180.00,244.00,n ext,4.71,120.56
20,3.80,143.31,198.06,168.00,252.00,n ext,4.97,121.43
21,4.00,148.40,197.52,164.00,252.00,n ext,5.12,124.97
22,4.20,149.18,196.93,204.00,192.00,n ext,0.98,125.20
23,4.40,149.96,196.34,176.00,156.00,n ext,0.98,125.44
24,4.60,155.21,196.95,136.00,240.00,n ext,5.29,129.96
25,4.80,152.92,192.97,176.00,200.00,n ext,4.60,125.73
26,5.00,151.58,189.50,288.00,176.00,n ext,3.71,122.61
27,5.20,148.22,183.37,316.00,268.00,north,6.99,116.35
28,5.40,144.00,176.22,360.00,292.00,north,8.31,108.91
29,5.60,139.85,168.55,380.00,372.00,north,8.71,101.30
30,5.80,135.73,159.59,412.00,424.00,north,9.86,93.29
31,6.00,130.99,150.15,432.00,532.00,north,10.57,84.89
32,6.20,127.29,141.48,440.00,472.00,north,9.43,78.27
33,6.40,123.09,133.91,464.00,504.00,north,8.66,72.05
34,6.60,116.83,125.05,464.00,600.00,north,10.84,64.06
35,6.80,112.32,117.58,540.00,572.00,north,8.73,58.68
36,7.00,107.26,111.05,576.00,644.00,east,8.25,53.50
37,7.20,101.61,104.03,604.00,708.00,east,9.01,48.57
38,7.40,95.36,97.08,600.00,684.00,south,9.35,44.03
39,7.60,89.81,89.38,568.00,752.00,south,9.48,42.07
40,7.80,82.77,82.74,568.00,680.00,south,9.68,40.01
41,8.00,77.01,75.79,560.00,608.00,south,9.03,40.94
42,8.20,70.31,67.47,532.00,652.00,south,10.69,44.19
43,8.40,62.57,59.80,492.00,592.00,south,10.89,48.40
