Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00016.trk
Object,0
Samples,271
rat,103,
trial,4,
date,2007-12-15 12:00:19.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,84.11,8.80,172.00,s ext,-,103.57
2,0.20,86.31,6.42,204.00,s ext,3.24,106.56
3,0.40,87.85,6.73,312.00,s ext,1.57,106.82
4,0.60,90.88,6.31,248.00,s ext,3.06,108.33
5,0.80,91.67,7.39,276.00,s ext,1.33,107.65
6,1.00,93.99,9.59,264.00,s ext,3.20,106.58
7,1.20,96.31,13.56,308.00,s ext,4.60,104.02
8,1.40,97.14,18.18,352.00,s ext,4.69,100.31
9,1.60,99.40,22.77,416.00,south,5.12,97.44
10,1.80,102.33,27.22,368.00,south,5.33,95.25
11,2.00,104.50,32.33,384.00,south,5.55,92.23
12,2.20,105.92,35.64,420.00,south,3.60,90.39
13,2.40,107.33,39.69,472.00,south,4.29,88.07
14,2.60,108.71,42.85,488.00,south,3.46,86.56
15,2.80,110.78,47.49,516.00,south,5.08,84.56
16,3.00,112.83,50.47,496.00,south,3.62,83.93
17,3.20,115.55,53.34,492.00,south,3.95,84.03
18,3.40,118.95,55.30,508.00,south,3.92,85.40
19,3.60,122.34,56.42,496.00,south,3.58,87.42
20,3.80,125.06,58.35,468.00,south,3.33,88.51
21,4.00,127.09,59.59,456.00,south,2.38,89.52
22,4.20,129.81,61.49,452.00,east,3.32,90.76
23,4.40,131.87,63.49,472.00,east,2.87,91.45
24,4.60,135.30,65.26,452.00,east,3.87,93.55
25,4.80,140.18,68.39,428.00,east,5.79,96.44
26,5.00,144.42,70.89,492.00,east,4.93,99.25
27,5.20,148.77,74.30,472.00,east,5.53,101.99
28,5.40,153.92,76.89,480.00,east,5.76,105.97
29,5.60,160.09,82.19,464.00,east,8.14,110.36
30,5.80,165.78,88.00,460.00,east,8.13,114.59
