Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00009.trk
Object,0
Samples,47
rat,87,
trial,1,
date,2007-12-15 11:45:38.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,88.33,176.63,316.00,north,-,68.54
2,0.20,86.02,168.43,364.00,north,8.52,60.56
3,0.40,83.83,159.80,404.00,north,8.91,52.37
4,0.60,81.74,150.75,432.00,north,9.29,44.15
5,0.80,78.27,141.36,480.00,north,10.01,35.14
6,1.00,75.58,132.88,464.00,north,8.89,27.93
7,1.20,72.21,123.83,448.00,west,9.66,20.49
8,1.40,68.08,114.77,492.00,west,9.96,14.36
9,1.60,63.85,106.21,504.00,west,9.55,11.28
10,1.80,60.22,98.06,452.00,west,8.92,13.08
11,2.00,54.91,87.84,452.00,west,11.51,19.33
12,2.20,50.10,78.56,420.00,west,10.46,27.56
13,2.40,43.47,69.95,444.00,west,10.86,36.12
14,2.60,35.62,60.26,404.00,west,12.47,46.80
15,2.80,29.16,51.94,400.00,west,10.53,56.38
16,3.00,23.45,45.22,348.00,w ext,8.82,64.44
17,3.20,18.62,40.47,336.00,w ext,6.77,70.53
18,3.40,17.49,38.00,300.00,w ext,2.72,73.24
19,3.60,18.19,36.22,276.00,w ext,1.91,74.67
20,3.80,18.67,32.30,324.00,w ext,3.95,78.21
21,4.00,21.46,25.26,316.00,w ext,7.57,84.14
22,4.20,24.57,21.55,332.00,s ext,4.85,87.00
23,4.40,30.74,22.34,344.00,s ext,6.22,84.96
24,4.60,35.91,22.66,348.00,s ext,5.18,83.90
25,4.80,43.00,26.64,348.00,s ext,8.13,79.41
26,5.00,49.25,32.79,356.00,south,8.77,73.22
27,5.20,55.38,40.25,396.00,south,9.66,66.21
28,5.40,61.34,48.82,448.00,south,10.44,58.77
29,5.60,64.78,57.84,412.00,south,9.65,50.92
30,5.80,66.56,66.88,468.00,south,9.21,43.08
31,6.00,67.48,75.45,476.00,west,8.62,35.86
32,6.20,66.84,82.87,520.00,west,7.46,29.26
33,6.40,66.87,88.79,516.00,west,5.92,24.45
34,6.60,64.67,95.27,544.00,west,6.84,18.17
35,6.80,60.95,101.05,508.00,west,6.87,11.53
36,7.00,57.95,106.24,508.00,west,6.00,6.12
37,7.20,55.67,110.04,448.00,west,4.43,2.29
38,7.40,52.65,112.44,404.00,platform,3.86,0.00
39,7.60,50.39,112.54,440.00,platform,2.26,0.00
40,7.80,49.63,112.58,420.00,platform,0.76,0.00
41,8.00,49.62,113.36,440.00,platform,0.78,0.00
42,8.20,50.39,112.54,440.00,platform,1.12,0.00
43,8.40,49.62,113.36,460.00,platform,1.12,0.00
44,8.60,48.85,114.19,516.00,platform,1.13,0.00
45,8.80,48.86,113.40,484.00,platform,0.78,0.00
46,9.00,47.35,112.70,540.00,platform,1.67,0.00
47,9.20,45.82,112.79,536.00,platform,1.53,0.00
