Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00020.trk
Object,0
Samples,450
rat,90,
trial,4,
date,2007-12-14 11:15:45.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,187.35,161.37,172.00,184.00,e ext,141.53
2,0.20,183.07,161.78,224.00,172.00,e ext,137.62
3,0.40,178.26,163.92,244.00,268.00,e ext,133.85
4,0.60,174.05,164.21,288.00,244.00,e ext,130.03
5,0.80,167.03,162.43,180.00,324.00,east,122.87
6,1.00,165.26,161.76,212.00,136.00,east,120.98
7,1.20,159.03,158.56,280.00,276.00,east,114.00
8,1.40,153.06,156.52,308.00,308.00,east,107.69
9,1.60,146.47,155.26,412.00,400.00,north,101.12
10,1.80,139.41,156.50,420.00,480.00,north,95.19
11,2.00,131.74,159.28,376.00,540.00,north,89.62
12,2.20,127.29,163.01,408.00,400.00,north,87.71
13,2.40,122.17,169.13,404.00,516.00,north,86.84
14,2.60,118.67,176.68,364.00,480.00,north,88.81
15,2.80,115.10,184.48,288.00,452.00,north,91.58
16,3.00,113.76,189.50,252.00,220.00,n ext,94.37
17,3.20,110.66,193.30,132.00,232.00,n ext,95.30
18,3.40,109.87,194.04,168.00,156.00,n ext,95.39
19,3.60,106.54,194.26,200.00,224.00,n ext,93.55
20,3.80,103.95,191.96,192.00,200.00,n ext,90.14
21,4.00,102.98,188.21,240.00,208.00,n ext,86.58
22,4.20,102.82,183.79,284.00,236.00,north,82.97
23,4.40,102.61,177.74,308.00,304.00,north,78.18
24,4.60,102.40,171.03,328.00,340.00,north,73.10
25,4.80,102.21,163.73,384.00,352.00,north,67.90
26,5.00,101.26,155.81,372.00,404.00,north,62.11
27,5.20,100.37,147.41,336.00,484.00,north,56.63
28,5.40,99.54,139.30,356.00,420.00,north,51.82
29,5.60,99.51,133.57,372.00,352.00,north,49.45
30,5.80,98.76,128.61,380.00,368.00,north,47.18
31,6.00,98.76,125.12,380.00,280.00,north,46.36
32,6.20,99.48,119.63,316.00,368.00,north,46.08
33,6.40,101.61,117.66,356.00,344.00,north,48.01
34,6.60,103.74,117.07,432.00,220.00,north,50.09
35,6.80,108.01,115.92,524.00,396.00,north,54.29
36,7.00,114.43,115.61,564.00,480.00,east,60.70
37,7.20,121.55,113.99,524.00,552.00,east,67.80
38,7.40,127.20,110.75,552.00,508.00,east,73.45
39,7.60,131.39,107.30,500.00,444.00,east,77.79
40,7.80,134.16,104.42,500.00,384.00,east,80.78
41,8.00,136.13,99.91,540.00,384.00,east,83.30
42,8.20,139.50,94.50,512.00,428.00,east,87.56
43,8.40,142.15,88.89,520.00,432.00,east,91.32
44,8.60,146.19,82.11,528.00,528.00,east,97.02
45,8.80,150.20,74.07,496.00,520.00,east,103.41
46,9.00,153.55,67.39,484.00,436.00,east,109.01
47,9.20,156.23,61.42,360.00,364.00,east,113.92
48,9.40,157.44,53.81,244.00,380.00,east,118.46
49,9.60,155.95,50.66,260.00,264.00,east,118.71
50,9.80,153.81,48.70,284.00,232.00,east,117.89
51,10.00,148.93,47.71,240.00,316.00,east,114.30
52,10.20,142.75,47.97,316.00,380.00,east,109.00
53,10.40,136.62,48.85,420.00,400.00,east,103.43
54,10.60,130.52,50.29,496.00,460.00,south,97.63
55,10.80,123.05,52.43,492.00,556.00,south,90.39
56,11.00,115.55,54.11,536.00,564.00,south,83.52
57,11.20,108.68,55.30,524.00,588.00,south,77.60
58,11.40,101.06,56.88,612.00,624.00,south,71.05
59,11.60,94.75,58.90,580.00,512.00,south,65.29
60,11.80,89.11,62.23,548.00,512.00,south,59.09
61,12.00,84.14,66.23,540.00,536.00,south,52.86
62,12.20,79.86,70.95,384.00,476.00,south,46.51
63,12.40,77.02,76.53,340.00,436.00,south,40.37
64,12.60,75.60,82.93,336.00,476.00,west,34.63
65,12.80,74.16,90.00,388.00,452.00,west,28.75
66,13.00,71.96,96.30,428.00,512.00,west,23.29
67,13.20,69.74,101.94,472.00,492.00,west,18.43
68,13.40,64.53,109.83,480.00,592.00,west,11.06
69,13.60,59.28,115.87,456.00,552.00,west,5.87
70,13.80,50.96,122.55,380.00,572.00,west,2.82
71,14.00,44.06,127.32,368.00,460.00,west,6.27
72,14.20,37.10,130.05,384.00,424.00,west,11.05
73,14.40,30.83,132.06,368.00,352.00,west,16.18
74,14.60,26.84,133.75,360.00,296.00,west,20.12
75,14.80,24.42,135.17,336.00,280.00,west,22.83
76,15.00,22.79,137.38,284.00,244.00,west,25.55
77,15.20,22.73,140.13,272.00,332.00,west,27.58
78,15.40,23.50,141.76,296.00,168.00,west,28.33
79,15.60,26.67,141.81,320.00,240.00,west,26.51
80,15.80,30.57,142.54,332.00,268.00,west,25.11
81,16.00,33.64,143.46,372.00,248.00,west,24.52
82,16.20,37.39,145.86,360.00,308.00,west,25.61
83,16.40,39.52,149.45,280.00,256.00,west,28.74
84,16.60,40.94,151.54,292.00,268.00,west,30.66
85,16.80,44.38,157.95,160.00,388.00,west,36.79
86,17.00,45.86,158.34,280.00,264.00,west,37.17
87,17.20,50.90,161.78,248.00,368.00,west,40.97
88,17.40,55.26,163.86,256.00,256.00,north,43.62
89,17.60,61.96,163.91,264.00,352.00,north,45.36
90,17.80,67.89,165.21,292.00,348.00,north,48.58
91,18.00,76.11,167.34,292.00,480.00,north,54.14
92,18.20,82.94,169.30,368.00,468.00,north,59.45
93,18.40,91.45,173.40,392.00,488.00,north,67.81
94,18.60,99.43,178.19,356.00,500.00,north,76.48
95,18.80,107.69,183.74,212.00,440.00,north,86.04
96,19.00,113.71,188.58,152.00,284.00,n ext,93.65
97,19.20,118.92,191.78,100.00,212.00,n ext,99.52
98,19.40,123.07,191.21,144.00,188.00,n ext,101.97
99,19.60,127.22,190.75,168.00,224.00,n ext,104.61
