Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00004.trk
Object,0
Samples,151
rat,88,
trial,4,
date,2007-12-15 11:34:26.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,176.96,106.07,400.00,east,-,123.35
2,0.20,174.30,104.01,440.00,east,3.36,120.82
3,0.40,172.40,101.05,452.00,east,3.52,119.17
4,0.60,169.84,99.13,460.00,east,3.20,116.82
5,0.80,165.68,96.38,520.00,east,4.98,113.05
6,1.00,161.56,92.88,516.00,east,5.41,109.54
7,1.20,156.81,89.61,492.00,east,5.77,105.48
8,1.40,152.92,86.46,468.00,east,5.00,102.36
9,1.60,149.89,84.21,476.00,east,3.78,99.98
10,1.80,148.41,83.53,488.00,east,1.63,98.74
11,2.00,146.87,81.21,548.00,east,2.78,97.93
12,2.20,144.60,77.40,548.00,east,4.44,97.00
13,2.40,141.63,71.36,528.00,east,6.73,96.50
14,2.60,139.44,65.30,508.00,east,6.44,97.17
15,2.80,138.70,59.80,512.00,east,5.55,99.21
16,3.00,137.99,56.71,536.00,east,3.17,100.23
17,3.20,137.98,53.44,504.00,east,3.26,102.00
18,3.40,137.98,50.98,464.00,east,2.47,103.36
19,3.60,137.30,49.50,428.00,east,1.62,103.62
20,3.80,135.28,45.07,512.00,south,4.87,104.58
21,4.00,132.60,41.63,524.00,south,4.36,104.61
22,4.20,129.94,37.31,516.00,south,5.08,105.43
23,4.40,125.91,34.07,488.00,south,5.17,104.75
24,4.60,121.85,31.53,476.00,south,4.79,103.76
25,4.80,119.13,29.46,500.00,south,3.42,103.50
26,5.00,116.39,26.44,520.00,south,4.08,104.08
27,5.20,114.32,24.97,440.00,south,2.55,103.97
28,5.40,112.23,23.44,480.00,south,2.59,103.96
29,5.60,110.82,21.80,452.00,s ext,2.16,104.49
30,5.80,109.41,20.13,448.00,s ext,2.19,105.08
31,6.00,108.69,16.59,448.00,s ext,3.61,107.62
32,6.20,107.95,12.07,380.00,s ext,4.58,111.03
33,6.40,109.37,9.23,396.00,s ext,3.18,114.20
34,6.60,112.94,8.01,360.00,s ext,3.77,117.13
35,6.80,118.59,7.23,348.00,s ext,5.71,120.91
36,7.00,124.15,7.92,352.00,s ext,5.61,123.52
37,7.20,130.98,9.64,380.00,s ext,7.04,126.31
38,7.40,137.05,11.11,368.00,s ext,6.24,129.11
39,7.60,143.05,13.13,340.00,s ext,6.34,131.70
40,7.80,148.36,17.12,368.00,s ext,6.63,132.67
41,8.00,154.40,20.61,340.00,e ext,6.98,134.82
42,8.20,159.87,24.43,340.00,e ext,6.67,136.65
43,8.40,166.87,26.53,376.00,e ext,7.32,141.02
44,8.60,170.52,30.69,300.00,e ext,5.53,141.69
45,8.80,173.63,37.42,280.00,e ext,7.42,140.68
46,9.00,177.79,47.17,324.00,e ext,10.60,139.56
47,9.20,179.82,56.03,340.00,e ext,9.09,137.64
48,9.40,182.95,66.96,324.00,e ext,11.37,136.65
49,9.60,186.46,79.33,332.00,e ext,12.86,136.64
50,9.80,190.19,91.08,360.00,e ext,12.33,138.07
51,10.00,193.51,104.46,356.00,e ext,13.79,139.96
52,10.20,197.38,113.77,336.00,e ext,10.08,143.62
53,10.40,198.02,124.14,328.00,e ext,10.39,144.63
54,10.60,198.20,136.65,288.00,e ext,12.51,146.23
55,10.80,197.15,146.45,324.00,e ext,9.85,147.03
56,11.00,194.44,156.55,324.00,e ext,10.46,146.85
57,11.20,192.47,165.51,312.00,e ext,9.17,147.73
58,11.40,191.68,175.86,336.00,e ext,10.38,150.79
59,11.60,189.72,184.47,296.00,e ext,8.84,152.67
60,11.80,188.29,191.13,244.00,e ext,6.81,154.53
61,12.00,184.66,195.47,296.00,e ext,5.66,153.57
62,12.20,178.05,198.04,260.00,n ext,7.09,149.35
63,12.40,171.06,198.28,280.00,n ext,6.99,143.63
64,12.60,163.95,197.49,272.00,n ext,7.15,137.32
65,12.80,155.53,193.26,304.00,n ext,9.42,128.01
66,13.00,146.30,188.09,348.00,n ext,10.58,117.51
67,13.20,138.24,183.87,376.00,north,9.10,108.53
68,13.40,129.63,180.78,444.00,north,9.15,99.84
69,13.60,121.98,177.57,408.00,north,8.29,91.90
70,13.80,114.37,172.28,404.00,north,9.27,82.67
71,14.00,108.53,166.22,452.00,north,8.41,74.30
72,14.20,102.11,159.77,472.00,north,9.10,65.24
73,14.40,96.69,154.67,476.00,north,7.44,57.81
74,14.60,89.18,149.88,456.00,north,8.91,48.97
75,14.80,81.81,147.04,480.00,north,7.90,41.58
