Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00049.trk
Object,0
Samples,450
rat,98,
trial,1,
date,2007-12-14 12:46:22.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,-,-,-,-,-,-
2,0.20,-,-,-,-,-,-
3,0.40,88.58,5.91,100.00,-,s ext,107.85
4,0.60,90.08,5.22,136.00,92.00,s ext,109.04
5,0.80,92.31,3.66,144.00,176.00,s ext,111.34
6,1.00,94.61,4.93,96.00,200.00,s ext,111.08
7,1.20,95.39,5.98,92.00,108.00,s ext,110.45
8,1.40,96.93,8.03,68.00,136.00,s ext,109.25
9,1.60,98.44,9.10,96.00,68.00,s ext,108.96
10,1.80,100.67,10.18,156.00,116.00,s ext,109.03
11,2.00,102.15,11.17,212.00,176.00,s ext,108.87
12,2.20,104.34,12.13,280.00,244.00,s ext,109.12
13,2.40,106.52,13.03,276.00,204.00,s ext,109.46
14,2.60,107.96,13.91,268.00,216.00,s ext,109.48
15,2.80,110.81,14.66,240.00,188.00,s ext,110.42
16,3.00,113.64,16.21,272.00,224.00,s ext,110.70
17,3.20,115.74,18.65,360.00,280.00,s ext,109.90
18,3.40,118.49,23.54,368.00,352.00,s ext,107.65
19,3.60,121.19,29.11,408.00,368.00,south,105.12
20,3.80,123.86,35.34,408.00,432.00,south,102.40
21,4.00,126.51,42.23,484.00,516.00,south,99.59
22,4.20,129.17,48.97,520.00,548.00,south,97.35
23,4.40,131.18,55.75,552.00,560.00,south,95.05
24,4.60,132.55,64.15,564.00,652.00,east,91.70
25,4.80,132.62,72.66,576.00,764.00,east,87.77
26,5.00,132.08,82.61,532.00,772.00,east,83.45
27,5.20,129.45,90.96,540.00,688.00,east,78.50
28,5.40,126.10,98.32,596.00,688.00,east,73.69
29,5.60,121.34,106.10,624.00,684.00,east,67.86
30,5.80,115.81,113.60,564.00,684.00,east,62.05
31,6.00,110.94,120.98,568.00,668.00,north,57.63
32,6.20,104.55,128.24,548.00,716.00,north,52.69
33,6.40,98.78,134.95,552.00,636.00,north,49.30
34,6.60,91.46,141.12,476.00,636.00,north,45.74
35,6.80,84.04,146.23,456.00,620.00,north,42.69
36,7.00,77.35,148.76,436.00,500.00,north,39.73
37,7.20,71.43,149.30,440.00,452.00,north,36.50
38,7.40,65.63,147.03,388.00,460.00,north,31.32
39,7.60,62.82,143.68,436.00,392.00,west,27.00
40,7.80,60.02,140.33,452.00,392.00,west,22.71
41,8.00,58.71,136.01,444.00,480.00,west,18.31
42,8.20,58.13,131.59,428.00,464.00,west,14.35
43,8.40,59.70,128.42,428.00,480.00,west,12.80
44,8.60,61.22,126.79,436.00,408.00,west,12.72
45,8.80,64.90,125.74,464.00,476.00,west,15.09
46,9.00,69.23,126.86,548.00,396.00,west,19.34
47,9.20,74.99,127.94,476.00,504.00,west,24.80
48,9.40,79.26,130.58,480.00,436.00,north,29.82
49,9.60,83.51,134.70,500.00,420.00,north,35.58
50,9.80,87.05,141.09,512.00,500.00,north,42.01
51,10.00,90.68,148.42,484.00,532.00,north,49.21
52,10.20,93.67,156.80,484.00,568.00,north,56.92
53,10.40,97.58,164.86,500.00,600.00,north,65.32
54,10.60,100.89,173.32,416.00,524.00,north,73.73
55,10.80,105.20,182.42,388.00,508.00,north,83.42
56,11.00,108.09,191.83,360.00,476.00,n ext,92.55
57,11.20,110.13,198.73,188.00,348.00,n ext,99.28
58,11.40,110.30,201.60,60.00,144.00,n ext,101.66
59,11.60,-,-,-,-,-,-
60,11.80,-,-,-,-,-,-
61,12.00,-,-,-,-,-,-
62,12.20,-,-,-,-,-,-
63,12.40,-,-,-,-,-,-
64,12.60,-,-,-,-,-,-
65,12.80,-,-,-,-,-,-
66,13.00,-,-,-,-,-,-
67,13.20,-,-,-,-,-,-
68,13.40,-,-,-,-,-,-
69,13.60,-,-,-,-,-,-
70,13.80,-,-,-,-,-,-
71,14.00,-,-,-,-,-,-
72,14.20,-,-,-,-,-,-
73,14.40,77.87,197.06,80.00,-,n ext,81.86
74,14.60,76.30,194.47,216.00,232.00,n ext,78.89
75,14.80,71.66,189.68,256.00,280.00,n ext,72.85
76,15.00,67.20,183.48,292.00,340.00,n ext,65.61
77,15.20,62.81,178.45,340.00,352.00,north,59.54
78,15.40,57.15,170.69,332.00,464.00,north,50.69
79,15.60,52.28,163.84,384.00,484.00,west,43.15
80,15.80,46.66,157.29,396.00,500.00,west,36.14
81,16.00,41.81,148.83,392.00,516.00,west,27.88
82,16.20,36.86,139.29,460.00,612.00,west,19.46
83,16.40,34.03,128.04,452.00,632.00,west,11.04
84,16.60,31.77,117.18,448.00,588.00,west,7.46
85,16.80,31.66,103.25,456.00,672.00,west,10.60
86,17.00,30.47,89.04,464.00,688.00,west,21.77
87,17.20,28.98,74.33,460.00,668.00,west,35.27
88,17.40,28.01,59.19,420.00,712.00,west,49.74
89,17.60,27.63,43.74,404.00,656.00,w ext,64.70
90,17.80,27.97,29.12,424.00,612.00,w ext,78.86
91,18.00,29.27,16.61,280.00,560.00,s ext,90.86
92,18.20,32.35,13.02,260.00,444.00,s ext,93.92
93,18.40,36.65,13.07,224.00,388.00,s ext,93.36
94,18.60,40.59,9.95,184.00,320.00,s ext,96.19
95,18.80,42.27,9.75,276.00,268.00,s ext,96.32
96,19.00,44.51,6.81,120.00,268.00,s ext,99.20
97,19.20,46.28,7.65,128.00,120.00,s ext,98.34
98,19.40,46.08,5.55,128.00,80.00,s ext,100.44
99,19.60,46.76,3.87,144.00,128.00,s ext,102.12
100,19.80,47.54,3.23,148.00,100.00,s ext,102.75
101,20.00,50.17,4.47,96.00,140.00,s ext,101.55
102,20.20,53.54,5.01,116.00,188.00,s ext,101.16
103,20.40,56.03,5.11,148.00,176.00,s ext,101.24
104,20.60,58.66,7.21,268.00,304.00,s ext,99.41
105,20.80,63.31,4.19,268.00,424.00,s ext,103.03
106,21.00,67.38,4.77,324.00,432.00,s ext,103.17
107,21.20,72.16,4.49,304.00,476.00,s ext,104.39
108,21.40,77.68,4.27,316.00,396.00,s ext,105.95
109,21.60,85.42,3.34,276.00,440.00,s ext,109.16
110,21.80,91.55,3.54,316.00,408.00,s ext,111.15
111,22.00,98.34,4.36,304.00,428.00,s ext,113.17
112,22.20,105.71,4.63,308.00,420.00,s ext,116.32
113,22.40,113.65,5.11,312.00,452.00,s ext,119.96
114,22.60,121.39,6.68,320.00,536.00,s ext,122.93
115,22.80,128.27,8.65,288.00,504.00,s ext,125.41
116,23.00,135.06,9.09,308.00,452.00,s ext,129.33
117,23.20,140.43,9.64,256.00,428.00,s ext,132.46
118,23.40,146.45,10.51,232.00,376.00,s ext,135.94
119,23.60,151.77,13.40,204.00,404.00,s ext,137.70
120,23.80,155.11,16.37,252.00,392.00,e ext,138.15
121,24.00,159.87,19.52,276.00,408.00,e ext,139.71
122,24.20,164.03,23.09,296.00,396.00,e ext,140.76
123,24.40,169.75,28.01,272.00,432.00,e ext,142.53
124,24.60,174.98,33.56,284.00,428.00,e ext,143.86
125,24.80,178.19,39.46,256.00,412.00,e ext,143.57
126,25.00,180.04,46.22,196.00,428.00,e ext,141.99
127,25.20,180.27,50.47,184.00,356.00,e ext,140.33
128,25.40,182.89,54.95,224.00,288.00,e ext,140.88
129,25.60,185.68,60.68,236.00,380.00,e ext,141.33
130,25.80,188.69,67.70,256.00,444.00,e ext,141.87
131,26.00,191.25,77.39,276.00,460.00,e ext,141.75
132,26.20,193.88,86.20,276.00,416.00,e ext,142.53
133,26.40,196.81,96.42,272.00,356.00,e ext,143.93
134,26.60,198.51,109.23,256.00,368.00,e ext,144.77
135,26.80,200.03,119.82,268.00,396.00,e ext,146.40
136,27.00,200.96,131.55,248.00,428.00,e ext,148.26
137,27.20,200.85,141.85,288.00,440.00,e ext,149.73
138,27.40,199.74,156.22,196.00,476.00,e ext,151.86
139,27.60,198.35,163.50,248.00,388.00,e ext,152.64
140,27.80,197.41,173.04,248.00,400.00,e ext,155.01
141,28.00,194.74,182.69,220.00,420.00,e ext,156.40
142,28.20,192.13,187.83,188.00,320.00,e ext,156.35
143,28.40,189.51,192.84,156.00,288.00,e ext,156.43
144,28.60,185.10,197.80,140.00,280.00,e ext,155.16
145,28.80,180.86,203.75,84.00,224.00,n ext,154.82
146,29.00,-,-,-,-,-,-
147,29.20,174.39,207.25,64.00,-,n ext,151.49
148,29.40,171.63,206.70,104.00,168.00,n ext,148.94
149,29.60,-,-,-,-,-,-
