Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00077.trk
Object,0
Samples,450
rat,115,
trial,1,
date,2007-12-15 14:43:11.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,130.71,191.98,260.00,276.00,n ext,-,107.99
2,0.20,133.72,188.51,300.00,264.00,n ext,4.60,107.93
3,0.40,137.47,184.48,324.00,368.00,north,5.51,108.29
4,0.60,141.52,183.35,268.00,288.00,north,4.20,110.85
5,0.80,147.21,182.03,304.00,332.00,north,5.84,114.77
6,1.00,153.05,181.76,292.00,316.00,north,5.85,119.52
7,1.20,159.84,181.98,268.00,360.00,n ext,6.79,125.36
8,1.40,164.42,184.11,240.00,300.00,n ext,5.05,130.38
9,1.60,168.48,188.02,224.00,240.00,n ext,5.64,135.89
10,1.80,172.81,193.20,224.00,216.00,n ext,6.76,142.33
11,2.00,175.52,198.69,200.00,192.00,n ext,6.12,147.58
12,2.20,175.72,199.82,184.00,128.00,n ext,1.15,148.36
13,2.40,175.55,203.81,104.00,160.00,n ext,3.99,150.45
14,2.60,173.97,199.87,184.00,232.00,n ext,4.25,146.93
15,2.80,171.44,200.50,228.00,236.00,n ext,2.61,145.19
16,3.00,163.18,198.07,292.00,384.00,n ext,8.62,137.03
17,3.20,155.99,196.37,248.00,308.00,n ext,7.39,130.23
18,3.40,149.68,194.30,260.00,268.00,n ext,6.64,123.96
19,3.60,141.55,190.70,288.00,308.00,n ext,8.89,115.35
20,3.80,134.49,187.89,288.00,296.00,n ext,7.60,108.11
21,4.00,126.47,182.41,324.00,340.00,north,9.71,98.45
22,4.20,120.39,178.00,376.00,340.00,north,7.52,90.96
23,4.40,111.99,172.62,412.00,468.00,north,9.97,81.11
24,4.60,103.86,167.15,408.00,476.00,north,9.80,71.42
25,4.80,96.00,161.58,456.00,512.00,north,9.63,61.89
26,5.00,89.14,155.91,432.00,520.00,north,8.90,53.02
27,5.20,82.49,149.97,460.00,564.00,north,8.91,44.12
28,5.40,76.79,142.18,452.00,568.00,north,9.66,34.59
29,5.60,71.89,135.29,480.00,556.00,west,8.45,26.34
30,5.80,68.50,126.91,472.00,592.00,west,9.03,18.74
31,6.00,65.11,117.76,468.00,620.00,west,9.76,11.92
32,6.20,63.11,106.94,480.00,612.00,west,11.00,10.32
33,6.40,61.71,96.62,496.00,640.00,west,10.41,15.14
34,6.60,60.16,85.24,492.00,684.00,west,11.49,23.74
35,6.80,58.42,73.39,512.00,676.00,west,11.98,34.19
36,7.00,58.02,61.28,480.00,672.00,south,12.12,45.91
37,7.20,58.23,48.85,472.00,656.00,south,12.43,58.15
38,7.40,58.39,37.68,456.00,592.00,south,11.17,69.18
39,7.60,59.32,27.26,420.00,524.00,south,10.46,79.62
40,7.80,59.48,18.08,392.00,412.00,s ext,9.18,88.73
41,8.00,60.57,10.89,376.00,344.00,s ext,7.27,96.00
42,8.20,61.94,7.56,348.00,268.00,s ext,3.60,99.49
43,8.40,63.46,6.21,316.00,264.00,s ext,2.03,101.06
44,8.60,66.56,4.46,348.00,232.00,s ext,3.56,103.31
45,8.80,71.29,3.22,376.00,332.00,s ext,4.89,105.45
46,9.00,77.63,3.28,316.00,324.00,s ext,6.34,106.89
47,9.20,83.07,2.80,296.00,300.00,s ext,5.47,108.92
48,9.40,88.51,3.98,356.00,380.00,s ext,5.57,109.63
49,9.60,94.66,6.85,328.00,396.00,s ext,6.78,109.36
50,9.80,100.64,8.30,356.00,372.00,s ext,6.15,110.67
51,10.00,107.94,10.22,344.00,380.00,s ext,7.55,112.60
52,10.20,115.76,11.39,352.00,400.00,s ext,7.91,115.88
53,10.40,122.72,12.89,364.00,412.00,s ext,7.12,118.67
54,10.60,128.86,14.93,316.00,352.00,s ext,6.47,120.88
55,10.80,133.59,16.12,300.00,280.00,s ext,4.87,123.07
56,11.00,136.94,17.61,308.00,264.00,s ext,3.66,124.23
57,11.20,140.28,19.00,308.00,272.00,s ext,3.62,125.56
58,11.40,143.58,23.07,324.00,328.00,s ext,5.24,125.11
59,11.60,146.89,28.90,360.00,364.00,e ext,6.71,123.73
60,11.80,151.63,37.77,380.00,508.00,e ext,10.06,122.08
61,12.00,155.19,47.29,388.00,512.00,east,10.16,119.80
62,12.20,159.02,58.81,420.00,600.00,east,12.14,117.57
63,12.40,163.22,71.60,388.00,624.00,east,13.46,116.49
64,12.60,166.27,84.20,456.00,612.00,east,12.96,115.87
65,12.80,169.66,97.22,460.00,660.00,east,13.46,116.88
66,13.00,172.72,111.72,452.00,648.00,east,14.81,118.95
67,13.20,174.35,125.49,456.00,652.00,east,13.87,121.16
68,13.40,176.39,140.58,416.00,672.00,east,15.23,125.50
69,13.60,177.66,154.76,404.00,612.00,e ext,14.24,130.27
70,13.80,178.97,168.20,348.00,544.00,e ext,13.50,136.10
71,14.00,180.63,178.00,304.00,388.00,e ext,9.94,141.65
72,14.20,182.21,186.93,204.00,300.00,e ext,9.07,147.18
73,14.40,182.27,192.10,176.00,236.00,e ext,5.18,149.79
74,14.60,183.11,196.70,156.00,172.00,e ext,4.67,152.90
75,14.80,181.56,197.92,116.00,136.00,n ext,1.97,152.24
76,15.00,-,-,-,-,-,-,-
77,15.20,174.57,203.25,272.00,-,n ext,-,149.32
78,15.40,168.51,203.93,236.00,364.00,n ext,6.09,144.79
79,15.60,163.80,207.37,180.00,280.00,n ext,5.83,143.13
80,15.80,160.82,210.76,96.00,188.00,n ext,4.52,142.98
81,16.00,158.72,208.61,124.00,140.00,n ext,3.01,139.99
82,16.20,-,-,-,-,-,-,-
83,16.40,-,-,-,-,-,-,-
84,16.60,-,-,-,-,-,-,-
85,16.80,147.96,207.03,148.00,-,n ext,-,130.88
86,17.00,141.59,204.99,252.00,208.00,n ext,6.69,124.83
87,17.20,131.70,201.75,292.00,376.00,n ext,10.40,115.54
88,17.40,122.04,199.23,276.00,408.00,n ext,9.98,107.15
89,17.60,113.44,197.67,328.00,332.00,n ext,8.74,100.45
90,17.80,104.11,195.64,268.00,412.00,n ext,9.56,93.19
91,18.00,98.29,195.70,248.00,324.00,n ext,5.82,89.92
92,18.20,94.17,196.19,168.00,240.00,n ext,4.15,88.16
93,18.40,85.97,196.74,80.00,232.00,n ext,8.22,84.77
94,18.60,82.73,194.96,232.00,192.00,n ext,3.70,81.78
95,18.80,76.35,191.77,264.00,320.00,n ext,7.13,76.38
96,19.00,67.82,187.69,296.00,400.00,n ext,9.46,69.81
97,19.20,59.54,183.49,344.00,456.00,n ext,9.29,63.71
98,19.40,51.35,180.78,288.00,472.00,n ext,8.63,59.90
99,19.60,43.32,176.78,300.00,428.00,w ext,8.97,55.64
100,19.80,37.54,173.01,284.00,400.00,w ext,6.91,52.36
101,20.00,31.85,166.56,288.00,388.00,w ext,8.60,47.03
102,20.20,28.39,159.05,344.00,408.00,w ext,8.27,40.93
103,20.40,26.43,149.92,352.00,416.00,west,9.34,33.57
104,20.60,24.32,140.63,408.00,464.00,west,9.52,26.93
105,20.80,23.69,128.97,400.00,512.00,west,11.68,19.62
106,21.00,23.70,118.01,412.00,508.00,west,10.95,15.49
107,21.20,25.17,105.13,428.00,568.00,west,12.97,15.31
108,21.40,26.46,92.36,444.00,584.00,west,12.83,21.60
109,21.60,28.42,79.75,448.00,604.00,west,12.77,30.68
110,21.80,31.02,66.46,448.00,624.00,west,13.54,41.90
111,22.00,34.39,54.43,440.00,600.00,west,12.49,52.76
112,22.20,37.73,43.45,432.00,592.00,west,11.48,63.04
113,22.40,41.78,31.83,412.00,572.00,south,12.30,74.27
114,22.60,45.32,24.74,348.00,448.00,s ext,7.93,81.27
115,22.80,51.56,20.64,352.00,388.00,s ext,7.47,85.44
116,23.00,58.72,18.73,400.00,440.00,s ext,7.41,87.98
117,23.20,66.65,17.84,460.00,420.00,s ext,7.97,90.19
118,23.40,74.42,16.58,540.00,512.00,s ext,7.88,93.22
119,23.60,82.10,15.81,444.00,496.00,s ext,7.71,96.30
120,23.80,85.87,14.77,404.00,416.00,s ext,3.91,98.60
121,24.00,90.30,11.87,368.00,428.00,s ext,5.30,102.99
122,24.20,92.51,10.33,340.00,332.00,s ext,2.69,105.29
123,24.40,93.96,8.65,304.00,348.00,s ext,2.22,107.42
124,24.60,93.21,8.55,232.00,344.00,s ext,0.76,107.20
125,24.80,90.94,8.22,288.00,280.00,s ext,2.29,106.60
126,25.00,87.89,7.69,360.00,296.00,s ext,3.10,105.94
127,25.20,82.46,6.51,356.00,348.00,s ext,5.55,105.20
128,25.40,76.13,4.78,300.00,328.00,s ext,6.56,105.05
129,25.60,71.35,4.22,316.00,312.00,s ext,4.82,104.48
130,25.80,64.97,4.84,336.00,372.00,s ext,6.41,102.66
131,26.00,59.26,4.52,320.00,360.00,s ext,5.72,102.16
132,26.20,51.90,5.27,288.00,424.00,s ext,7.39,100.82
133,26.40,47.06,7.02,336.00,400.00,s ext,5.15,98.97
134,26.60,40.49,8.89,320.00,432.00,s ext,6.83,97.25
135,26.80,34.85,12.20,324.00,452.00,s ext,6.54,94.41
136,27.00,28.36,16.17,300.00,416.00,s ext,7.61,91.46
137,27.20,25.38,20.90,304.00,372.00,s ext,5.58,87.46
138,27.40,21.80,28.49,376.00,400.00,w ext,8.40,80.93
139,27.60,19.22,37.65,348.00,476.00,w ext,9.51,72.98
140,27.80,17.30,45.09,364.00,384.00,w ext,7.69,66.73
141,28.00,16.25,52.89,340.00,360.00,w ext,7.86,60.12
142,28.20,13.25,59.16,320.00,372.00,w ext,6.96,56.16
143,28.40,11.95,64.99,300.00,284.00,w ext,5.97,52.10
144,28.60,10.47,68.78,296.00,236.00,w ext,4.07,49.94
145,28.80,10.10,75.94,288.00,264.00,w ext,7.16,44.78
146,29.00,9.69,83.08,332.00,292.00,w ext,7.15,40.24
147,29.20,11.15,93.39,364.00,344.00,w ext,10.42,33.23
148,29.40,12.42,102.46,360.00,356.00,w ext,9.15,28.21
149,29.60,14.43,112.25,360.00,384.00,w ext,10.00,24.45
150,29.80,17.12,121.63,440.00,472.00,west,9.76,22.62
151,30.00,19.59,133.48,428.00,548.00,west,12.11,25.52
152,30.20,21.83,144.98,388.00,520.00,w ext,11.71,31.89
153,30.40,23.05,156.50,372.00,512.00,w ext,11.59,40.96
154,30.60,25.03,164.86,332.00,424.00,w ext,8.58,47.58
155,30.80,26.91,173.12,292.00,368.00,w ext,8.48,54.70
156,31.00,29.60,179.12,232.00,276.00,w ext,6.57,59.76
157,31.20,32.31,184.15,248.00,288.00,w ext,5.71,64.14
158,31.40,37.39,187.15,236.00,388.00,w ext,5.90,66.45
159,31.60,44.80,189.29,240.00,388.00,n ext,7.70,68.11
160,31.80,51.56,190.27,236.00,364.00,n ext,6.83,69.38
161,32.00,60.76,190.13,268.00,408.00,n ext,9.20,70.46
162,32.20,70.87,189.80,264.00,460.00,n ext,10.12,72.73
163,32.40,80.36,189.69,304.00,440.00,n ext,9.49,75.99
164,32.60,90.81,190.53,332.00,492.00,n ext,10.48,81.57
165,32.80,101.43,190.66,352.00,508.00,n ext,10.62,87.59
166,33.00,113.15,192.97,336.00,552.00,n ext,11.95,96.61
167,33.20,124.17,194.32,312.00,520.00,n ext,11.11,104.97
168,33.40,136.44,197.95,288.00,488.00,n ext,12.79,116.26
169,33.60,146.19,200.33,284.00,420.00,n ext,10.04,125.09
170,33.80,157.88,203.19,204.00,408.00,n ext,12.04,135.90
171,34.00,166.76,203.97,168.00,316.00,n ext,8.91,143.40
172,34.20,175.14,201.54,188.00,316.00,n ext,8.73,148.83
173,34.40,181.56,197.92,204.00,304.00,n ext,7.37,152.24
174,34.60,185.55,190.73,204.00,320.00,e ext,8.22,151.95
175,34.80,188.31,181.67,212.00,376.00,e ext,9.47,150.16
176,35.00,192.01,172.80,228.00,408.00,e ext,9.60,149.91
177,35.20,195.89,164.72,228.00,352.00,e ext,8.96,150.69
178,35.40,199.96,157.41,168.00,348.00,e ext,8.37,152.39
179,35.60,199.44,149.38,180.00,236.00,e ext,8.05,149.90
180,35.80,198.40,137.82,236.00,336.00,e ext,11.60,146.61
181,36.00,196.92,128.49,264.00,348.00,e ext,9.45,143.91
182,36.20,194.32,116.87,320.00,376.00,e ext,11.90,140.60
183,36.40,191.37,101.08,352.00,504.00,e ext,16.07,138.06
184,36.60,188.87,86.75,332.00,532.00,e ext,14.55,137.51
185,36.80,186.67,72.66,336.00,532.00,e ext,14.25,138.51
186,37.00,184.73,58.75,288.00,456.00,e ext,14.05,141.14
187,37.20,181.79,49.87,264.00,392.00,e ext,9.35,141.96
188,37.40,177.54,41.92,220.00,364.00,e ext,9.01,141.80
189,37.60,172.87,36.75,248.00,324.00,e ext,6.97,140.38
190,37.80,168.40,32.82,272.00,360.00,e ext,5.94,138.75
191,38.00,163.39,30.41,324.00,332.00,e ext,5.57,135.94
192,38.20,156.43,27.20,340.00,464.00,e ext,7.67,132.23
193,38.40,147.58,26.77,372.00,560.00,e ext,8.86,125.63
194,38.60,138.82,26.78,404.00,544.00,s ext,8.76,119.09
195,38.80,130.06,27.04,420.00,592.00,s ext,8.77,112.66
196,39.00,119.83,27.64,456.00,644.00,south,10.24,105.34
197,39.20,109.42,27.10,480.00,696.00,south,10.43,99.34
198,39.40,98.73,26.22,508.00,708.00,south,10.73,94.15
199,39.60,88.42,24.23,580.00,704.00,south,10.49,90.96
200,39.80,78.47,20.41,564.00,672.00,s ext,10.66,90.75
201,40.00,69.70,16.06,464.00,572.00,s ext,9.79,92.56
202,40.20,61.25,9.23,388.00,468.00,s ext,10.86,97.74
203,40.40,56.11,6.14,332.00,368.00,s ext,6.00,100.23
204,40.60,51.13,5.91,316.00,328.00,s ext,4.99,100.14
205,40.80,45.40,7.23,344.00,396.00,s ext,5.88,98.77
206,41.00,39.70,9.52,340.00,436.00,s ext,6.14,96.67
207,41.20,32.35,13.02,340.00,456.00,s ext,8.14,93.92
208,41.40,26.75,17.45,344.00,476.00,s ext,7.14,90.52
209,41.60,21.10,22.00,320.00,400.00,w ext,7.26,87.38
210,41.80,17.27,27.55,312.00,392.00,w ext,6.74,83.16
211,42.00,14.24,32.54,300.00,388.00,w ext,5.84,79.51
212,42.20,11.18,37.64,308.00,376.00,w ext,5.95,76.04
213,42.40,9.27,45.42,316.00,416.00,w ext,8.01,69.99
214,42.60,6.27,51.91,316.00,440.00,w ext,7.14,66.06
215,42.80,4.29,59.94,300.00,432.00,w ext,8.28,60.72
216,43.00,2.35,69.22,292.00,432.00,w ext,9.48,55.01
217,43.20,1.35,79.89,308.00,432.00,w ext,10.72,48.79
218,43.40,0.25,90.64,296.00,452.00,w ext,10.81,44.06
219,43.60,0.76,99.33,272.00,400.00,w ext,8.71,40.27
220,43.80,2.11,108.96,264.00,376.00,w ext,9.73,37.01
221,44.00,2.38,116.39,208.00,360.00,w ext,7.43,36.52
222,44.20,1.70,123.92,104.00,264.00,w ext,7.56,38.19
223,44.40,5.20,123.38,168.00,224.00,w ext,3.54,34.65
224,44.60,5.24,125.45,152.00,184.00,w ext,2.07,35.06
225,44.80,7.03,130.27,228.00,276.00,w ext,5.14,34.87
226,45.00,10.46,135.57,292.00,392.00,w ext,6.32,34.30
227,45.20,14.55,144.29,336.00,444.00,w ext,9.63,36.27
228,45.40,20.90,149.88,376.00,512.00,w ext,8.46,36.43
229,45.60,26.94,156.90,336.00,544.00,w ext,9.26,39.53
230,45.80,32.77,163.58,324.00,516.00,w ext,8.86,43.91
231,46.00,37.70,170.35,308.00,480.00,w ext,8.37,49.70
232,46.20,42.55,177.08,296.00,412.00,w ext,8.30,55.97
233,46.40,45.96,182.68,280.00,352.00,n ext,6.56,61.51
234,46.60,49.44,187.50,144.00,280.00,n ext,5.94,66.45
235,46.80,53.11,189.74,204.00,204.00,n ext,4.30,69.01
236,47.00,59.93,191.23,224.00,300.00,n ext,6.98,71.39
237,47.20,65.34,191.70,228.00,244.00,n ext,5.43,73.00
238,47.40,74.76,191.94,308.00,384.00,n ext,9.42,75.99
239,47.60,83.54,192.23,284.00,440.00,n ext,8.79,79.64
240,47.80,94.90,191.70,304.00,492.00,n ext,11.37,84.72
241,48.00,104.74,191.20,324.00,508.00,n ext,9.86,90.02
242,48.20,113.88,191.33,312.00,500.00,n ext,9.14,95.83
243,48.40,123.85,190.54,284.00,460.00,n ext,10.00,102.05
244,48.60,133.92,190.42,308.00,488.00,n ext,10.07,109.33
245,48.80,145.14,192.25,304.00,508.00,n ext,11.37,119.12
246,49.00,155.38,192.23,316.00,500.00,n ext,10.24,127.29
247,49.20,166.70,193.01,252.00,496.00,n ext,11.34,137.08
248,49.40,177.64,195.77,272.00,420.00,n ext,11.29,147.78
249,49.60,185.65,196.01,192.00,336.00,e ext,8.01,154.70
250,49.80,190.28,192.19,188.00,300.00,e ext,6.00,156.78
251,50.00,193.44,185.27,200.00,276.00,e ext,7.60,156.36
252,50.20,195.59,177.67,244.00,332.00,e ext,7.90,155.10
253,50.40,197.72,169.87,272.00,332.00,e ext,8.08,154.16
254,50.60,200.17,158.61,220.00,372.00,e ext,11.52,152.93
255,50.80,201.14,148.77,232.00,292.00,e ext,9.89,151.42
256,51.00,201.19,138.50,140.00,284.00,e ext,10.27,149.48
257,51.20,200.96,131.55,104.00,204.00,e ext,6.96,148.26
258,51.40,198.93,124.28,92.00,188.00,e ext,7.54,145.55
259,51.60,196.77,121.68,152.00,228.00,e ext,3.38,143.23
260,51.80,195.45,112.47,196.00,332.00,e ext,9.30,141.68
261,52.00,194.11,108.99,192.00,260.00,e ext,3.73,140.37
262,52.20,192.22,107.78,88.00,184.00,e ext,2.24,138.52
263,52.40,192.80,98.82,164.00,204.00,e ext,8.98,139.69
264,52.60,188.52,91.21,232.00,340.00,e ext,8.74,136.40
265,52.80,183.64,84.08,312.00,344.00,e ext,8.63,132.87
266,53.00,178.06,75.48,368.00,464.00,e ext,10.25,129.46
267,53.20,171.93,65.68,384.00,520.00,e ext,11.56,126.70
268,53.40,166.15,54.64,356.00,580.00,e ext,12.46,125.80
269,53.60,162.24,45.51,356.00,496.00,e ext,9.93,126.74
270,53.80,159.26,37.26,312.00,428.00,e ext,8.78,128.67
271,54.00,157.12,31.61,308.00,292.00,e ext,6.04,130.14
272,54.20,155.06,25.99,236.00,320.00,e ext,5.99,131.90
273,54.40,151.02,20.48,292.00,304.00,e ext,6.83,132.35
274,54.60,146.36,16.23,364.00,376.00,s ext,6.30,131.83
275,54.80,142.38,13.45,256.00,364.00,s ext,4.86,131.00
276,55.00,137.00,13.91,316.00,300.00,s ext,5.40,126.99
277,55.20,129.55,14.72,336.00,404.00,s ext,7.49,121.48
278,55.40,122.00,15.78,360.00,432.00,s ext,7.62,115.94
279,55.60,113.64,17.11,440.00,512.00,s ext,8.47,109.95
