Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00003.trk
Object,0
Samples,31
rat,88,
trial,3,
date,2007-12-15 11:33:04.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,73.03,5.75,308.00,s ext,-,103.36
2,0.20,70.78,7.90,356.00,s ext,3.11,100.76
3,0.40,66.14,10.12,384.00,s ext,5.14,97.68
4,0.60,63.95,13.14,380.00,s ext,3.73,94.31
5,0.80,60.24,17.43,380.00,s ext,5.67,89.48
6,1.00,59.00,22.56,400.00,s ext,5.28,84.23
7,1.20,58.56,27.91,420.00,south,5.36,78.87
8,1.40,57.36,33.80,452.00,south,6.02,72.86
9,1.60,57.05,41.64,452.00,south,7.84,65.06
10,1.80,58.27,49.71,472.00,south,8.16,57.32
11,2.00,60.19,57.66,472.00,south,8.18,49.89
12,2.20,61.20,64.35,508.00,south,6.76,43.66
13,2.40,62.15,70.84,488.00,west,6.56,37.76
14,2.60,61.50,75.41,524.00,west,4.62,33.26
15,2.80,58.58,80.46,536.00,west,5.83,27.50
16,3.00,57.16,86.50,512.00,west,6.20,21.35
17,3.20,54.95,91.73,516.00,west,5.68,15.68
18,3.40,53.46,95.51,500.00,west,4.07,11.61
19,3.60,51.96,100.89,500.00,west,5.58,6.07
20,3.80,51.96,103.99,484.00,west,3.10,3.47
21,4.00,51.20,105.54,484.00,west,1.73,1.74
22,4.20,50.42,109.44,456.00,platform,3.97,0.00
23,4.40,49.65,111.02,480.00,platform,1.76,0.00
24,4.60,49.65,110.24,464.00,platform,0.78,0.00
25,4.80,49.65,110.24,420.00,platform,0.00,0.00
26,5.00,48.13,111.09,468.00,platform,1.74,0.00
27,5.20,48.12,111.88,416.00,platform,0.79,0.00
28,5.40,48.88,111.84,424.00,platform,0.76,0.00
29,5.60,48.87,112.62,440.00,platform,0.78,0.00
30,5.80,48.12,111.88,436.00,platform,1.06,0.00
31,6.00,48.12,111.88,472.00,platform,0.00,0.00
