Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00020.trk
Object,0
Samples,234
rat,90,
trial,4,
date,2007-12-15 12:10:18.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,86.59,14.00,140.00,s ext,-,99.60
2,0.20,86.66,15.85,160.00,s ext,1.85,97.91
3,0.40,78.37,2.52,120.00,s ext,15.69,107.82
4,0.60,77.63,3.28,232.00,s ext,1.06,106.89
5,0.80,73.72,4.03,292.00,s ext,3.98,105.19
6,1.00,68.89,3.36,240.00,s ext,4.87,104.84
7,1.20,63.38,5.20,260.00,s ext,5.81,102.04
8,1.40,58.58,6.20,348.00,s ext,4.91,100.41
9,1.60,54.74,9.47,364.00,s ext,5.04,96.79
10,1.80,50.04,12.31,332.00,s ext,5.50,93.71
11,2.00,47.21,17.87,396.00,s ext,6.24,88.11
12,2.20,46.01,23.12,376.00,s ext,5.38,82.88
13,2.40,44.96,30.25,404.00,south,7.21,75.76
14,2.60,43.79,36.32,408.00,south,6.19,69.71
15,2.80,43.45,42.63,440.00,south,6.31,63.42
16,3.00,43.84,48.17,400.00,west,5.56,57.86
17,3.20,45.07,54.74,400.00,west,6.68,51.27
18,3.40,47.04,61.31,412.00,west,6.86,44.67
19,3.60,49.72,67.81,412.00,west,7.02,38.25
20,3.80,51.45,72.25,472.00,west,4.77,33.97
21,4.00,53.16,77.38,476.00,west,5.40,29.18
22,4.20,56.34,82.53,476.00,west,6.06,24.84
23,4.40,60.18,86.77,460.00,west,5.71,22.40
24,4.60,65.40,89.43,500.00,west,5.86,23.05
25,4.80,70.53,91.94,532.00,west,5.71,24.73
26,5.00,75.58,94.33,508.00,west,5.59,27.40
27,5.20,80.58,94.54,524.00,west,5.01,31.50
28,5.40,84.14,93.29,580.00,west,3.77,35.21
29,5.60,87.70,89.99,596.00,south,4.85,39.94
30,5.80,89.83,86.62,584.00,south,3.98,43.54
31,6.00,92.65,82.57,548.00,south,4.94,48.12
32,6.20,94.76,77.76,552.00,south,5.26,52.57
33,6.40,96.87,72.87,568.00,south,5.32,57.18
34,6.60,98.27,67.16,568.00,south,5.88,61.92
35,6.80,98.27,61.30,552.00,south,5.87,65.95
36,7.00,97.55,55.27,580.00,south,6.07,69.87
37,7.20,94.67,47.38,592.00,south,8.40,74.28
38,7.40,91.72,40.72,592.00,south,7.28,78.15
39,7.60,87.93,33.63,580.00,south,8.04,82.35
40,7.80,82.49,25.78,604.00,south,9.55,87.13
41,8.00,76.92,20.01,564.00,s ext,8.02,90.64
42,8.20,71.19,14.67,452.00,s ext,7.83,94.25
43,8.40,63.60,8.21,360.00,s ext,9.97,99.11
44,8.60,56.03,5.11,324.00,s ext,8.19,101.24
45,8.80,51.04,4.87,264.00,s ext,5.00,101.18
46,9.00,45.30,6.18,288.00,s ext,5.89,99.82
47,9.20,40.38,7.83,328.00,s ext,5.18,98.31
48,9.40,37.34,11.39,296.00,s ext,4.68,94.97
49,9.60,34.96,13.27,268.00,s ext,3.03,93.34
50,9.80,31.78,15.78,252.00,s ext,4.05,91.26
51,10.00,30.41,19.18,340.00,s ext,3.66,88.13
52,10.20,28.35,24.28,380.00,s ext,5.50,83.51
53,10.40,26.58,32.52,348.00,w ext,8.43,75.85
54,10.60,26.47,40.39,380.00,w ext,7.87,68.23
55,10.80,25.58,49.85,432.00,west,9.50,59.38
56,11.00,25.55,60.45,432.00,west,10.59,49.40
57,11.20,25.41,70.86,408.00,west,10.42,39.94
58,11.40,26.08,83.12,448.00,west,12.28,29.14
59,11.60,26.49,93.28,484.00,west,10.17,20.92
60,11.80,25.99,105.11,412.00,west,11.84,14.57
61,12.00,25.32,116.03,452.00,west,10.94,13.59
62,12.20,24.51,127.91,432.00,west,11.91,18.36
63,12.40,23.57,138.10,396.00,west,10.23,25.51
64,12.60,22.50,149.36,388.00,w ext,11.32,35.12
65,12.80,20.54,160.23,360.00,w ext,11.04,45.43
66,13.00,20.12,169.75,272.00,w ext,9.53,54.05
67,13.20,21.32,176.68,236.00,w ext,7.03,59.93
68,13.40,24.21,179.90,124.00,w ext,4.33,61.98
69,13.60,25.73,180.07,180.00,w ext,1.53,61.69
70,13.80,27.36,178.36,196.00,w ext,2.36,59.59
71,14.00,29.43,181.92,212.00,w ext,4.11,62.53
72,14.20,30.09,183.41,148.00,w ext,1.63,63.84
