Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00021.trk
Object,0
Samples,450
rat,106,
trial,1,
date,2007-12-15 12:12:43.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,-,-,-,-,-,-
2,0.20,-,-,-,-,-,-
3,0.40,-,-,-,-,-,-
4,0.60,-,-,-,-,-,-
5,0.80,-,-,-,-,-,-
6,1.00,-,-,-,-,-,-
7,1.20,-,-,-,-,-,-
8,1.40,-,-,-,-,-,-
9,1.60,-,-,-,-,-,-
10,1.80,-,-,-,-,-,-
11,2.00,-,-,-,-,-,-
12,2.20,-,-,-,-,-,-
13,2.40,-,-,-,-,-,-
14,2.60,-,-,-,-,-,-
15,2.80,65.03,199.91,84.00,n ext,-,80.91
16,3.00,60.38,198.30,136.00,n ext,4.92,78.43
17,3.20,56.58,196.67,156.00,n ext,4.14,76.27
18,3.40,49.68,196.33,124.00,n ext,6.91,75.28
19,3.60,45.22,194.48,88.00,n ext,4.82,73.31
20,3.80,42.28,193.03,128.00,n ext,3.28,71.92
21,4.00,38.64,191.07,144.00,n ext,4.14,70.21
22,4.20,32.78,188.45,120.00,w ext,6.42,68.30
23,4.40,29.97,185.29,148.00,w ext,4.23,65.71
24,4.60,25.62,181.97,140.00,w ext,5.47,63.54
25,4.80,22.74,178.78,144.00,w ext,4.30,61.39
26,5.00,19.08,174.95,120.00,w ext,5.30,59.21
27,5.20,17.72,170.86,156.00,w ext,4.32,56.12
28,5.40,16.28,167.70,172.00,w ext,3.47,54.03
29,5.60,13.19,165.20,160.00,w ext,3.97,53.49
30,5.80,11.65,162.92,120.00,w ext,2.75,52.41
31,6.00,11.65,162.92,80.00,w ext,0.00,52.41
32,6.20,12.51,161.58,76.00,w ext,1.59,50.82
33,6.40,10.98,158.25,88.00,w ext,3.66,49.04
34,6.60,10.27,153.56,84.00,w ext,4.75,45.90
35,6.80,11.19,148.28,164.00,w ext,5.36,41.45
36,7.00,12.08,144.05,296.00,w ext,4.32,37.93
37,7.20,10.46,137.56,288.00,w ext,6.69,35.39
38,7.40,8.74,129.92,320.00,w ext,7.83,33.16
39,7.60,6.95,124.13,312.00,w ext,6.06,33.09
40,7.80,5.15,121.31,292.00,w ext,3.35,34.32
41,8.00,0.56,115.51,136.00,w ext,7.39,38.31
42,8.20,1.30,111.15,116.00,w ext,4.42,37.63
43,8.40,2.02,106.83,88.00,w ext,4.38,37.40
44,8.60,4.56,103.58,92.00,w ext,4.13,35.51
45,8.80,8.89,101.47,268.00,w ext,4.82,31.87
46,9.00,13.82,94.53,352.00,w ext,8.51,30.36
47,9.20,17.83,87.93,408.00,west,7.72,30.90
48,9.40,21.62,78.75,400.00,west,9.93,35.29
49,9.60,24.55,70.69,408.00,west,8.57,40.49
50,9.80,26.42,60.67,424.00,west,10.19,48.88
51,10.00,27.34,50.41,392.00,west,10.30,58.34
52,10.20,27.45,41.73,420.00,w ext,8.68,66.69
53,10.40,26.48,31.48,364.00,w ext,10.29,76.89
54,10.60,25.83,25.17,344.00,w ext,6.34,83.18
55,10.80,26.30,21.32,268.00,s ext,3.88,86.83
56,11.00,27.90,20.03,256.00,s ext,2.06,87.76
57,11.20,31.21,18.54,236.00,s ext,3.63,88.63
58,11.40,36.18,16.85,348.00,s ext,5.25,89.64
59,11.60,41.99,15.56,368.00,s ext,5.95,90.52
60,11.80,48.58,14.60,356.00,s ext,6.66,91.40
61,12.00,56.76,14.18,400.00,s ext,8.19,92.28
62,12.20,64.64,11.48,372.00,s ext,8.32,96.06
63,12.40,70.84,8.88,360.00,s ext,6.73,99.82
64,12.60,75.44,6.51,320.00,s ext,5.18,103.21
65,12.80,80.85,5.14,256.00,s ext,5.58,106.01
66,13.00,84.76,6.09,320.00,s ext,4.03,106.35
67,13.20,90.08,5.22,308.00,s ext,5.39,109.04
68,13.40,96.12,5.10,304.00,s ext,6.03,111.55
69,13.60,101.34,6.45,320.00,s ext,5.40,112.64
70,13.80,106.46,6.52,280.00,s ext,5.12,115.04
71,14.00,110.79,7.26,296.00,s ext,4.40,116.62
72,14.20,115.06,8.70,300.00,s ext,4.51,117.73
73,14.40,122.01,14.87,304.00,s ext,9.29,116.66
74,14.60,127.45,18.95,352.00,s ext,6.80,116.89
75,14.80,134.19,21.33,408.00,s ext,7.15,119.64
76,15.00,141.55,23.92,380.00,s ext,7.81,123.04
77,15.20,148.26,26.47,356.00,e ext,7.18,126.35
78,15.40,155.05,27.88,328.00,e ext,6.94,130.73
79,15.60,161.27,27.59,304.00,e ext,6.22,135.86
80,15.80,164.77,27.69,228.00,e ext,3.50,138.63
81,16.00,169.02,27.38,124.00,e ext,4.26,142.29
82,16.20,166.91,29.55,204.00,e ext,3.02,139.32
83,16.40,172.67,29.52,72.00,e ext,5.75,144.13
84,16.60,173.50,33.28,92.00,e ext,3.85,142.76
85,16.80,174.43,39.13,100.00,e ext,5.92,140.48
86,17.00,173.20,45.94,192.00,e ext,6.92,136.07
87,17.20,174.37,54.78,308.00,e ext,8.92,133.16
88,17.40,177.24,64.24,344.00,e ext,9.89,132.17
89,17.60,181.11,73.83,380.00,e ext,10.34,132.85
90,17.80,185.26,83.88,352.00,e ext,10.87,134.50
91,18.00,189.47,92.25,320.00,e ext,9.37,137.19
92,18.20,191.67,96.60,276.00,e ext,4.88,138.80
93,18.40,196.84,103.38,116.00,e ext,8.52,143.35
94,18.60,193.22,102.20,188.00,e ext,3.80,139.82
95,18.80,193.80,106.73,156.00,e ext,4.56,140.15
96,19.00,192.97,113.39,224.00,e ext,6.72,139.20
97,19.20,191.27,119.83,304.00,e ext,6.66,137.65
98,19.40,190.79,128.45,328.00,e ext,8.64,137.81
99,19.60,191.60,139.43,316.00,e ext,11.01,140.19
100,19.80,192.33,149.35,304.00,e ext,9.94,142.97
101,20.00,193.69,157.37,272.00,e ext,8.13,146.36
102,20.20,197.07,166.30,184.00,e ext,9.55,152.32
103,20.40,197.86,175.44,84.00,e ext,9.17,156.33
104,20.60,196.57,178.13,84.00,e ext,2.99,156.19
105,20.80,193.53,181.01,108.00,e ext,4.19,154.59
106,21.00,191.57,180.07,156.00,e ext,2.18,152.42
107,21.20,189.72,184.47,200.00,e ext,4.78,152.67
108,21.40,187.76,183.50,200.00,e ext,2.18,150.48
109,21.60,185.89,187.78,196.00,e ext,4.67,150.81
110,21.80,183.25,192.63,188.00,e ext,5.52,150.90
111,22.00,181.14,195.62,176.00,e ext,3.66,150.66
112,22.20,180.01,199.13,176.00,n ext,3.68,151.59
113,22.40,181.86,204.33,72.00,n ext,5.52,155.97
114,22.60,179.09,203.77,60.00,n ext,2.83,153.35
115,22.80,-,-,-,-,-,-
116,23.00,166.99,200.09,68.00,n ext,-,141.31
117,23.20,160.34,196.61,280.00,n ext,7.50,133.88
118,23.40,154.13,195.46,288.00,n ext,6.32,128.20
119,23.60,146.43,195.66,296.00,n ext,7.70,122.27
120,23.80,138.91,197.09,256.00,n ext,7.66,117.49
121,24.00,132.18,198.14,240.00,n ext,6.81,113.31
122,24.20,127.43,202.04,240.00,n ext,6.15,112.83
123,24.40,125.04,204.06,140.00,n ext,3.13,112.75
124,24.60,124.95,203.07,108.00,n ext,1.00,111.94
125,24.80,-,-,-,-,-,-
126,25.00,-,-,-,-,-,-
127,25.20,-,-,-,-,-,-
128,25.40,-,-,-,-,-,-
129,25.60,106.11,202.58,68.00,n ext,-,100.00
130,25.80,102.54,198.16,184.00,n ext,5.68,94.33
131,26.00,98.26,194.77,296.00,n ext,5.45,89.14
132,26.20,91.62,190.57,308.00,n ext,7.86,82.03
133,26.40,85.16,188.64,320.00,n ext,6.74,77.17
134,26.60,77.24,186.40,332.00,n ext,8.23,71.74
135,26.80,70.20,186.41,312.00,n ext,7.04,69.29
136,27.00,63.21,186.90,312.00,n ext,7.00,67.83
137,27.20,56.26,187.87,272.00,n ext,7.01,67.50
138,27.40,50.06,189.92,220.00,n ext,6.54,68.91
139,27.60,44.68,191.12,196.00,n ext,5.51,69.94
140,27.80,39.35,191.64,188.00,n ext,5.35,70.72
141,28.00,34.21,189.56,160.00,w ext,5.55,69.19
142,28.20,31.41,186.40,148.00,w ext,4.23,66.52
143,28.40,29.31,183.80,192.00,w ext,3.34,64.39
144,28.60,25.68,181.02,252.00,w ext,4.57,62.61
145,28.80,22.11,176.29,180.00,w ext,5.92,59.28
146,29.00,19.18,173.01,192.00,w ext,4.40,57.41
