Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00054.trk
Object,0
Samples,368
rat,113,
trial,2,
date,2007-12-14 12:58:12.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,107.95,189.10,164.00,136.00,n ext,90.32
2,0.20,107.03,187.14,168.00,116.00,north,88.22
3,0.40,104.45,184.04,196.00,204.00,north,84.19
4,0.60,101.13,181.82,256.00,204.00,north,80.38
5,0.80,97.09,180.49,240.00,240.00,north,76.87
6,1.00,95.48,180.35,264.00,208.00,north,75.78
7,1.20,93.08,179.33,268.00,244.00,north,73.51
8,1.40,89.90,176.66,216.00,308.00,north,69.48
9,1.60,90.68,175.85,228.00,244.00,north,69.29
10,1.80,92.24,174.26,276.00,192.00,north,68.97
11,2.00,94.59,173.56,372.00,208.00,north,69.85
12,2.20,98.46,170.59,356.00,344.00,north,70.07
13,2.40,101.51,166.85,380.00,312.00,north,69.51
14,2.60,104.45,160.83,388.00,408.00,north,67.72
15,2.80,106.56,154.10,404.00,456.00,north,65.45
16,3.00,109.33,145.36,440.00,572.00,north,63.29
17,3.20,112.82,137.66,496.00,600.00,north,63.35
18,3.40,116.24,129.32,536.00,656.00,north,64.32
19,3.60,121.02,119.70,508.00,788.00,east,67.52
20,3.80,125.04,110.61,560.00,732.00,east,71.29
21,4.00,130.43,100.58,608.00,840.00,east,77.56
22,4.20,134.40,91.56,580.00,764.00,east,83.17
23,4.40,140.53,83.47,548.00,760.00,east,91.21
24,4.60,148.18,77.74,496.00,740.00,east,100.26
25,4.80,155.25,74.05,520.00,608.00,east,108.15
26,5.00,163.91,70.52,472.00,632.00,east,117.50
27,5.20,172.62,64.49,428.00,628.00,e ext,127.77
28,5.40,180.02,59.18,332.00,480.00,e ext,136.61
29,5.60,183.73,55.76,252.00,248.00,e ext,141.34
30,5.80,185.98,53.84,168.00,124.00,e ext,144.16
31,6.00,185.21,54.12,72.00,104.00,e ext,143.34
32,6.20,-,-,-,-,-,-
33,6.40,-,-,-,-,-,-
34,6.60,187.25,60.18,140.00,-,e ext,142.98
35,6.80,187.70,65.70,208.00,300.00,e ext,141.55
36,7.00,188.38,73.42,264.00,304.00,e ext,139.96
37,7.20,189.12,81.14,292.00,300.00,e ext,138.84
38,7.40,190.77,88.79,300.00,272.00,e ext,139.02
39,7.60,189.73,94.45,252.00,288.00,e ext,137.13
40,7.80,188.18,95.62,236.00,224.00,e ext,135.45
41,8.00,184.14,96.84,316.00,288.00,e ext,131.29
42,8.20,178.32,95.99,380.00,416.00,e ext,125.62
43,8.40,170.19,94.33,396.00,504.00,east,117.81
44,8.60,162.25,91.94,416.00,532.00,east,110.39
45,8.80,153.06,89.01,452.00,636.00,east,101.93
46,9.00,143.49,86.41,524.00,696.00,east,93.23
47,9.20,134.17,82.45,552.00,732.00,east,85.48
48,9.40,125.77,77.13,528.00,760.00,east,79.67
49,9.60,117.53,71.86,592.00,776.00,south,74.85
50,9.80,109.33,65.70,628.00,812.00,south,71.44
51,10.00,101.06,59.14,668.00,816.00,south,69.45
52,10.20,92.59,52.67,656.00,828.00,south,68.77
53,10.40,85.35,49.56,616.00,672.00,south,67.26
54,10.60,77.26,49.08,600.00,680.00,south,63.73
55,10.80,69.13,52.30,524.00,668.00,south,57.57
56,11.00,60.15,56.84,488.00,668.00,south,50.69
57,11.20,52.67,63.43,460.00,644.00,west,42.88
58,11.40,45.11,71.12,456.00,668.00,west,34.90
59,11.60,38.28,80.25,472.00,656.00,west,26.72
60,11.80,31.29,89.11,480.00,680.00,west,21.23
61,12.00,25.86,99.65,508.00,684.00,west,17.42
62,12.20,19.47,110.94,428.00,736.00,west,19.53
63,12.40,12.02,119.38,360.00,556.00,w ext,27.22
64,12.60,4.35,124.55,284.00,492.00,w ext,35.72
65,12.80,1.72,124.98,192.00,180.00,w ext,38.38
66,13.00,1.64,121.80,124.00,220.00,w ext,37.86
67,13.20,3.23,115.25,88.00,212.00,w ext,35.64
68,13.40,5.73,110.85,264.00,272.00,w ext,33.22
69,13.60,8.10,103.52,360.00,408.00,w ext,32.08
70,13.80,12.95,94.49,356.00,468.00,w ext,31.12
71,14.00,19.40,85.18,400.00,532.00,west,31.67
72,14.20,25.74,76.56,384.00,576.00,west,34.79
73,14.40,31.87,66.65,444.00,636.00,west,41.48
74,14.60,37.84,56.32,404.00,696.00,west,50.28
75,14.80,42.94,46.99,396.00,632.00,west,59.07
76,15.00,49.52,36.53,352.00,604.00,south,69.48
