Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00052.trk
Object,0
Samples,77
rat,98,
trial,4,
date,2007-12-14 12:53:14.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,187.22,170.70,136.00,92.00,e ext,144.68
2,0.20,186.86,173.67,140.00,156.00,e ext,145.51
3,0.40,184.40,174.63,136.00,196.00,e ext,143.64
4,0.60,181.76,174.45,208.00,176.00,e ext,141.16
5,0.80,178.19,173.86,252.00,212.00,e ext,137.67
6,1.00,173.73,172.87,224.00,220.00,e ext,133.21
7,1.20,170.23,172.32,248.00,232.00,e ext,129.82
8,1.40,165.11,172.03,256.00,232.00,east,125.10
9,1.60,160.64,170.17,368.00,232.00,east,120.27
10,1.80,155.62,169.98,352.00,288.00,north,115.72
11,2.00,148.91,169.18,384.00,392.00,north,109.45
12,2.20,143.14,168.83,332.00,316.00,north,104.27
13,2.40,137.33,167.70,344.00,308.00,north,98.71
14,2.60,131.60,166.74,372.00,348.00,north,93.35
15,2.80,124.24,164.68,380.00,384.00,north,86.04
16,3.00,117.01,162.98,396.00,424.00,north,79.08
17,3.20,109.09,160.71,412.00,424.00,north,71.31
18,3.40,100.57,159.61,420.00,480.00,north,63.95
19,3.60,91.40,158.26,416.00,500.00,north,56.27
20,3.80,82.36,157.54,452.00,524.00,north,49.69
21,4.00,73.42,156.66,408.00,564.00,north,43.64
22,4.20,65.20,157.80,408.00,520.00,north,40.70
23,4.40,57.00,158.64,340.00,460.00,west,38.91
24,4.60,51.03,159.32,316.00,368.00,west,38.53
25,4.80,45.73,160.84,292.00,336.00,west,39.66
26,5.00,40.44,161.70,248.00,316.00,west,40.82
27,5.20,34.55,158.61,180.00,340.00,west,38.66
28,5.40,32.38,155.89,268.00,208.00,west,36.62
29,5.60,29.52,150.72,328.00,284.00,west,32.83
30,5.80,28.15,144.96,308.00,316.00,west,28.43
31,6.00,27.53,138.92,328.00,316.00,west,23.64
32,6.20,29.29,129.73,348.00,372.00,west,15.56
33,6.40,30.96,120.74,408.00,444.00,west,9.12
34,6.60,32.55,111.92,404.00,444.00,west,6.45
35,6.80,34.06,102.37,448.00,476.00,west,9.17
36,7.00,35.45,92.06,428.00,548.00,west,16.51
37,7.20,37.60,83.62,424.00,452.00,west,23.59
38,7.40,40.50,75.42,392.00,440.00,west,30.99
39,7.60,45.77,67.85,388.00,476.00,west,38.15
40,7.80,50.17,60.35,412.00,496.00,west,45.72
41,8.00,52.97,53.40,388.00,472.00,south,52.88
42,8.20,55.00,47.10,420.00,488.00,south,59.37
43,8.40,55.49,42.04,388.00,432.00,south,64.45
44,8.60,57.64,38.32,376.00,404.00,south,68.43
45,8.80,60.64,35.74,384.00,312.00,south,71.48
46,9.00,63.68,34.04,416.00,344.00,south,73.73
47,9.20,68.37,34.53,460.00,356.00,south,74.31
48,9.40,72.26,35.55,528.00,404.00,south,74.42
49,9.60,76.13,37.32,572.00,492.00,south,74.06
50,9.80,80.73,40.76,612.00,576.00,south,72.73
51,10.00,84.57,47.07,596.00,536.00,south,68.98
52,10.20,89.03,53.89,568.00,572.00,south,65.70
53,10.40,93.35,60.31,644.00,660.00,south,63.30
54,10.60,96.87,67.12,632.00,612.00,south,60.91
55,10.80,101.03,73.69,632.00,600.00,south,60.04
56,11.00,103.78,80.06,568.00,528.00,south,58.84
57,11.20,105.83,85.63,592.00,536.00,south,58.01
58,11.40,105.82,91.16,544.00,592.00,south,55.85
59,11.60,103.72,97.28,520.00,592.00,east,52.01
60,11.80,100.22,101.95,524.00,564.00,east,47.57
61,12.00,93.88,106.53,540.00,592.00,west,40.53
62,12.20,87.48,111.15,540.00,568.00,west,33.73
63,12.40,80.31,114.55,508.00,608.00,west,26.57
64,12.60,72.39,116.06,508.00,560.00,west,18.77
65,12.80,64.38,117.80,488.00,588.00,west,11.21
66,13.00,56.26,119.04,408.00,520.00,west,4.20
67,13.20,52.53,119.33,388.00,292.00,west,1.30
68,13.40,49.52,119.59,388.00,256.00,platform,0.00
69,13.60,48.78,118.87,408.00,140.00,platform,0.00
70,13.80,48.80,118.09,408.00,104.00,platform,0.00
71,14.00,48.80,118.09,384.00,56.00,platform,0.00
72,14.20,48.05,117.37,392.00,56.00,platform,0.00
73,14.40,48.05,117.37,384.00,64.00,platform,0.00
74,14.60,47.28,118.22,424.00,168.00,platform,0.00
75,14.80,46.52,118.29,412.00,156.00,platform,0.00
76,15.00,45.76,118.35,392.00,148.00,platform,0.00
77,15.20,45.00,118.42,396.00,124.00,platform,0.00
