Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00042.trk
Object,0
Samples,450
rat,95,
trial,2,
date,2007-12-14 12:21:23.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,118.97,181.09,108.00,144.00,north,91.99
2,0.20,121.62,183.58,160.00,132.00,north,95.62
3,0.40,122.54,184.74,248.00,192.00,north,97.08
4,0.60,125.41,189.23,260.00,244.00,n ext,102.25
5,0.80,130.60,199.42,124.00,312.00,n ext,113.11
6,1.00,133.03,206.15,116.00,192.00,n ext,119.65
7,1.20,-,-,-,-,-,-
8,1.40,-,-,-,-,-,-
9,1.60,-,-,-,-,-,-
10,1.80,-,-,-,-,-,-
11,2.00,-,-,-,-,-,-
12,2.20,-,-,-,-,-,-
13,2.40,140.25,208.30,72.00,-,n ext,126.20
14,2.60,143.44,205.84,80.00,128.00,n ext,126.76
15,2.80,143.17,203.77,60.00,84.00,n ext,125.15
16,3.00,158.05,204.27,84.00,144.00,n ext,136.70
17,3.20,163.27,204.07,140.00,168.00,n ext,140.68
18,3.40,173.00,204.41,120.00,228.00,n ext,148.71
19,3.60,180.86,203.75,64.00,184.00,n ext,154.82
20,3.80,-,-,-,-,-,-
21,4.00,-,-,-,-,-,-
22,4.20,179.55,191.69,88.00,-,e ext,147.25
23,4.40,175.13,186.39,200.00,280.00,e ext,140.74
24,4.60,172.92,178.39,208.00,304.00,e ext,134.95
25,4.80,169.75,169.22,248.00,360.00,e ext,128.06
26,5.00,168.36,160.10,296.00,368.00,east,123.24
27,5.20,167.22,152.17,308.00,364.00,east,119.53
28,5.40,166.62,141.76,312.00,380.00,east,116.21
29,5.60,166.25,132.42,352.00,360.00,east,114.02
30,5.80,165.97,123.16,384.00,408.00,east,112.60
31,6.00,166.56,114.01,380.00,420.00,east,112.80
32,6.20,166.17,101.94,408.00,492.00,east,112.88
33,6.40,166.07,91.71,420.00,444.00,east,114.19
34,6.60,166.08,81.40,420.00,464.00,east,116.35
35,6.80,166.93,70.81,356.00,448.00,east,120.24
36,7.00,166.35,59.42,360.00,444.00,e ext,123.94
37,7.20,165.88,46.95,340.00,444.00,e ext,129.17
38,7.40,164.18,35.93,276.00,424.00,e ext,133.51
39,7.60,161.96,27.22,212.00,328.00,e ext,136.63
40,7.80,159.18,24.80,200.00,260.00,e ext,135.88
41,8.00,153.70,23.83,112.00,232.00,e ext,132.21
42,8.20,149.60,28.61,76.00,172.00,e ext,126.01
43,8.40,146.86,33.42,136.00,180.00,e ext,120.86
44,8.60,145.48,39.28,216.00,216.00,east,116.21
45,8.80,144.12,45.83,312.00,280.00,east,111.32
46,9.00,143.47,54.52,388.00,412.00,east,106.03
47,9.20,143.58,63.65,456.00,524.00,east,101.60
48,9.40,144.51,74.15,444.00,612.00,east,98.07
49,9.60,147.01,84.49,464.00,580.00,east,97.13
50,9.80,148.98,95.08,488.00,584.00,platform reversal,96.77
51,10.00,151.23,106.74,496.00,656.00,platform reversal,97.62
52,10.20,153.04,119.53,448.00,696.00,east,99.45
53,10.40,156.35,129.50,412.00,636.00,east,103.78
54,10.60,160.75,140.20,356.00,648.00,east,110.13
55,10.80,166.95,150.22,336.00,508.00,east,118.69
56,11.00,174.46,161.45,276.00,436.00,e ext,129.42
57,11.20,180.44,171.84,292.00,392.00,e ext,138.89
58,11.40,187.76,183.50,224.00,388.00,e ext,150.48
59,11.60,185.06,183.20,68.00,284.00,e ext,147.94
60,11.80,192.05,192.07,60.00,128.00,e ext,158.27
61,12.00,-,-,-,-,-,-
62,12.20,-,-,-,-,-,-
63,12.40,-,-,-,-,-,-
64,12.60,187.64,197.11,64.00,-,e ext,156.97
65,12.80,-,-,-,-,-,-
66,13.00,-,-,-,-,-,-
67,13.20,-,-,-,-,-,-
68,13.40,178.25,199.18,68.00,-,n ext,150.14
69,13.60,173.97,199.87,68.00,136.00,n ext,146.93
70,13.80,169.70,200.55,116.00,160.00,n ext,143.78
71,14.00,165.25,200.16,172.00,240.00,n ext,139.93
72,14.20,160.84,199.81,84.00,184.00,n ext,136.17
73,14.40,151.12,204.66,188.00,272.00,n ext,131.65
74,14.60,140.38,209.34,60.00,248.00,n ext,127.04
75,14.80,-,-,-,-,-,-
76,15.00,-,-,-,-,-,-
77,15.20,-,-,-,-,-,-
78,15.40,-,-,-,-,-,-
79,15.60,-,-,-,-,-,-
80,15.80,110.08,197.78,68.00,-,n ext,98.49
81,16.00,106.45,192.42,80.00,132.00,n ext,92.03
82,16.20,99.64,185.98,136.00,216.00,north,82.77
83,16.40,95.50,181.21,240.00,240.00,north,76.47
84,16.60,88.33,174.14,308.00,388.00,north,66.51
85,16.80,80.68,167.00,336.00,468.00,north,56.28
86,17.00,72.59,159.07,368.00,544.00,north,45.23
87,17.20,65.42,152.37,428.00,628.00,north,35.88
88,17.40,58.32,145.93,416.00,612.00,west,27.13
89,17.60,51.99,137.83,404.00,652.00,west,17.51
90,17.80,45.52,129.50,340.00,616.00,west,8.32
91,18.00,39.59,120.58,432.00,564.00,west,1.79
92,18.20,34.14,110.11,420.00,628.00,west,5.22
93,18.40,29.97,99.71,452.00,664.00,west,14.01
94,18.60,25.41,86.75,396.00,624.00,west,26.60
95,18.80,21.39,74.87,376.00,548.00,west,38.57
96,19.00,17.76,60.36,328.00,544.00,w ext,52.81
97,19.20,14.75,46.26,280.00,512.00,w ext,66.72
98,19.40,15.36,43.38,112.00,304.00,w ext,69.08
99,19.60,17.15,26.45,72.00,184.00,w ext,84.24
100,19.80,21.69,27.42,84.00,148.00,w ext,82.00
101,20.00,26.27,29.39,140.00,200.00,w ext,78.97
102,20.20,30.86,32.29,240.00,268.00,w ext,75.16
103,20.40,37.01,34.72,256.00,312.00,south,71.79
104,20.60,49.02,40.87,124.00,364.00,south,65.14
105,20.80,53.98,43.33,300.00,232.00,south,63.00
106,21.00,62.87,48.37,320.00,404.00,south,59.54
107,21.20,72.91,53.07,400.00,480.00,south,58.28
108,21.40,81.85,56.89,508.00,580.00,south,59.21
109,21.60,89.81,60.80,544.00,644.00,south,60.64
110,21.80,98.27,64.25,572.00,692.00,south,63.89
111,22.00,105.89,67.24,568.00,588.00,south,67.76
112,22.20,112.74,70.67,576.00,584.00,south,71.45
113,22.40,118.21,74.73,540.00,524.00,south,74.01
114,22.60,123.73,80.94,524.00,584.00,east,76.27
115,22.80,128.00,88.79,516.00,616.00,east,77.68
116,23.00,131.71,96.13,520.00,548.00,east,79.59
117,23.20,136.33,104.50,520.00,600.00,east,82.94
118,23.40,140.53,114.06,500.00,604.00,east,86.77
119,23.60,145.79,124.30,448.00,604.00,east,92.63
120,23.80,151.46,135.35,420.00,572.00,east,100.03
121,24.00,156.53,145.27,404.00,512.00,east,107.31
122,24.20,163.23,159.15,356.00,560.00,east,118.12
123,24.40,168.41,171.54,308.00,504.00,e ext,127.84
124,24.60,173.99,184.83,248.00,460.00,e ext,138.98
125,24.80,179.60,196.84,164.00,324.00,n ext,150.00
126,25.00,-,-,-,-,-,-
127,25.20,-,-,-,-,-,-
128,25.40,-,-,-,-,-,-
129,25.60,-,-,-,-,-,-
130,25.80,173.00,204.41,72.00,-,n ext,148.71
131,26.00,168.89,206.16,100.00,172.00,n ext,146.42
132,26.20,163.62,206.26,80.00,164.00,n ext,142.31
133,26.40,155.85,207.08,64.00,144.00,n ext,136.81
134,26.60,-,-,-,-,-,-
135,26.80,141.72,206.02,104.00,-,n ext,125.65
136,27.00,126.02,205.38,100.00,204.00,n ext,114.39
137,27.20,119.97,205.25,88.00,148.00,n ext,110.44
138,27.40,-,-,-,-,-,-
139,27.60,-,-,-,-,-,-
140,27.80,-,-,-,-,-,-
141,28.00,-,-,-,-,-,-
142,28.20,-,-,-,-,-,-
143,28.40,70.77,193.38,84.00,-,n ext,76.11
144,28.60,67.01,188.72,92.00,176.00,n ext,70.56
145,28.80,61.89,182.04,96.00,188.00,n ext,62.80
146,29.00,60.59,177.29,220.00,196.00,north,57.87
147,29.20,57.99,168.84,288.00,380.00,north,49.06
148,29.40,56.93,160.25,324.00,404.00,north,40.45
149,29.60,55.20,149.62,328.00,484.00,west,29.73
150,29.80,54.17,139.00,412.00,548.00,west,19.27
151,30.00,53.79,128.35,360.00,524.00,west,9.22
152,30.20,54.09,116.17,388.00,596.00,west,0.81
153,30.40,54.20,107.81,336.00,612.00,west,2.18
154,30.60,54.23,103.23,348.00,548.00,west,5.34
155,30.80,50.43,97.73,328.00,500.00,west,8.69
156,31.00,48.07,92.06,364.00,404.00,west,13.94
157,31.20,44.79,84.44,380.00,424.00,west,21.58
