Track file,I:\Rat Navigation Data\exp nesté 1morris_0003\data\track_00039.trk
Object,0
Samples,47
rat,118,
trial,3,
date,2007-12-16 13:10:19.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,89.13,180.87,292.00,260.00,north,72.50,-
2,0.20,86.76,178.29,348.00,288.00,north,69.05,3.50
3,0.40,82.88,174.20,400.00,388.00,north,63.51,5.64
4,0.60,80.64,169.41,408.00,336.00,north,58.26,5.29
5,0.80,78.45,164.76,436.00,372.00,north,53.17,5.14
6,1.00,76.30,160.24,456.00,324.00,north,48.22,5.01
7,1.20,74.93,155.74,456.00,328.00,north,43.76,4.70
8,1.40,72.86,150.65,492.00,380.00,north,38.44,5.50
9,1.60,71.56,145.56,480.00,380.00,north,33.60,5.25
10,1.80,70.92,142.67,476.00,276.00,north,30.93,2.96
11,2.00,68.85,139.21,504.00,348.00,west,26.94,4.04
12,2.20,66.77,135.76,520.00,440.00,west,22.99,4.02
13,2.40,63.89,134.61,504.00,408.00,west,20.25,3.10
14,2.60,62.50,132.56,484.00,412.00,west,17.77,2.48
15,2.80,59.58,132.16,496.00,364.00,west,15.69,2.95
16,3.00,55.88,132.64,496.00,408.00,west,13.97,3.73
17,3.20,54.39,132.84,460.00,380.00,west,13.51,1.50
18,3.40,52.16,133.18,472.00,348.00,west,13.13,2.26
19,3.60,51.41,133.29,456.00,392.00,west,13.00,0.76
20,3.80,50.63,134.19,452.00,268.00,west,13.64,1.19
21,4.00,49.83,135.88,452.00,264.00,west,15.12,1.87
22,4.20,49.08,136.01,436.00,192.00,west,15.14,0.76
23,4.40,48.27,137.73,428.00,240.00,west,16.77,1.90
24,4.60,47.48,138.66,432.00,252.00,west,17.62,1.22
25,4.80,47.51,137.87,452.00,348.00,west,16.83,0.80
26,5.00,46.76,138.01,476.00,336.00,west,16.90,0.77
27,5.20,46.76,138.01,440.00,420.00,west,16.90,0.00
28,5.40,48.24,138.52,428.00,276.00,west,17.55,1.56
29,5.60,49.05,136.80,432.00,316.00,west,15.92,1.90
30,5.80,51.38,134.07,472.00,280.00,west,13.73,3.59
31,6.00,52.95,131.52,460.00,308.00,west,11.76,2.99
32,6.20,53.03,129.22,440.00,396.00,west,9.63,2.31
33,6.40,53.09,126.91,452.00,268.00,west,7.62,2.30
34,6.60,52.39,125.47,464.00,180.00,west,6.02,1.61
35,6.80,52.43,123.93,476.00,196.00,west,4.83,1.54
36,7.00,50.96,122.55,428.00,152.00,west,2.82,2.01
37,7.20,49.49,121.15,496.00,308.00,west,0.83,2.03
38,7.40,47.28,118.22,516.00,364.00,platform,0.00,3.67
39,7.60,47.28,118.22,492.00,112.00,platform,0.00,0.00
40,7.80,47.28,118.22,496.00,204.00,platform,0.00,0.00
41,8.00,45.77,117.56,476.00,204.00,platform,0.00,1.65
42,8.20,44.25,116.89,512.00,204.00,platform,0.00,1.66
43,8.40,44.25,116.89,516.00,148.00,platform,0.00,0.00
44,8.60,44.26,116.08,488.00,204.00,platform,0.00,0.80
45,8.80,45.03,116.02,512.00,200.00,platform,0.00,0.77
46,9.00,45.80,115.17,536.00,192.00,platform,0.00,1.15
47,9.20,45.82,113.58,512.00,160.00,platform,0.00,1.59
