Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00017.trk
Object,0
Samples,51
rat,90,
trial,1,
date,2007-12-15 12:03:24.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,65.65,183.78,168.00,n ext,-,65.45
2,0.20,61.16,181.37,112.00,n ext,5.10,61.97
3,0.40,59.70,180.03,76.00,n ext,1.98,60.36
4,0.60,59.14,175.97,88.00,north,4.10,56.27
5,0.80,59.91,175.78,204.00,north,0.79,56.25
6,1.00,60.91,170.60,296.00,north,5.28,51.47
7,1.20,63.43,164.42,328.00,north,6.68,46.28
8,1.40,67.50,155.88,372.00,north,9.45,39.96
9,1.60,71.51,147.05,416.00,north,9.70,34.76
10,1.80,76.17,137.87,484.00,north,10.30,31.29
11,2.00,81.47,128.41,528.00,north,10.84,30.81
12,2.20,87.36,119.35,548.00,north,10.80,34.05
13,2.40,93.15,109.90,568.00,west,11.08,39.45
14,2.60,100.22,101.95,620.00,east,10.64,47.57
15,2.80,107.20,93.92,636.00,east,10.64,56.28
16,3.00,114.11,86.29,612.00,east,10.29,65.34
17,3.20,119.59,78.27,576.00,east,9.71,73.60
18,3.40,123.00,69.21,544.00,south,9.68,80.90
19,3.60,123.01,60.17,532.00,south,9.05,85.80
20,3.80,121.02,50.38,536.00,south,9.99,90.11
21,4.00,116.30,41.45,560.00,south,10.10,92.75
22,4.20,110.12,35.47,488.00,south,8.60,93.10
23,4.40,102.34,28.08,512.00,south,10.73,94.55
24,4.60,95.74,21.63,588.00,south,9.23,96.62
25,4.80,88.90,15.33,484.00,s ext,9.29,99.26
26,5.00,80.94,7.09,356.00,s ext,11.46,104.18
27,5.20,72.91,3.77,328.00,s ext,8.69,105.26
28,5.40,64.90,3.83,268.00,s ext,8.01,103.64
29,5.60,58.49,5.18,288.00,s ext,6.55,101.41
30,5.80,53.04,8.74,356.00,s ext,6.51,97.41
31,6.00,47.53,12.18,360.00,s ext,6.49,93.80
32,6.20,42.18,17.61,356.00,s ext,7.63,88.46
33,6.40,37.77,24.45,368.00,s ext,8.14,81.92
34,6.60,34.21,31.70,440.00,s ext,8.07,75.16
35,6.80,30.63,39.01,440.00,w ext,8.14,68.63
36,7.00,28.84,48.02,384.00,west,9.18,60.26
37,7.20,29.60,57.74,404.00,west,9.75,50.67
38,7.40,31.98,68.50,460.00,west,11.02,39.67
39,7.60,34.24,80.57,472.00,west,12.28,27.50
40,7.80,37.06,92.16,464.00,west,11.93,15.69
41,8.00,40.41,103.21,452.00,west,11.55,4.51
42,8.20,41.99,109.75,464.00,platform,6.73,0.00
43,8.40,41.98,113.01,448.00,platform,3.26,0.00
44,8.60,42.74,114.58,456.00,platform,1.75,0.00
45,8.80,43.50,115.34,452.00,platform,1.07,0.00
46,9.00,43.50,115.34,464.00,platform,0.00,0.00
47,9.20,43.51,114.53,416.00,platform,0.81,0.00
48,9.40,44.28,114.48,436.00,platform,0.77,0.00
49,9.60,45.04,114.43,456.00,platform,0.77,0.00
50,9.80,47.33,115.07,476.00,platform,2.37,0.00
51,10.00,47.33,115.07,444.00,platform,0.00,0.00
