Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00029.trk
Object,0
Samples,340
rat,93,
trial,1,
date,2007-12-14 11:44:32.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,-,-,-,-,-,-
2,0.20,87.85,6.73,72.00,-,s ext,106.82
3,0.40,85.61,8.18,136.00,152.00,s ext,104.67
4,0.60,83.25,6.70,160.00,184.00,s ext,105.27
5,0.80,85.61,8.18,228.00,196.00,s ext,104.67
6,1.00,88.72,9.73,304.00,260.00,s ext,104.35
7,1.20,91.00,10.11,284.00,212.00,s ext,104.88
8,1.40,92.59,13.13,288.00,260.00,s ext,102.78
9,1.60,92.64,14.98,368.00,216.00,s ext,101.13
10,1.80,92.66,15.89,372.00,236.00,s ext,100.31
11,2.00,91.94,16.71,448.00,148.00,s ext,99.27
12,2.20,88.99,18.08,488.00,288.00,s ext,96.78
13,2.40,86.75,18.59,592.00,384.00,s ext,95.41
14,2.60,82.17,17.66,568.00,392.00,s ext,94.59
15,2.80,77.48,15.58,516.00,412.00,s ext,95.04
16,3.00,70.27,12.50,420.00,496.00,s ext,96.17
17,3.20,64.36,7.53,292.00,384.00,s ext,99.90
18,3.40,61.79,5.55,288.00,196.00,s ext,101.46
19,3.60,58.49,5.18,100.00,236.00,s ext,101.41
20,3.80,59.26,4.52,108.00,40.00,s ext,102.16
21,4.00,62.62,5.88,152.00,228.00,s ext,101.25
22,4.20,64.90,3.83,168.00,272.00,s ext,103.64
23,4.40,66.42,2.44,180.00,188.00,s ext,105.27
24,4.60,68.89,3.36,168.00,220.00,s ext,104.84
25,4.80,72.91,3.77,192.00,280.00,s ext,105.26
26,5.00,76.02,2.80,240.00,224.00,s ext,106.94
27,5.20,81.50,2.40,164.00,372.00,s ext,108.82
28,5.40,85.42,3.34,172.00,304.00,s ext,109.16
29,5.60,88.51,3.98,176.00,236.00,s ext,109.63
30,5.80,93.07,3.77,216.00,344.00,s ext,111.53
31,6.00,97.59,4.29,240.00,368.00,s ext,112.91
32,6.20,102.77,3.64,160.00,312.00,s ext,115.79
33,6.40,107.18,5.55,116.00,252.00,s ext,116.23
34,6.60,108.63,6.45,96.00,164.00,s ext,116.19
35,6.80,110.07,5.42,152.00,128.00,s ext,117.81
36,7.00,110.07,5.42,152.00,88.00,s ext,117.81
37,7.20,109.35,6.41,132.00,100.00,s ext,116.59
38,7.40,110.07,6.37,100.00,72.00,s ext,117.00
39,7.60,111.51,6.26,144.00,140.00,s ext,117.84
40,7.80,113.65,7.00,152.00,200.00,s ext,118.37
41,8.00,116.49,5.69,168.00,192.00,s ext,121.02
42,8.20,120.00,6.03,172.00,252.00,s ext,122.69
43,8.40,124.16,6.98,180.00,328.00,s ext,124.29
44,8.60,128.28,7.71,208.00,300.00,s ext,126.16
45,8.80,131.68,8.47,296.00,312.00,s ext,127.66
46,9.00,137.08,9.22,280.00,392.00,s ext,130.55
47,9.20,143.78,9.95,304.00,448.00,s ext,134.50
48,9.40,148.43,12.34,316.00,380.00,s ext,136.04
49,9.60,153.78,14.21,256.00,412.00,e ext,138.61
50,9.80,158.50,18.34,248.00,448.00,e ext,139.42
51,10.00,162.63,21.90,268.00,396.00,e ext,140.38
52,10.20,167.59,27.15,264.00,412.00,e ext,141.25
53,10.40,171.26,31.33,268.00,348.00,e ext,141.96
54,10.60,175.82,36.33,272.00,420.00,e ext,143.11
55,10.80,179.93,44.09,248.00,432.00,e ext,142.87
56,11.00,183.45,51.43,308.00,372.00,e ext,142.81
57,11.20,186.55,61.53,316.00,480.00,e ext,141.85
58,11.40,190.81,72.90,256.00,420.00,e ext,142.44
59,11.60,193.50,82.78,272.00,392.00,e ext,142.79
60,11.80,195.81,95.30,300.00,444.00,e ext,143.06
61,12.00,197.30,106.86,296.00,484.00,e ext,143.64
62,12.20,198.95,118.53,292.00,476.00,e ext,145.28
63,12.40,199.66,128.99,276.00,448.00,e ext,146.69
64,12.60,200.65,140.66,236.00,464.00,e ext,149.32
65,12.80,200.18,148.48,172.00,368.00,e ext,150.42
66,13.00,199.11,152.64,144.00,292.00,e ext,150.34
67,13.20,199.21,158.26,132.00,236.00,e ext,151.91
68,13.40,199.86,161.86,124.00,152.00,e ext,153.57
69,13.60,197.82,165.50,120.00,212.00,e ext,152.77
70,13.80,196.75,169.46,84.00,180.00,e ext,153.10
