Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00011.trk
Object,0
Samples,66
rat,87,
trial,3,
date,2007-12-15 11:49:35.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,164.16,153.94,272.00,east,-,117.18
2,0.20,157.09,149.86,400.00,east,8.16,109.19
3,0.40,149.23,144.14,416.00,east,9.72,99.98
4,0.60,142.40,138.32,464.00,east,8.98,91.84
5,0.80,135.06,132.85,540.00,east,9.15,83.46
6,1.00,127.95,127.12,524.00,east,9.13,75.36
7,1.20,121.10,121.88,504.00,east,8.63,67.82
8,1.40,114.44,116.32,564.00,east,8.67,60.74
9,1.60,107.97,111.77,572.00,east,7.91,54.20
10,1.80,101.61,107.43,576.00,east,7.70,48.09
11,2.00,94.61,103.84,540.00,west,7.87,41.72
12,2.20,89.72,100.32,524.00,west,6.02,37.70
13,2.40,86.23,96.81,504.00,west,4.95,35.55
14,2.60,83.45,91.19,536.00,west,6.27,35.70
15,2.80,82.77,84.86,536.00,south,6.36,38.69
16,3.00,83.48,77.81,544.00,south,7.08,43.83
17,3.20,84.89,71.44,540.00,south,6.53,49.37
18,3.40,87.72,67.29,552.00,south,5.02,54.34
19,3.60,91.25,64.62,504.00,south,4.43,58.69
20,3.80,95.47,64.14,524.00,south,4.25,61.97
21,4.00,100.36,67.22,556.00,south,5.77,63.46
22,4.20,103.81,71.57,576.00,south,5.56,63.52
23,4.40,105.86,77.25,540.00,south,6.04,62.09
24,4.60,104.45,83.55,580.00,south,6.45,57.71
25,4.80,100.97,89.02,632.00,south,6.49,52.17
26,5.00,95.38,92.99,620.00,south,6.86,45.47
27,5.20,87.65,96.17,604.00,west,8.36,37.10
28,5.40,80.55,98.70,592.00,west,7.54,29.58
29,5.60,72.64,100.58,580.00,west,8.12,21.63
30,5.80,66.10,101.87,544.00,west,6.67,15.33
31,6.00,60.94,102.53,528.00,west,5.19,10.66
32,6.20,54.23,100.93,488.00,west,6.90,7.25
33,6.40,48.90,98.47,504.00,west,5.87,7.66
34,6.60,45.03,96.74,476.00,west,4.25,9.28
35,6.80,41.88,94.96,456.00,west,3.62,11.61
36,7.00,39.47,93.16,476.00,west,3.00,13.90
37,7.20,37.03,91.31,484.00,west,3.07,16.48
38,7.40,34.56,89.39,468.00,west,3.13,19.28
39,7.60,32.90,88.37,488.00,west,1.95,20.98
40,7.80,31.26,88.22,380.00,west,1.65,21.98
41,8.00,28.92,91.62,420.00,west,4.13,20.60
42,8.20,28.26,96.99,468.00,west,5.41,17.08
43,8.40,27.65,105.97,456.00,west,9.01,12.70
44,8.60,27.75,114.91,464.00,west,8.94,11.11
45,8.80,27.75,123.80,424.00,west,8.89,13.40
46,9.00,27.69,130.02,444.00,west,6.22,16.95
47,9.20,27.61,135.36,380.00,west,5.34,20.78
48,9.40,30.67,139.04,344.00,west,4.79,22.06
49,9.60,34.53,139.83,372.00,west,3.94,20.85
50,9.80,39.96,137.78,348.00,west,5.81,17.15
51,10.00,45.38,134.29,384.00,west,6.44,13.12
52,10.20,49.98,131.18,380.00,west,5.56,10.57
53,10.40,52.30,128.54,432.00,west,3.51,8.74
54,10.60,53.90,124.54,456.00,west,4.31,6.19
55,10.80,54.74,120.67,444.00,west,3.96,3.81
56,11.00,54.10,115.41,428.00,west,5.30,0.75
57,11.20,53.40,112.40,452.00,platform,3.09,0.00
58,11.40,50.40,110.99,480.00,platform,3.31,0.00
59,11.60,48.87,112.62,448.00,platform,2.23,0.00
60,11.80,48.12,111.88,488.00,platform,1.06,0.00
61,12.00,48.13,111.09,416.00,platform,0.79,0.00
62,12.20,48.13,111.09,428.00,platform,0.00,0.00
63,12.40,48.13,111.09,408.00,platform,0.00,0.00
64,12.60,48.13,111.09,416.00,platform,0.00,0.00
65,12.80,48.13,111.09,420.00,platform,0.00,0.00
66,13.00,48.13,110.30,464.00,platform,0.79,0.00
