Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00019.trk
Object,0
Samples,181
rat,90,
trial,3,
date,2007-12-15 12:08:24.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,161.20,150.24,336.00,east,-,113.21
2,0.20,155.81,145.95,356.00,east,6.89,106.80
3,0.40,151.30,141.27,392.00,east,6.50,101.20
4,0.60,148.26,134.65,452.00,east,7.28,96.76
5,0.80,143.61,125.58,448.00,east,10.19,90.62
6,1.00,139.98,117.15,468.00,east,9.18,86.29
7,1.20,137.33,109.92,524.00,east,7.70,83.60
8,1.40,136.26,102.97,444.00,east,7.03,83.03
9,1.60,136.82,99.15,472.00,east,3.86,84.10
10,1.80,138.82,95.29,516.00,east,4.35,86.74
11,2.00,142.97,91.23,520.00,east,5.80,91.59
12,2.20,147.83,86.89,492.00,east,6.53,97.32
13,2.40,153.43,82.13,484.00,east,7.35,103.96
14,2.60,159.05,76.95,432.00,east,7.64,110.83
15,2.80,163.86,69.59,404.00,east,8.79,117.77
16,3.00,167.95,61.85,372.00,e ext,8.75,124.43
17,3.20,170.52,53.10,356.00,e ext,9.12,130.41
18,3.40,173.08,42.89,308.00,e ext,10.53,137.44
19,3.60,172.78,33.66,272.00,e ext,9.23,141.95
20,3.80,169.73,26.98,244.00,e ext,7.34,143.10
21,4.00,165.45,25.31,256.00,e ext,4.60,140.58
22,4.20,161.94,22.29,300.00,e ext,4.63,139.60
23,4.40,156.45,19.50,344.00,e ext,6.16,137.10
24,4.60,150.37,17.98,288.00,e ext,6.27,133.55
25,4.80,144.32,18.14,348.00,s ext,6.05,129.04
26,5.00,136.92,18.53,296.00,s ext,7.40,123.56
27,5.20,129.48,19.26,348.00,s ext,7.48,117.99
28,5.40,122.64,21.01,352.00,s ext,7.06,112.23
29,5.60,115.02,24.02,408.00,south,8.20,105.14
30,5.80,105.89,28.09,456.00,south,9.99,96.52
31,6.00,98.80,32.19,512.00,south,8.20,89.16
32,6.20,92.38,36.69,568.00,south,7.84,81.90
33,6.40,86.67,42.54,548.00,south,8.18,73.95
34,6.60,80.97,49.71,584.00,south,9.16,64.89
35,6.80,75.24,56.65,540.00,south,9.00,56.06
36,7.00,69.49,64.25,520.00,south,9.53,46.69
37,7.20,64.44,71.97,508.00,west,9.22,37.57
38,7.40,60.85,80.73,508.00,west,9.46,28.11
39,7.60,58.70,89.69,504.00,west,9.22,19.13
40,7.80,57.24,99.47,488.00,west,9.89,10.13
41,8.00,56.43,109.27,500.00,west,9.83,3.25
42,8.20,56.28,118.29,480.00,west,9.02,3.82
43,8.40,57.51,127.92,504.00,west,9.71,11.08
44,8.60,58.71,136.01,452.00,west,8.18,18.31
45,8.80,60.61,144.02,512.00,west,8.23,26.26
46,9.00,62.48,152.09,496.00,north,8.28,34.38
47,9.20,64.36,160.29,408.00,north,8.41,42.69
48,9.40,67.83,166.82,396.00,north,7.40,50.04
49,9.60,71.37,173.57,332.00,north,7.63,57.63
50,9.80,77.39,178.69,312.00,north,7.90,64.78
51,10.00,84.38,182.56,324.00,north,7.99,71.46
52,10.20,92.36,185.31,352.00,north,8.44,77.99
53,10.40,101.33,187.97,316.00,n ext,9.36,85.38
