Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00017.trk
Object,0
Samples,450
rat,90,
trial,1,
date,2007-12-14 11:08:19.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,84.11,8.80,116.00,280.00,s ext,103.57
2,0.20,85.80,12.91,180.00,152.00,s ext,100.31
3,0.40,83.16,4.76,88.00,196.00,s ext,107.09
4,0.60,83.85,2.98,120.00,88.00,s ext,108.99
5,0.80,86.46,10.24,272.00,208.00,s ext,103.04
6,1.00,86.46,10.24,320.00,160.00,s ext,103.04
7,1.20,88.93,16.25,184.00,232.00,s ext,98.43
8,1.40,88.12,14.28,376.00,248.00,s ext,99.92
9,1.60,88.12,14.28,424.00,264.00,s ext,99.92
10,1.80,86.59,14.00,464.00,248.00,s ext,99.60
11,2.00,86.56,13.06,424.00,208.00,s ext,100.45
12,2.20,85.76,11.97,416.00,296.00,s ext,101.17
13,2.40,86.56,13.06,480.00,272.00,s ext,100.45
14,2.60,86.59,14.00,492.00,204.00,s ext,99.60
15,2.80,85.80,12.91,492.00,288.00,s ext,100.31
16,3.00,84.22,11.65,528.00,316.00,s ext,100.93
17,3.20,82.59,9.40,516.00,476.00,s ext,102.51
18,3.40,76.93,5.02,364.00,480.00,s ext,105.03
19,3.60,72.16,4.49,368.00,380.00,s ext,104.39
20,3.80,67.32,3.76,400.00,352.00,s ext,104.14
21,4.00,61.71,4.54,376.00,424.00,s ext,102.45
22,4.20,56.79,4.46,364.00,356.00,s ext,101.96
23,4.40,51.90,5.27,364.00,352.00,s ext,100.82
24,4.60,47.06,7.02,388.00,408.00,s ext,98.97
25,4.80,41.28,8.27,364.00,408.00,s ext,97.84
26,5.00,36.44,10.95,368.00,404.00,s ext,95.49
27,5.20,30.64,13.20,352.00,400.00,s ext,93.99
28,5.40,26.75,17.45,384.00,448.00,s ext,90.52
29,5.60,22.03,22.43,384.00,448.00,w ext,86.73
30,5.80,19.02,27.28,372.00,404.00,w ext,82.88
31,6.00,15.06,31.83,400.00,412.00,w ext,79.87
32,6.20,11.30,38.74,396.00,420.00,w ext,74.99
33,6.40,10.10,44.65,392.00,356.00,w ext,70.27
34,6.60,8.15,52.48,404.00,436.00,w ext,64.54
35,6.80,6.06,59.33,388.00,392.00,w ext,60.15
36,7.00,3.28,69.41,360.00,444.00,w ext,54.22
37,7.20,2.11,77.84,352.00,408.00,w ext,49.43
38,7.40,1.74,85.35,356.00,372.00,w ext,45.46
39,7.60,1.37,93.95,344.00,372.00,w ext,41.60
40,7.80,1.82,102.56,360.00,384.00,w ext,38.40
41,8.00,2.23,112.15,376.00,448.00,w ext,36.65
42,8.20,3.38,120.50,364.00,436.00,w ext,35.93
43,8.40,4.42,128.72,352.00,412.00,w ext,36.77
44,8.60,6.22,137.63,320.00,368.00,w ext,38.98
45,8.80,7.88,146.33,340.00,388.00,w ext,42.61
46,9.00,10.27,153.56,352.00,388.00,w ext,45.90
47,9.20,12.51,161.58,344.00,368.00,w ext,50.82
48,9.40,16.32,166.72,332.00,436.00,w ext,53.17
49,9.60,20.03,171.67,356.00,416.00,w ext,55.83
50,9.80,24.44,176.10,316.00,408.00,w ext,58.30
51,10.00,28.76,180.42,308.00,392.00,w ext,61.23
52,10.20,32.91,186.57,276.00,384.00,w ext,66.43
53,10.40,37.21,189.93,188.00,312.00,w ext,69.23
54,10.60,43.00,193.62,184.00,268.00,n ext,72.48
55,10.80,48.23,195.07,192.00,264.00,n ext,73.96
56,11.00,54.27,196.51,180.00,276.00,n ext,75.85
57,11.20,59.64,197.59,220.00,272.00,n ext,77.61
58,11.40,65.10,198.06,140.00,304.00,n ext,79.12
59,11.60,69.05,198.19,92.00,200.00,n ext,80.23
60,11.80,71.42,198.72,92.00,128.00,n ext,81.42
61,12.00,77.03,198.97,84.00,160.00,n ext,83.37
62,12.20,-,-,-,-,-,-
63,12.40,100.12,200.59,60.00,-,n ext,95.03
64,12.60,100.12,200.59,212.00,160.00,n ext,95.03
65,12.80,107.67,200.06,304.00,308.00,n ext,98.86
66,13.00,116.96,199.56,280.00,400.00,n ext,104.12
67,13.20,125.47,199.44,288.00,424.00,n ext,109.59
68,13.40,135.76,199.57,300.00,404.00,n ext,116.88
69,13.60,145.27,199.90,284.00,400.00,n ext,124.12
70,13.80,154.89,200.68,296.00,396.00,n ext,132.00
71,14.00,164.83,202.92,280.00,440.00,n ext,141.23
72,14.20,172.22,204.99,164.00,324.00,n ext,148.41
73,14.40,182.64,203.73,76.00,240.00,n ext,156.29
74,14.60,185.54,200.15,80.00,132.00,e ext,156.79
75,14.80,186.64,196.56,168.00,168.00,e ext,155.84
76,15.00,188.74,193.48,300.00,260.00,e ext,156.08
77,15.20,190.38,187.99,312.00,364.00,e ext,154.87
78,15.40,192.33,179.36,300.00,436.00,e ext,152.81
79,15.60,194.27,170.57,316.00,416.00,e ext,151.18
80,15.80,196.75,159.58,336.00,404.00,e ext,149.93
81,16.00,197.35,147.62,344.00,392.00,e ext,147.47
82,16.20,198.02,135.48,324.00,404.00,e ext,145.87
83,16.40,197.84,122.97,332.00,424.00,e ext,144.38
84,16.60,197.78,110.35,340.00,440.00,e ext,144.02
85,16.80,196.24,98.76,312.00,428.00,e ext,143.12
86,17.00,193.16,87.43,308.00,436.00,e ext,141.61
87,17.20,188.69,76.72,296.00,428.00,e ext,139.42
88,17.40,185.40,67.42,352.00,368.00,e ext,138.83
89,17.60,180.02,59.18,408.00,440.00,e ext,136.61
90,17.80,173.52,53.02,360.00,440.00,e ext,133.14
91,18.00,166.66,48.60,368.00,448.00,e ext,129.05
92,18.20,158.73,47.82,396.00,500.00,e ext,122.54
93,18.40,149.65,50.11,416.00,524.00,east,113.61
94,18.60,141.40,52.56,508.00,572.00,east,105.34
95,18.80,133.90,58.39,572.00,640.00,east,95.88
96,19.00,127.77,64.88,612.00,664.00,east,87.23
97,19.20,123.69,72.86,624.00,780.00,east,79.71
98,19.40,120.98,81.81,652.00,756.00,east,73.40
99,19.60,118.98,90.45,712.00,684.00,east,68.55
100,19.80,118.40,100.34,688.00,784.00,east,65.74
101,20.00,117.86,109.49,668.00,732.00,east,64.16
