Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00007.trk
Object,0
Samples,120
rat,104,
trial,3,
date,2007-12-15 11:40:31.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,191.11,162.83,216.00,e ext,-,145.56
2,0.20,186.05,163.98,272.00,e ext,5.19,141.17
3,0.40,178.61,166.05,284.00,e ext,7.72,134.96
4,0.60,172.89,167.63,308.00,e ext,5.94,130.28
5,0.80,165.25,167.38,328.00,east,7.64,123.21
6,1.00,155.72,164.59,364.00,north,9.93,113.39
7,1.20,148.02,161.82,380.00,north,8.18,105.25
8,1.40,140.50,159.36,452.00,north,7.92,97.42
9,1.60,131.38,155.09,448.00,north,10.06,87.36
10,1.80,123.39,152.38,460.00,north,8.44,79.00
11,2.00,117.85,149.71,416.00,north,6.15,72.86
12,2.20,113.11,145.88,388.00,north,6.09,66.90
13,2.40,108.45,140.81,408.00,north,6.89,60.50
14,2.60,104.64,135.36,488.00,north,6.65,54.89
15,2.80,100.94,129.42,520.00,north,7.00,49.49
16,3.00,97.33,123.68,540.00,north,6.78,44.66
17,3.20,93.79,117.40,556.00,north,7.21,40.19
18,3.40,90.32,109.84,552.00,west,8.31,36.64
19,3.60,89.00,102.34,572.00,west,7.61,36.50
20,3.80,87.66,94.80,580.00,west,7.66,37.67
21,4.00,88.41,88.64,548.00,south,6.21,41.26
22,4.20,89.14,82.41,552.00,south,6.27,45.29
23,4.40,89.86,76.81,560.00,south,5.64,49.25
24,4.60,89.86,71.09,580.00,south,5.72,53.08
25,4.80,89.12,64.46,556.00,south,6.67,57.39
26,5.00,86.93,59.02,560.00,south,5.86,60.30
27,5.20,84.01,55.63,556.00,south,4.48,61.46
28,5.40,81.79,53.78,544.00,south,2.89,61.80
29,5.60,79.57,52.65,564.00,south,2.49,61.64
30,5.80,75.90,53.62,564.00,south,3.79,59.06
31,6.00,72.28,56.92,492.00,south,4.90,54.51
32,6.20,68.68,61.77,528.00,south,6.05,48.61
33,6.40,65.10,68.19,520.00,south,7.35,41.30
34,6.60,60.74,75.31,500.00,west,8.34,33.09
35,6.80,57.08,81.06,492.00,west,6.82,26.46
36,7.00,53.37,86.93,476.00,west,6.94,19.84
37,7.20,49.61,92.16,496.00,west,6.44,14.00
38,7.40,45.81,97.58,496.00,west,6.62,8.43
39,7.60,41.97,103.21,528.00,west,6.82,3.60
40,7.80,38.08,107.41,504.00,west,5.73,2.98
