Track file,I:\Rat Navigation Data\exp nesté 1morris_0003\data\track_00044.trk
Object,0
Samples,88
rat,95,
trial,4,
date,2007-12-16 13:20:01.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,155.63,65.14,244.00,236.00,east,111.82,-
2,0.20,152.99,71.85,240.00,308.00,east,106.80,7.21
3,0.40,151.72,76.37,276.00,252.00,east,104.06,4.69
4,0.60,149.02,80.96,292.00,320.00,east,100.06,5.33
5,0.80,146.36,86.18,344.00,340.00,east,96.06,5.86
6,1.00,143.65,90.40,360.00,304.00,east,92.44,5.01
7,1.20,141.70,95.24,384.00,344.00,east,89.58,5.22
8,1.40,139.71,99.17,420.00,348.00,east,86.95,4.41
9,1.60,139.17,103.05,400.00,324.00,east,85.91,3.92
10,1.80,137.83,105.33,456.00,344.00,east,84.35,2.64
11,2.00,135.83,109.06,464.00,368.00,east,82.12,4.23
12,2.20,133.09,112.66,464.00,440.00,east,79.32,4.53
13,2.40,130.30,115.43,472.00,352.00,east,76.57,3.93
14,2.60,126.07,118.73,412.00,404.00,east,72.48,5.37
15,2.80,123.23,120.64,412.00,360.00,east,69.81,3.42
16,3.00,118.95,123.11,436.00,400.00,east,65.85,4.94
17,3.20,114.64,124.84,388.00,416.00,north,61.87,4.65
18,3.40,110.30,125.16,388.00,344.00,north,57.66,4.36
19,3.60,105.96,124.83,420.00,400.00,north,53.34,4.35
20,3.80,100.91,123.14,448.00,372.00,north,48.06,5.32
21,4.00,95.19,121.54,444.00,420.00,north,42.13,5.94
22,4.20,90.21,120.06,484.00,432.00,north,36.97,5.20
23,4.40,85.95,118.66,464.00,404.00,west,32.55,4.48
24,4.60,80.26,117.31,420.00,460.00,west,26.73,5.84
25,4.80,76.69,116.67,428.00,360.00,west,23.11,3.62
26,5.00,73.11,116.05,480.00,372.00,west,19.48,3.63
27,5.20,69.52,115.44,444.00,332.00,west,15.84,3.65
28,5.40,66.63,114.82,444.00,352.00,west,12.91,2.95
29,5.60,64.44,114.90,472.00,396.00,west,10.74,2.19
30,5.80,62.98,114.96,440.00,304.00,west,9.29,1.46
31,6.00,61.51,115.02,424.00,376.00,west,7.84,1.47
32,6.20,61.49,115.76,428.00,204.00,west,7.96,0.73
33,6.40,60.71,118.00,468.00,248.00,west,7.68,2.38
34,6.60,59.91,121.00,476.00,272.00,west,8.34,3.11
35,6.80,59.83,123.97,444.00,288.00,west,9.86,2.96
36,7.00,59.77,126.19,452.00,248.00,west,11.24,2.23
37,7.20,59.70,128.42,452.00,296.00,west,12.80,2.23
38,7.40,59.63,130.66,444.00,224.00,west,14.54,2.24
39,7.60,60.29,132.81,408.00,292.00,west,16.64,2.25
40,7.80,60.95,134.96,472.00,304.00,west,18.75,2.25
41,8.00,62.37,136.27,464.00,336.00,west,20.66,1.93
42,8.20,64.50,138.23,452.00,300.00,west,23.50,2.89
43,8.40,68.09,140.02,436.00,304.00,west,27.10,4.01
44,8.60,70.95,141.93,400.00,276.00,north,30.38,3.44
45,8.80,72.37,143.26,404.00,268.00,north,32.31,1.95
46,9.00,74.52,144.54,420.00,248.00,north,34.70,2.51
47,9.20,77.42,145.80,448.00,284.00,north,37.59,3.16
48,9.40,80.30,148.58,384.00,304.00,north,41.59,4.01
49,9.60,81.03,149.29,376.00,256.00,north,42.60,1.01
50,9.80,81.72,151.50,340.00,388.00,north,44.69,2.32
51,10.00,80.96,152.28,356.00,240.00,north,44.76,1.09
52,10.20,79.46,153.12,356.00,280.00,north,44.43,1.72
53,10.40,77.27,151.76,364.00,312.00,north,42.00,2.58
54,10.60,75.11,149.68,404.00,240.00,north,39.04,3.00
55,10.80,73.74,146.09,408.00,332.00,north,35.37,3.85
56,11.00,73.17,140.99,400.00,352.00,north,31.17,5.13
57,11.20,73.32,135.90,396.00,372.00,north,27.84,5.09
