Track file,I:\Rat Navigation Data\exp nesté 1morris_0002\data\track_00015.trk
Object,0
Samples,366
rat,103,
trial,3,
date,2007-12-15 11:57:50.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0.00,162.31,152.41,284.00,east,-,114.94
2,0.20,157.82,149.19,364.00,east,5.52,109.67
3,0.40,154.15,145.48,380.00,east,5.22,105.08
4,0.60,151.30,141.27,412.00,east,5.09,101.20
5,0.80,147.55,135.33,432.00,east,7.02,96.20
6,1.00,143.88,128.86,392.00,east,7.44,91.36
7,1.20,140.42,123.51,444.00,east,6.38,87.20
8,1.40,136.25,116.76,452.00,east,7.94,82.55
9,1.60,132.32,111.85,492.00,east,6.28,78.55
10,1.80,129.26,107.93,412.00,east,4.97,75.62
11,2.00,126.98,104.16,452.00,east,4.41,73.67
12,2.20,126.18,101.23,416.00,east,3.04,73.26
13,2.40,126.85,99.78,432.00,east,1.59,74.16
14,2.60,126.79,97.60,476.00,east,2.19,74.50
15,2.80,128.13,94.67,460.00,east,3.22,76.37
16,3.00,128.80,93.19,460.00,east,1.62,77.34
17,3.20,130.19,92.43,424.00,east,1.59,78.87
18,3.40,130.87,91.67,420.00,east,1.02,79.71
19,3.60,132.26,90.88,416.00,east,1.60,81.25
20,3.80,135.02,88.50,404.00,east,3.64,84.51
21,4.00,137.78,86.03,412.00,east,3.70,87.83
22,4.20,139.87,85.10,444.00,east,2.30,90.11
23,4.40,141.95,83.34,368.00,east,2.72,92.60
24,4.60,144.79,83.07,392.00,east,2.86,95.40
25,4.80,146.94,82.85,372.00,east,2.16,97.52
26,5.00,149.09,82.62,392.00,east,2.17,99.65
27,5.20,150.57,83.30,420.00,east,1.63,100.89
28,5.40,152.06,83.99,376.00,east,1.64,102.14
29,5.60,153.66,86.40,408.00,east,2.89,103.09
30,5.80,153.80,88.96,448.00,east,2.56,102.66
31,6.00,153.26,92.41,404.00,east,3.49,101.47
32,6.20,151.88,94.16,416.00,east,2.23,99.79
33,6.40,148.98,95.08,420.00,platform reversal,3.04,96.77
34,6.60,146.01,94.34,432.00,platform reversal,3.06,93.99
35,6.80,141.53,91.30,464.00,east,5.42,90.18
36,7.00,136.46,89.19,512.00,east,5.49,85.73
37,7.20,130.75,86.45,540.00,east,6.33,80.99
38,7.40,123.07,83.89,536.00,east,8.10,74.56
39,7.60,116.16,81.29,552.00,east,7.38,69.21
40,7.80,109.29,80.04,532.00,south,6.99,63.63
41,8.00,103.78,79.36,532.00,south,5.55,59.21
42,8.20,100.32,79.31,544.00,south,3.46,56.32
43,8.40,94.76,79.86,532.00,south,5.59,51.37
44,8.60,88.45,79.56,460.00,south,6.32,46.42
45,8.80,84.20,80.00,496.00,south,4.27,42.87
46,9.00,79.20,80.34,480.00,south,5.01,39.00
47,9.20,74.14,79.90,440.00,south,5.08,35.94
48,9.40,69.74,77.97,432.00,west,4.81,34.96
49,9.60,65.26,75.92,476.00,west,4.92,34.36
50,9.80,59.16,72.72,464.00,west,6.88,35.04
51,10.00,54.43,68.71,480.00,west,6.20,37.93
52,10.20,48.77,64.26,432.00,west,7.20,41.75
53,10.40,45.38,60.05,392.00,west,5.41,45.96
54,10.60,41.89,55.64,308.00,west,5.63,50.50
55,10.80,40.82,51.75,300.00,west,4.03,54.46
56,11.00,40.69,49.91,344.00,west,1.85,56.31
57,11.20,42.94,46.99,368.00,west,3.69,59.07
58,11.40,46.08,45.29,400.00,south,3.57,60.70
59,11.60,50.02,43.86,372.00,south,4.19,62.17
60,11.80,54.84,44.46,352.00,south,4.86,61.97
61,12.00,59.68,46.70,384.00,south,5.33,60.55
62,12.20,64.49,50.44,420.00,south,6.10,57.94
63,12.40,68.51,56.20,392.00,south,7.02,53.71
64,12.60,71.67,62.29,500.00,south,6.87,49.42
65,12.80,74.74,68.10,492.00,south,6.57,45.94
66,13.00,78.45,74.48,504.00,south,7.38,42.86
67,13.20,82.06,79.13,520.00,south,5.89,41.88
68,13.40,85.61,84.32,440.00,south,6.29,41.30
69,13.60,89.10,90.04,544.00,south,6.70,41.13
70,13.80,91.87,95.62,552.00,south,6.22,41.23
71,14.00,93.92,101.79,544.00,west,6.50,41.42
72,14.20,93.87,107.88,552.00,west,6.10,40.35
73,14.40,93.81,115.35,552.00,north,7.47,40.08
74,14.60,93.04,122.17,572.00,north,6.87,40.15
75,14.80,92.27,129.08,532.00,north,6.95,41.11
76,15.00,91.50,134.69,444.00,north,5.66,42.56
77,15.20,90.01,138.94,404.00,north,4.51,43.33
78,15.40,87.75,143.99,440.00,north,5.53,44.22
79,15.60,84.72,149.91,424.00,north,6.66,45.67
80,15.80,81.64,156.04,424.00,north,6.86,48.07
81,16.00,80.04,160.74,400.00,north,4.96,50.82
82,16.20,79.16,167.10,384.00,north,6.42,55.51
83,16.40,79.02,174.40,364.00,north,7.31,61.72
84,16.60,78.93,179.41,328.00,north,5.01,66.11
85,16.80,78.03,186.34,240.00,n ext,6.98,71.99
86,17.00,76.40,189.11,240.00,n ext,3.21,73.92
87,17.20,71.61,191.46,200.00,n ext,5.34,74.53
88,17.40,67.73,190.34,164.00,n ext,4.04,72.33
89,17.60,63.14,188.67,248.00,n ext,4.89,69.53
90,17.80,58.63,186.32,312.00,n ext,5.08,66.33
91,18.00,54.28,182.41,268.00,n ext,5.85,61.84
92,18.20,50.83,176.69,308.00,n ext,6.68,55.79
93,18.40,48.26,169.14,320.00,west,7.98,48.05
94,18.60,47.92,161.82,312.00,west,7.32,40.73
95,18.80,48.29,154.41,332.00,west,7.42,33.37
96,19.00,50.21,145.20,356.00,west,9.41,24.41
97,19.20,52.74,137.70,336.00,west,7.91,17.61
98,19.40,55.24,129.69,308.00,west,8.39,11.12
99,19.60,57.69,121.18,324.00,west,8.86,6.58
100,19.80,60.05,114.35,296.00,west,7.22,6.32
101,20.00,62.37,107.68,340.00,west,7.06,9.38
102,20.20,64.64,100.39,448.00,west,7.64,14.93
103,20.40,66.88,92.46,412.00,west,8.24,21.72
104,20.60,68.33,85.23,456.00,west,7.37,28.16
105,20.80,67.52,77.71,412.00,west,7.56,33.94
106,21.00,65.90,70.64,388.00,south,7.25,39.38
107,21.20,64.94,62.67,444.00,south,8.04,46.40
108,21.40,63.89,54.41,468.00,south,8.33,53.95
109,21.60,63.57,46.88,412.00,south,7.53,61.16
110,21.80,66.37,40.85,404.00,south,6.64,67.68
111,22.00,70.09,38.42,440.00,south,4.45,71.04
112,22.20,75.43,38.85,456.00,south,5.35,72.38
113,22.40,79.99,40.63,464.00,south,4.89,72.54
114,22.60,84.54,45.47,464.00,south,6.65,70.35
115,22.80,87.56,51.41,496.00,south,6.66,66.94
116,23.00,88.36,58.41,476.00,south,7.05,61.64
117,23.20,89.13,65.94,516.00,south,7.57,56.29
118,23.40,89.15,73.92,472.00,south,7.98,50.62
119,23.60,87.73,82.34,496.00,south,8.54,44.18
120,23.80,86.29,89.93,544.00,south,7.73,38.77
121,24.00,85.51,98.84,532.00,west,8.95,34.14
122,24.20,84.02,104.96,552.00,west,6.30,31.09
123,24.40,81.07,111.79,492.00,west,7.43,27.31
124,24.60,75.98,116.68,436.00,west,7.06,22.40
125,24.80,70.89,118.94,468.00,west,5.57,17.81
126,25.00,62.83,121.53,444.00,west,8.47,11.06
127,25.20,56.87,124.24,444.00,west,6.54,7.80
128,25.40,50.10,127.29,404.00,west,7.43,6.93
129,25.60,46.24,130.97,364.00,west,5.34,9.84
130,25.80,44.60,135.24,312.00,west,4.57,14.08
131,26.00,45.16,140.73,332.00,west,5.52,19.56
132,26.20,47.26,144.26,344.00,west,4.11,23.17
133,26.40,50.10,147.59,320.00,west,4.37,26.77
134,26.60,55.17,150.41,356.00,west,5.79,30.48
135,26.80,60.92,153.91,436.00,north,6.74,35.52
136,27.00,66.70,157.55,396.00,north,6.82,41.09
137,27.20,72.52,161.41,380.00,north,6.98,47.21
