Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0002\data\track_00067.trk
Object,0
Samples,450
treatment,1,
cage,43,
mark,1,
id,75,
trial,7,
date,2009-07-27 11:59:49.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,215.23,222.29,396.00,548.00,n ext,190.26,-
2,0.20,216.35,223.49,460.00,176.00,n ext,191.87,1.64
3,0.40,215.86,223.02,560.00,316.00,n ext,191.20,0.68
4,0.60,217.60,224.89,580.00,340.00,n ext,193.71,2.55
5,0.80,217.63,225.02,524.00,440.00,n ext,193.81,0.13
6,1.00,214.76,222.33,592.00,372.00,n ext,189.90,3.94
7,1.20,213.89,221.85,648.00,352.00,n ext,188.92,0.99
8,1.40,210.97,219.77,620.00,340.00,n ext,185.33,3.59
9,1.60,203.99,214.80,664.00,460.00,n ext,176.77,8.56
10,1.80,199.32,212.06,616.00,464.00,n ext,171.39,5.42
11,2.00,195.13,210.46,668.00,388.00,n ext,167.09,4.48
12,2.20,192.86,209.73,608.00,348.00,n ext,164.85,2.38
13,2.40,191.22,209.98,592.00,312.00,n ext,163.71,1.66
14,2.60,186.65,208.16,592.00,400.00,n ext,159.00,4.91
15,2.80,178.44,205.22,548.00,436.00,n ext,150.78,8.72
16,3.00,169.76,202.80,528.00,476.00,n ext,142.62,9.01
17,3.20,161.91,200.04,600.00,432.00,n ext,134.93,8.32
18,3.40,150.13,197.04,544.00,544.00,n ext,124.37,12.15
19,3.60,135.85,193.50,576.00,536.00,n ext,112.02,14.72
20,3.80,125.63,191.95,584.00,512.00,n ext,104.36,10.33
21,4.00,111.25,190.47,612.00,508.00,n ext,94.83,14.46
22,4.20,99.14,189.39,596.00,568.00,n ext,87.87,12.17
23,4.40,86.09,187.34,620.00,496.00,n ext,80.91,13.21
24,4.60,71.96,186.51,640.00,540.00,n ext,76.56,14.15
25,4.80,57.68,186.31,648.00,568.00,n ext,75.08,14.29
26,5.00,42.99,188.01,628.00,588.00,n ext,77.99,14.79
27,5.20,32.23,189.38,620.00,528.00,n ext,81.82,10.84
28,5.40,21.29,192.39,644.00,632.00,n ext,88.38,11.35
29,5.60,14.28,194.09,696.00,644.00,n ext,92.78,7.22
30,5.80,8.42,196.01,708.00,700.00,n ext,97.16,6.17
31,6.00,0.98,200.34,668.00,688.00,n ext,104.60,8.61
32,6.20,-3.27,202.61,620.00,568.00,n ext,108.76,4.81
