Track file,C:\Users\tiago\rat_navigation\data\ethovision\exp nestle 3_0003\data\track_00060.trk
Object,0
Samples,168
treatment,4,
cage,38,
mark,1,
id,58,
trial,12,
date,2009-07-28 11:26:31.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,208.68,-12.48,436.00,548.00,e ext,181.28,-
2,0.20,206.10,-8.55,492.00,480.00,e ext,176.86,4.70
3,0.40,202.02,-0.78,452.00,432.00,e ext,169.01,8.77
4,0.60,197.42,6.94,592.00,284.00,e ext,160.84,8.98
5,0.80,191.17,17.13,556.00,372.00,e ext,150.05,11.96
6,1.00,184.57,28.68,604.00,376.00,east,138.48,13.30
7,1.20,181.12,34.54,648.00,324.00,east,132.62,6.80
8,1.40,174.68,44.51,620.00,412.00,east,122.38,11.87
9,1.60,170.96,50.21,668.00,296.00,east,116.62,6.81
10,1.80,166.07,57.47,704.00,372.00,east,109.32,8.76
11,2.00,162.07,62.79,716.00,308.00,east,103.67,6.65
12,2.20,158.77,66.38,668.00,392.00,east,99.33,4.88
13,2.40,156.35,69.53,772.00,224.00,east,96.01,3.97
14,2.60,151.43,74.33,828.00,480.00,east,89.87,6.87
15,2.80,148.18,76.21,776.00,420.00,east,86.22,3.75
16,3.00,144.30,78.11,812.00,404.00,east,81.97,4.32
17,3.20,140.51,79.86,852.00,536.00,east,77.85,4.18
18,3.40,136.02,79.82,900.00,600.00,east,73.54,4.49
19,3.60,131.84,78.97,824.00,596.00,east,69.78,4.27
20,3.80,128.31,78.09,900.00,468.00,south,66.70,3.64
21,4.00,125.83,77.82,896.00,388.00,south,64.46,2.49
22,4.20,122.19,77.02,888.00,504.00,south,61.35,3.73
23,4.40,119.16,76.08,936.00,472.00,south,58.86,3.17
24,4.60,115.51,74.49,928.00,536.00,south,56.09,3.98
25,4.80,111.84,72.10,896.00,632.00,south,53.82,4.38
26,5.00,107.99,68.88,896.00,568.00,south,52.09,5.02
27,5.20,104.15,67.57,884.00,452.00,south,49.64,4.06
28,5.40,101.05,65.39,812.00,424.00,south,48.53,3.78
29,5.60,97.72,63.07,840.00,500.00,south,47.43,4.07
30,5.80,93.15,61.16,796.00,492.00,south,45.46,4.96
31,6.00,87.26,58.03,780.00,616.00,south,44.15,6.66
32,6.20,84.00,55.20,784.00,500.00,south,44.78,4.32
33,6.40,80.24,50.72,816.00,528.00,south,46.90,5.85
34,6.60,78.57,47.41,804.00,492.00,south,49.27,3.71
35,6.80,78.01,44.33,784.00,492.00,south,51.94,3.12
36,7.00,78.74,41.50,788.00,444.00,south,54.86,2.93
37,7.20,-,-,-,-,-,-,-
38,7.40,83.58,39.33,732.00,732.00,south,58.66,-
39,7.60,90.13,41.06,700.00,432.00,south,60.06,6.78
40,7.80,96.36,43.19,712.00,412.00,south,61.53,6.58
41,8.00,101.92,46.57,756.00,460.00,south,62.19,6.51
42,8.20,107.12,48.81,776.00,484.00,south,64.05,5.66
43,8.40,110.83,50.87,820.00,372.00,south,65.34,4.25
44,8.60,115.99,53.28,772.00,552.00,south,67.76,5.69
45,8.80,118.36,54.38,732.00,344.00,south,68.92,2.61
46,9.00,120.88,56.86,732.00,496.00,south,69.48,3.54
47,9.20,120.50,59.92,732.00,368.00,south,67.45,3.09
48,9.40,120.37,64.36,744.00,508.00,south,65.03,4.44
49,9.60,118.68,69.04,776.00,480.00,south,61.31,4.97
50,9.80,117.20,73.55,816.00,488.00,south,58.02,4.75
51,10.00,114.83,79.41,872.00,536.00,south,53.61,6.32
52,10.20,112.33,84.30,856.00,560.00,south,49.57,5.50
53,10.40,110.75,88.92,852.00,564.00,south,46.78,4.88
54,10.60,108.59,94.56,932.00,672.00,south,43.62,6.04
55,10.80,107.34,99.39,920.00,692.00,east,42.02,4.99
56,11.00,106.79,104.17,928.00,656.00,east,41.43,4.82
57,11.20,106.38,108.31,972.00,660.00,north,41.41,4.16
58,11.40,106.62,112.53,956.00,552.00,north,42.33,4.23
59,11.60,106.98,116.18,960.00,452.00,north,43.56,3.67
60,11.80,106.80,118.54,868.00,532.00,north,44.10,2.36
61,12.00,108.67,121.95,884.00,656.00,north,46.94,3.89
62,12.20,110.03,124.08,980.00,448.00,north,48.97,2.53
63,12.40,113.76,127.53,964.00,600.00,north,53.73,5.08
64,12.60,118.58,130.95,980.00,512.00,north,59.53,5.92
65,12.80,122.85,133.84,928.00,556.00,north,64.62,5.15
66,13.00,127.05,135.71,856.00,528.00,north,69.22,4.60
67,13.20,131.99,137.60,884.00,684.00,north,74.49,5.29
68,13.40,135.62,137.82,896.00,652.00,north,77.89,3.63
69,13.60,136.99,135.52,800.00,592.00,east,78.24,2.68
70,13.80,136.33,130.54,852.00,604.00,east,75.88,5.02
71,14.00,133.22,121.09,840.00,732.00,east,70.17,9.94
72,14.20,130.59,113.93,872.00,632.00,east,66.17,7.63
73,14.40,126.67,105.83,868.00,804.00,east,61.37,9.00
74,14.60,122.17,99.07,952.00,780.00,east,56.85,8.12
75,14.80,117.37,93.75,960.00,920.00,east,52.43,7.17
76,15.00,112.14,88.28,1012.00,972.00,south,48.28,7.56
77,15.20,106.51,83.67,912.00,1020.00,south,44.33,7.28
78,15.40,100.98,78.87,936.00,904.00,south,41.07,7.32
79,15.60,95.42,73.06,920.00,856.00,south,39.35,8.05
80,15.80,88.77,66.56,912.00,864.00,south,38.53,9.29
81,16.00,83.74,60.65,840.00,744.00,south,40.01,7.76
82,16.20,79.94,54.83,796.00,580.00,south,43.09,6.94
