Track file,C:\Users\tiago\rat_navigation\data\ethovision\exp nestle 3_0003\data\track_00124.trk
Object,0
Samples,347
treatment,4,
cage,50,
mark,1,
id,72,
trial,12,
date,2009-07-29 15:13:43.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,207.16,-9.59,428.00,428.00,e ext,178.33,-
2,0.20,206.72,-7.68,504.00,260.00,e ext,176.85,1.96
3,0.40,207.33,-6.66,464.00,400.00,e ext,176.74,1.19
4,0.60,205.51,-1.32,468.00,348.00,e ext,172.17,5.64
5,0.80,204.99,2.25,476.00,264.00,e ext,169.74,3.61
6,1.00,200.56,10.59,484.00,416.00,e ext,161.48,9.44
7,1.20,194.56,21.46,548.00,352.00,e ext,150.73,12.42
8,1.40,189.10,30.54,568.00,404.00,e ext,141.55,10.59
9,1.60,181.57,41.92,640.00,408.00,east,129.71,13.65
10,1.80,174.57,51.00,640.00,464.00,east,119.63,11.46
11,2.00,170.48,58.22,660.00,332.00,east,113.16,8.30
12,2.20,165.47,66.79,624.00,508.00,east,105.53,9.93
13,2.40,163.67,72.76,696.00,432.00,east,102.07,6.23
14,2.60,162.21,81.45,724.00,524.00,east,98.66,8.82
15,2.80,161.79,87.24,760.00,460.00,east,97.32,5.80
16,3.00,162.62,97.65,796.00,604.00,east,97.32,10.44
17,3.20,164.39,105.59,800.00,516.00,east,99.04,8.13
18,3.40,168.29,116.24,808.00,608.00,east,103.83,11.34
19,3.60,173.78,126.89,708.00,588.00,east,111.00,11.98
20,3.80,179.85,137.13,680.00,572.00,e ext,119.38,11.91
21,4.00,185.98,144.96,592.00,464.00,e ext,127.56,9.94
22,4.20,188.88,147.31,532.00,364.00,e ext,131.04,3.73
23,4.40,192.36,141.40,256.00,564.00,e ext,132.58,6.86
24,4.60,189.04,135.29,488.00,528.00,e ext,127.77,6.96
25,4.80,189.29,125.91,472.00,472.00,e ext,126.04,9.38
26,5.00,189.11,113.61,496.00,400.00,e ext,124.22,12.30
27,5.20,189.85,98.93,520.00,408.00,e ext,124.49,14.70
28,5.40,190.11,88.06,588.00,372.00,e ext,125.37,10.87
29,5.60,192.19,70.71,520.00,436.00,e ext,130.22,17.47
30,5.80,192.40,62.19,520.00,336.00,e ext,132.60,8.52
31,6.00,194.23,49.58,452.00,428.00,e ext,138.43,12.74
32,6.20,193.81,45.88,484.00,320.00,e ext,139.38,3.72
33,6.40,193.18,38.95,564.00,488.00,e ext,141.50,6.96
34,6.60,191.18,36.67,572.00,408.00,e ext,140.64,3.04
35,6.80,185.80,38.14,508.00,528.00,e ext,135.15,5.58
36,7.00,180.83,43.71,608.00,372.00,east,128.29,7.46
37,7.20,173.92,52.66,616.00,496.00,east,118.40,11.30
38,7.40,168.57,61.68,612.00,468.00,east,110.15,10.49
39,7.60,164.10,71.28,620.00,472.00,east,102.88,10.59
40,7.80,160.70,81.56,668.00,480.00,east,97.15,10.83
41,8.00,159.53,87.20,644.00,336.00,east,95.09,5.75
42,8.20,157.67,94.01,648.00,444.00,east,92.55,7.06
43,8.40,157.67,100.86,708.00,420.00,east,92.28,6.85
44,8.60,158.78,109.33,768.00,484.00,east,93.64,8.55
45,8.80,161.27,118.43,764.00,532.00,east,97.18,9.43
46,9.00,164.42,127.99,756.00,568.00,east,102.12,10.07
47,9.20,169.77,137.95,848.00,612.00,east,109.98,11.30
48,9.40,175.88,148.89,776.00,616.00,east,119.33,12.53
49,9.60,184.82,162.79,692.00,620.00,e ext,133.02,16.53
50,9.80,193.25,175.66,656.00,508.00,e ext,146.36,15.39
51,10.00,197.80,182.60,536.00,264.00,e ext,153.70,8.30
52,10.20,198.49,184.35,476.00,316.00,e ext,155.17,1.88
53,10.40,199.19,186.09,472.00,228.00,e ext,156.66,1.88
54,10.60,195.61,180.22,296.00,288.00,e ext,150.62,6.88
55,10.80,201.40,191.29,456.00,312.00,e ext,161.25,12.50
56,11.00,200.64,192.08,228.00,380.00,e ext,161.03,1.09
57,11.20,203.55,199.01,388.00,392.00,e ext,167.24,7.52
58,11.40,198.38,191.73,220.00,328.00,e ext,158.93,8.93
59,11.60,200.47,196.67,204.00,288.00,e ext,163.39,5.37
60,11.80,219.24,223.34,120.00,324.00,e ext,194.10,32.61
61,12.00,217.89,221.67,196.00,92.00,e ext,192.03,2.14
62,12.20,215.79,218.36,108.00,144.00,e ext,188.39,3.92
63,12.40,215.51,218.39,104.00,52.00,e ext,188.18,0.29
64,12.60,214.65,218.34,192.00,232.00,e ext,187.45,0.86
65,12.80,215.70,219.91,276.00,156.00,e ext,189.23,1.89
66,13.00,214.36,218.28,368.00,148.00,e ext,187.18,2.11
67,13.20,220.63,226.43,144.00,328.00,e ext,197.06,10.28
68,13.40,217.61,221.66,136.00,200.00,e ext,191.80,5.64
69,13.60,210.97,213.60,252.00,292.00,e ext,181.69,10.44
70,13.80,205.53,204.20,212.00,448.00,e ext,171.80,10.86
71,14.00,200.98,198.38,392.00,412.00,e ext,164.76,7.39
72,14.20,197.29,192.45,420.00,300.00,e ext,158.41,6.98
73,14.40,194.56,188.12,472.00,204.00,e ext,153.78,5.11
74,14.60,189.44,179.69,468.00,460.00,e ext,145.01,9.87
75,14.80,186.61,175.93,488.00,340.00,e ext,140.68,4.70
76,15.00,181.78,170.17,592.00,296.00,east,133.65,7.52
77,15.20,177.68,166.09,692.00,316.00,east,128.11,5.78
78,15.40,173.22,162.54,676.00,432.00,east,122.51,5.70
79,15.60,170.33,161.24,648.00,412.00,east,119.34,3.17
80,15.80,166.95,160.13,700.00,436.00,east,115.84,3.55
81,16.00,166.05,161.74,712.00,444.00,east,115.81,1.85
82,16.20,165.68,164.15,700.00,516.00,east,116.67,2.44
83,16.40,166.95,168.22,704.00,484.00,east,119.83,4.26
84,16.60,171.26,175.04,636.00,492.00,north,127.10,8.06
85,16.80,176.54,181.96,776.00,492.00,north,135.32,8.71
86,17.00,183.65,190.23,680.00,504.00,north,145.87,10.90
87,17.20,193.76,201.20,648.00,528.00,n ext,160.48,14.92
88,17.40,205.61,213.25,616.00,488.00,n ext,177.15,16.90
89,17.60,216.46,223.96,568.00,400.00,n ext,192.25,15.25
90,17.80,219.30,226.76,548.00,132.00,n ext,196.19,3.98
91,18.00,229.95,237.12,220.00,400.00,n ext,210.94,14.86
92,18.20,228.09,235.33,156.00,64.00,n ext,208.38,2.58
93,18.40,211.54,219.00,136.00,292.00,n ext,185.33,23.26
94,18.60,229.30,236.48,188.00,324.00,n ext,210.04,24.92
95,18.80,228.63,235.83,168.00,100.00,n ext,209.11,0.93
96,19.00,227.94,235.19,168.00,112.00,n ext,208.17,0.94
97,19.20,223.02,230.61,100.00,116.00,n ext,201.48,6.73
98,19.40,218.56,226.67,196.00,208.00,n ext,195.55,5.95
99,19.60,215.64,223.98,388.00,288.00,n ext,191.60,3.97
100,19.80,214.06,222.88,524.00,272.00,n ext,189.68,1.92
101,20.00,212.39,221.81,528.00,332.00,n ext,187.70,1.99
102,20.20,210.61,220.77,544.00,352.00,n ext,185.65,2.06
103,20.40,204.79,217.33,512.00,504.00,n ext,178.93,6.76
104,20.60,194.81,211.02,540.00,508.00,n ext,167.18,11.81
105,20.80,183.92,204.54,584.00,412.00,n ext,154.61,12.67
106,21.00,171.65,198.73,536.00,472.00,n ext,141.41,13.57
107,21.20,157.21,193.15,592.00,424.00,n ext,126.82,15.48
108,21.40,144.17,188.83,608.00,472.00,n ext,114.35,13.74
109,21.60,131.21,186.47,564.00,436.00,n ext,103.68,13.17
110,21.80,119.88,184.75,580.00,456.00,n ext,95.14,11.46
111,22.00,110.78,181.56,524.00,440.00,n ext,87.20,9.64
112,22.20,102.41,178.07,516.00,384.00,n ext,79.62,9.07
113,22.40,96.89,173.51,616.00,476.00,north,72.85,7.16
114,22.60,90.86,168.48,740.00,516.00,north,65.50,7.86
115,22.80,86.11,163.11,732.00,600.00,north,58.54,7.17
116,23.00,82.65,157.37,736.00,644.00,north,51.86,6.70
117,23.20,80.00,151.96,760.00,624.00,north,45.83,6.03
118,23.40,78.43,146.03,724.00,644.00,north,39.84,6.13
119,23.60,78.23,140.09,824.00,676.00,north,34.60,5.94
120,23.80,77.82,134.93,816.00,656.00,north,30.11,5.18
121,24.00,77.07,129.16,880.00,752.00,north,24.99,5.82
122,24.20,76.12,125.30,872.00,696.00,north,21.37,3.98
123,24.40,72.72,120.89,804.00,796.00,west,15.82,5.57
124,24.60,69.56,119.03,796.00,680.00,west,12.37,3.67
125,24.80,65.45,117.84,860.00,720.00,west,9.02,4.28
126,25.00,60.41,119.22,832.00,564.00,west,8.34,5.23
127,25.20,53.82,120.94,876.00,644.00,west,10.08,6.81
128,25.40,47.33,123.95,784.00,636.00,west,15.26,7.15
129,25.60,41.30,127.25,776.00,504.00,west,21.38,6.88
130,25.80,33.69,132.57,824.00,632.00,west,30.39,9.28
131,26.00,26.20,137.12,676.00,604.00,west,38.92,8.77
132,26.20,19.16,141.98,680.00,516.00,w ext,47.40,8.55
133,26.40,13.36,145.23,588.00,404.00,w ext,53.92,6.65
134,26.60,10.91,147.63,584.00,148.00,w ext,57.34,3.43
135,26.80,11.79,147.36,472.00,224.00,w ext,56.50,0.92
136,27.00,15.95,144.48,212.00,300.00,w ext,51.46,5.06
137,27.20,8.66,153.39,336.00,324.00,w ext,62.85,11.51
138,27.40,2.63,168.59,232.00,488.00,w ext,77.94,16.35
139,27.60,5.38,167.08,452.00,412.00,w ext,74.98,3.14
140,27.80,5.16,172.43,564.00,432.00,w ext,79.23,5.36
141,28.00,5.80,175.47,564.00,312.00,w ext,81.24,3.10
142,28.20,8.36,175.73,508.00,464.00,w ext,79.94,2.57
143,28.40,11.96,174.09,560.00,356.00,west,76.54,3.96
144,28.60,16.56,170.82,620.00,380.00,west,71.29,5.64
145,28.80,22.03,167.04,620.00,384.00,west,65.23,6.64
146,29.00,27.43,162.68,600.00,396.00,west,58.80,6.95
147,29.20,33.54,157.34,652.00,412.00,west,51.33,8.11
148,29.40,40.14,151.28,720.00,444.00,west,43.23,8.96
149,29.60,48.28,142.58,708.00,580.00,west,32.42,11.91
150,29.80,55.51,134.94,772.00,608.00,west,23.78,10.53
151,30.00,61.23,128.42,772.00,560.00,west,17.48,8.67
152,30.20,66.94,120.91,864.00,708.00,west,12.37,9.43
153,30.40,70.46,114.30,832.00,600.00,west,9.65,7.49
154,30.60,74.10,107.44,860.00,644.00,west,9.58,7.76
155,30.80,76.92,101.87,864.00,676.00,west,11.52,6.24
156,31.00,79.91,96.85,928.00,696.00,west,14.94,5.84
157,31.20,84.48,92.68,876.00,820.00,west,20.53,6.19
158,31.40,87.69,89.69,820.00,664.00,south,24.59,4.38
159,31.60,91.58,88.10,852.00,544.00,south,28.79,4.20
160,31.80,94.91,86.28,780.00,640.00,south,32.56,3.80
161,32.00,97.07,83.52,872.00,556.00,south,35.59,3.50
162,32.20,100.13,80.09,872.00,712.00,south,39.78,4.60
163,32.40,102.02,76.33,792.00,576.00,south,43.17,4.20
164,32.60,102.57,72.35,768.00,568.00,south,45.66,4.02
165,32.80,101.63,67.52,788.00,588.00,south,47.64,4.93
166,33.00,99.62,62.48,720.00,652.00,south,49.26,5.42
167,33.20,96.20,57.90,728.00,480.00,south,49.93,5.72
168,33.40,92.27,53.04,768.00,512.00,south,51.13,6.25
169,33.60,86.62,48.43,684.00,564.00,south,51.92,7.29
170,33.80,80.45,44.92,684.00,472.00,south,52.29,7.09
171,34.00,72.88,42.17,728.00,484.00,south,52.35,8.06
172,34.20,64.99,38.79,632.00,408.00,south,54.11,8.59
173,34.40,58.45,36.13,576.00,536.00,south,56.22,7.05
174,34.60,53.52,36.32,580.00,476.00,south,56.10,4.94
175,34.80,53.53,38.11,540.00,296.00,south,54.31,1.79
176,35.00,54.02,40.68,492.00,368.00,south,51.71,2.62
177,35.20,57.96,45.12,564.00,312.00,south,47.22,5.94
178,35.40,62.70,49.93,588.00,384.00,south,42.78,6.75
179,35.60,68.81,54.66,656.00,460.00,south,39.23,7.72
180,35.80,75.41,59.28,672.00,464.00,south,37.11,8.06
181,36.00,81.49,63.32,668.00,540.00,south,36.55,7.30
182,36.20,86.01,64.58,752.00,452.00,south,38.17,4.69
183,36.40,92.21,65.19,724.00,468.00,south,41.94,6.23
184,36.60,99.38,64.60,784.00,620.00,south,47.74,7.19
185,36.80,106.56,63.97,792.00,616.00,south,53.72,7.21
186,37.00,114.41,63.25,736.00,632.00,south,60.54,7.88
187,37.20,121.29,61.95,744.00,496.00,south,67.05,7.00
188,37.40,129.38,60.39,792.00,680.00,south,74.83,8.24
189,37.60,136.53,56.96,828.00,604.00,south,82.74,7.93
190,37.80,142.96,53.29,720.00,660.00,south,90.14,7.40
191,38.00,149.89,47.36,664.00,640.00,south,99.10,9.12
192,38.20,155.23,41.18,632.00,544.00,south,106.84,8.17
193,38.40,158.90,35.18,716.00,516.00,south,113.13,7.03
194,38.60,161.87,29.69,644.00,424.00,south,118.65,6.25
195,38.80,163.12,26.10,596.00,360.00,south,121.73,3.80
196,39.00,161.33,25.25,696.00,428.00,south,120.77,1.98
197,39.20,157.06,25.82,652.00,420.00,south,117.01,4.31
198,39.40,153.24,27.28,580.00,392.00,south,113.08,4.10
199,39.60,148.59,29.72,564.00,368.00,south,107.92,5.25
200,39.80,143.79,33.53,564.00,368.00,south,101.80,6.12
201,40.00,139.70,37.61,556.00,344.00,south,96.06,5.78
202,40.20,139.54,40.71,584.00,348.00,south,94.06,3.10
203,40.40,139.33,43.80,648.00,384.00,south,92.08,3.10
204,40.60,141.95,45.56,656.00,432.00,south,93.27,3.15
205,40.80,146.41,44.78,704.00,440.00,south,97.45,4.53
206,41.00,150.02,45.02,680.00,480.00,south,100.40,3.61
207,41.20,154.47,45.47,704.00,544.00,south,104.01,4.47
208,41.40,157.60,45.98,716.00,532.00,east,106.49,3.18
