Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0002\data\track_00158.trk
Object,0
Samples,342
treatment,4,
cage,54,
mark,2,
id,97,
trial,6,
date,2009-07-28 16:47:55.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,215.00,-25.30,920.00,600.00,s ext,194.15,-
2,0.20,213.57,-23.39,1060.00,244.00,s ext,191.83,2.39
3,0.40,206.49,-13.25,628.00,744.00,s ext,180.01,12.36
4,0.60,198.44,0.27,372.00,616.00,e ext,165.48,15.73
5,0.80,193.63,9.40,456.00,404.00,e ext,156.32,10.32
6,1.00,188.48,17.39,580.00,348.00,east,147.64,9.50
7,1.20,180.09,29.79,604.00,384.00,east,134.03,14.98
8,1.40,171.84,42.75,628.00,536.00,east,120.60,15.36
9,1.60,164.68,54.56,660.00,512.00,east,109.13,13.82
10,1.80,159.26,65.03,736.00,556.00,east,100.25,11.78
11,2.00,155.77,75.69,680.00,584.00,east,93.67,11.22
12,2.20,153.19,85.95,768.00,576.00,east,89.00,10.58
13,2.40,151.93,98.38,712.00,672.00,reveral larger,86.60,12.50
14,2.60,152.74,109.67,776.00,656.00,reveral larger,87.65,11.31
15,2.80,154.82,122.30,776.00,624.00,east,91.51,12.80
16,3.00,157.51,134.53,776.00,632.00,east,97.27,12.52
17,3.20,161.17,145.54,732.00,580.00,east,104.42,11.60
18,3.40,167.38,158.54,732.00,632.00,east,115.49,14.41
19,3.60,175.56,171.77,736.00,596.00,east,129.03,15.55
20,3.80,183.33,183.31,724.00,588.00,east,141.72,13.91
21,4.00,191.78,194.18,696.00,492.00,east,154.79,13.77
22,4.20,199.79,204.19,584.00,416.00,e ext,167.12,12.83
23,4.40,207.12,213.00,584.00,496.00,e ext,178.22,11.46
24,4.60,211.95,218.69,620.00,444.00,n ext,185.48,7.46
25,4.80,212.14,219.29,600.00,476.00,n ext,185.99,0.63
26,5.00,210.32,218.03,660.00,516.00,n ext,183.78,2.21
27,5.20,203.50,212.64,688.00,556.00,n ext,175.09,8.69
28,5.40,195.92,207.69,620.00,500.00,n ext,166.05,9.05
29,5.60,185.71,202.08,616.00,516.00,n ext,154.52,11.65
30,5.80,179.38,199.84,716.00,476.00,n ext,148.13,6.72
31,6.00,170.57,197.00,620.00,512.00,n ext,139.48,9.25
32,6.20,160.22,193.14,616.00,452.00,n ext,129.07,11.05
33,6.40,147.42,188.52,616.00,496.00,n ext,116.48,13.60
34,6.60,134.35,183.36,660.00,572.00,n ext,103.55,14.05
35,6.80,120.10,177.35,712.00,604.00,n ext,89.51,15.47
36,7.00,108.66,172.93,732.00,532.00,north,78.96,12.26
37,7.20,96.89,168.62,772.00,608.00,north,68.68,12.53
38,7.40,87.82,165.37,768.00,580.00,north,61.33,9.63
39,7.60,78.42,163.01,788.00,620.00,north,55.42,9.69
40,7.80,71.35,161.22,780.00,576.00,north,51.70,7.30
41,8.00,66.88,160.12,800.00,460.00,north,49.68,4.60
42,8.20,64.03,157.52,764.00,596.00,north,46.67,3.86
43,8.40,64.33,153.47,852.00,616.00,north,42.70,4.06
44,8.60,67.74,147.19,800.00,676.00,north,37.23,7.14
45,8.80,71.62,140.89,836.00,628.00,north,32.31,7.41
46,9.00,75.82,135.98,872.00,508.00,north,29.83,6.46
47,9.20,77.99,131.64,892.00,532.00,north,27.53,4.86
48,9.40,80.35,128.01,908.00,504.00,north,26.22,4.32
49,9.60,81.58,123.31,904.00,564.00,north,23.95,4.87
50,9.80,82.57,118.66,924.00,596.00,north,22.02,4.75
51,10.00,83.13,114.71,904.00,564.00,west,20.54,3.99
52,10.20,85.38,110.86,892.00,612.00,west,21.35,4.46
53,10.40,87.27,107.79,944.00,564.00,west,22.43,3.60
54,10.60,90.82,105.05,932.00,636.00,west,25.57,4.49
55,10.80,93.56,102.97,940.00,536.00,west,28.16,3.44
56,11.00,96.84,101.02,980.00,576.00,west,31.45,3.81
57,11.20,100.09,99.09,872.00,548.00,south,34.79,3.78
58,11.40,102.76,97.04,984.00,576.00,south,37.56,3.37
59,11.60,104.94,94.24,912.00,616.00,south,40.04,3.55
60,11.80,106.68,90.66,816.00,680.00,south,42.41,3.98
61,12.00,108.56,86.94,864.00,560.00,south,45.19,4.18
62,12.20,110.39,81.04,860.00,652.00,south,48.88,6.18
63,12.40,112.58,74.80,812.00,688.00,south,53.29,6.61
64,12.60,113.63,68.39,792.00,700.00,south,57.18,6.49
65,12.80,113.55,63.37,744.00,648.00,south,59.75,5.02
66,13.00,109.64,58.64,780.00,716.00,south,59.45,6.13
67,13.20,105.67,55.12,740.00,632.00,south,58.66,5.31
68,13.40,98.76,52.81,724.00,600.00,south,55.40,7.28
69,13.60,91.20,51.40,660.00,656.00,south,51.85,7.69
70,13.80,84.51,50.27,720.00,604.00,south,49.27,6.78
71,14.00,79.26,51.17,700.00,580.00,south,46.09,5.33
72,14.20,75.38,52.05,648.00,524.00,south,43.79,3.98
73,14.40,74.24,54.97,652.00,548.00,south,40.66,3.13
74,14.60,73.48,58.52,708.00,528.00,south,37.07,3.64
75,14.80,75.60,63.15,712.00,556.00,south,33.71,5.09
76,15.00,78.49,68.65,720.00,544.00,south,30.44,6.22
77,15.20,81.75,74.22,744.00,672.00,south,28.15,6.45
78,15.40,85.82,78.00,792.00,560.00,south,28.75,5.56
79,15.60,90.93,81.80,836.00,668.00,south,30.82,6.36
80,15.80,96.40,83.42,820.00,672.00,south,35.00,5.70
81,16.00,101.10,83.99,884.00,560.00,south,39.16,4.73
82,16.20,107.84,83.69,968.00,780.00,south,45.56,6.75
83,16.40,113.29,82.93,840.00,632.00,south,50.93,5.50
84,16.60,118.80,81.80,920.00,680.00,south,56.50,5.62
85,16.80,125.31,79.43,852.00,708.00,south,63.43,6.93
86,17.00,131.05,77.51,820.00,648.00,east,69.49,6.05
87,17.20,137.62,75.05,832.00,684.00,east,76.50,7.01
88,17.40,143.32,71.57,816.00,600.00,east,83.04,6.68
89,17.60,150.28,68.25,736.00,616.00,east,90.72,7.71
90,17.80,156.97,62.52,732.00,588.00,east,99.01,8.81
91,18.00,161.92,58.15,688.00,468.00,east,105.22,6.60
92,18.20,167.71,51.88,676.00,468.00,east,112.97,8.53
93,18.40,173.73,43.87,644.00,432.00,east,121.80,10.03
94,18.60,178.57,37.37,640.00,412.00,east,129.04,8.10
95,18.80,185.47,26.90,572.00,412.00,east,140.14,12.54
96,19.00,189.19,20.80,600.00,468.00,e ext,146.45,7.15
97,19.20,192.27,14.23,572.00,404.00,e ext,152.54,7.26
98,19.40,193.52,10.37,592.00,356.00,e ext,155.69,4.06
99,19.60,192.76,9.33,592.00,336.00,e ext,155.64,1.29
100,19.80,187.87,13.61,600.00,416.00,east,149.19,6.50
101,20.00,182.02,19.35,604.00,428.00,east,141.15,8.19
102,20.20,174.50,27.73,616.00,460.00,east,130.30,11.26
103,20.40,166.61,36.78,676.00,524.00,east,118.87,12.00
104,20.60,157.94,47.47,748.00,600.00,east,106.09,13.76
105,20.80,150.23,56.92,704.00,500.00,east,94.97,12.20
106,21.00,144.12,64.95,760.00,560.00,east,86.16,10.09
107,21.20,137.26,74.28,744.00,696.00,east,76.42,11.58
108,21.40,132.76,82.14,800.00,616.00,east,69.78,9.06
109,21.60,129.45,90.02,744.00,632.00,east,64.91,8.55
110,21.80,128.12,97.37,840.00,688.00,east,62.86,7.47
111,22.00,128.03,104.57,832.00,696.00,east,62.67,7.21
112,22.20,129.86,112.13,868.00,644.00,east,65.19,7.77
113,22.40,132.62,121.54,864.00,772.00,east,69.70,9.81
114,22.60,136.73,129.39,868.00,700.00,east,75.90,8.86
115,22.80,141.21,136.17,776.00,572.00,east,82.41,8.13
116,23.00,145.47,142.87,716.00,652.00,east,88.95,7.95
117,23.20,148.82,149.43,768.00,556.00,east,94.81,7.36
118,23.40,151.62,155.31,804.00,636.00,north,100.07,6.52
119,23.60,154.11,161.19,768.00,548.00,north,105.20,6.38
120,23.80,155.59,166.10,820.00,580.00,north,109.09,5.13
121,24.00,156.50,170.06,804.00,568.00,north,112.06,4.07
122,24.20,155.87,173.10,788.00,520.00,north,113.31,3.10
123,24.40,155.36,175.38,748.00,568.00,north,114.24,2.34
124,24.60,151.22,175.30,696.00,564.00,north,110.85,4.15
125,24.80,143.01,172.52,792.00,632.00,north,102.66,8.66
126,25.00,131.29,167.83,724.00,524.00,north,90.64,12.62
127,25.20,119.84,163.62,732.00,608.00,north,79.33,12.20
128,25.40,110.40,159.37,748.00,600.00,north,69.65,10.35
129,25.60,102.24,153.84,804.00,648.00,north,60.05,9.86
130,25.80,96.40,149.12,820.00,680.00,north,52.65,7.51
131,26.00,91.20,142.84,812.00,768.00,north,44.50,8.15
132,26.20,88.00,136.98,848.00,852.00,north,38.00,6.68
133,26.40,88.32,129.87,824.00,816.00,north,33.31,7.12
134,26.60,89.24,122.90,900.00,780.00,north,29.92,7.03
135,26.80,91.28,115.50,892.00,896.00,north,28.39,7.68
136,27.00,94.49,109.07,956.00,928.00,north,29.76,7.18
137,27.20,97.75,103.52,936.00,836.00,west,32.36,6.44
138,27.40,102.02,98.15,976.00,896.00,south,36.75,6.86
139,27.60,106.32,93.13,944.00,896.00,south,41.58,6.61
140,27.80,111.13,86.97,912.00,864.00,south,47.64,7.81
141,28.00,115.64,81.41,828.00,708.00,south,53.66,7.16
142,28.20,121.29,75.73,800.00,724.00,south,60.97,8.01
143,28.40,128.13,69.73,828.00,796.00,south,69.56,9.10
144,28.60,134.52,65.38,748.00,744.00,south,77.16,7.73
145,28.80,139.57,62.64,720.00,740.00,south,82.89,5.74
146,29.00,143.25,62.74,784.00,720.00,east,86.22,3.68
147,29.20,145.90,65.12,772.00,676.00,east,87.76,3.56
148,29.40,147.79,68.15,692.00,472.00,east,88.42,3.57
149,29.60,148.93,73.89,808.00,540.00,east,87.60,5.85
150,29.80,151.40,76.60,804.00,524.00,east,89.22,3.67
151,30.00,153.25,79.80,768.00,444.00,east,90.23,3.69
152,30.20,156.56,80.61,660.00,572.00,east,93.29,3.42
153,30.40,158.59,84.44,684.00,608.00,east,94.57,4.33
154,30.60,158.07,91.30,680.00,444.00,east,93.17,6.87
155,30.80,157.18,98.03,664.00,448.00,east,91.87,6.79
156,31.00,155.34,101.64,680.00,464.00,east,89.93,4.05
157,31.20,151.43,104.41,732.00,516.00,reveral larger,86.05,4.79
158,31.40,147.08,104.41,732.00,520.00,platform reversal,81.70,4.36
159,31.60,142.37,101.17,780.00,616.00,platform reversal,76.97,5.71
160,31.80,138.52,98.53,812.00,584.00,platform reversal,73.21,4.67
161,32.00,135.25,93.51,808.00,708.00,reveral larger,70.24,5.99
162,32.20,133.09,88.14,800.00,632.00,east,68.81,5.78
163,32.40,132.91,83.82,732.00,532.00,east,69.52,4.32
164,32.60,133.50,77.78,764.00,624.00,east,71.72,6.07
165,32.80,134.78,72.48,692.00,488.00,east,74.72,5.46
166,33.00,137.49,65.87,820.00,520.00,south,79.68,7.14
167,33.20,141.17,57.99,780.00,560.00,south,86.36,8.70
168,33.40,144.64,50.17,680.00,540.00,south,93.14,8.55
169,33.60,150.53,41.04,664.00,520.00,south,102.93,10.87
170,33.80,154.77,34.23,680.00,448.00,south,110.22,8.02
171,34.00,158.33,27.84,680.00,496.00,south,116.82,7.32
172,34.20,161.32,22.53,712.00,496.00,south,122.39,6.10
173,34.40,161.67,18.17,704.00,568.00,south,125.35,4.38
174,34.60,160.40,14.59,660.00,548.00,south,126.63,3.79
175,34.80,157.96,10.52,628.00,584.00,south,127.38,4.74
176,35.00,153.73,9.21,552.00,412.00,s ext,125.11,4.43
177,35.20,151.17,4.15,420.00,556.00,s ext,126.78,5.68
178,35.40,147.80,5.39,480.00,332.00,s ext,123.53,3.59
179,35.60,143.04,8.86,452.00,348.00,s ext,117.73,5.89
180,35.80,142.05,8.26,408.00,348.00,s ext,117.49,1.17
181,36.00,147.80,5.39,376.00,336.00,s ext,123.53,6.42
182,36.20,149.64,6.53,460.00,316.00,s ext,124.02,2.17
183,36.40,152.97,6.97,524.00,312.00,s ext,126.08,3.35
184,36.60,155.98,9.04,528.00,364.00,south,126.88,3.66
185,36.80,155.50,14.09,588.00,412.00,south,123.18,5.08
186,37.00,153.48,19.74,624.00,428.00,south,118.02,5.99
187,37.20,148.32,27.60,656.00,480.00,south,109.04,9.41
188,37.40,142.03,35.08,644.00,444.00,south,99.45,9.77
189,37.60,136.35,43.56,664.00,572.00,south,89.80,10.21
190,37.80,133.30,49.28,736.00,480.00,south,84.01,6.48
191,38.00,132.36,54.12,680.00,552.00,south,80.58,4.93
192,38.20,132.32,58.61,728.00,592.00,south,78.26,4.49
193,38.40,133.05,62.85,812.00,484.00,south,76.92,4.30
194,38.60,134.48,66.96,800.00,588.00,south,76.49,4.35
195,38.80,136.61,69.43,700.00,548.00,east,77.54,3.27
196,39.00,137.64,71.60,776.00,428.00,east,77.71,2.40
197,39.20,140.46,72.47,712.00,576.00,east,80.04,2.95
198,39.40,142.89,74.53,712.00,568.00,east,81.66,3.19
199,39.60,143.60,78.26,776.00,512.00,east,81.26,3.80
200,39.80,144.30,85.37,700.00,572.00,east,80.34,7.14
201,40.00,144.32,91.81,684.00,376.00,reveral larger,79.43,6.44
202,40.20,145.57,97.40,748.00,456.00,platform reversal,80.30,5.73
203,40.40,147.14,103.30,768.00,436.00,platform reversal,81.74,6.11
204,40.60,149.80,109.78,680.00,544.00,reveral larger,84.73,7.01
205,40.80,151.41,116.10,616.00,544.00,reveral larger,87.09,6.52
206,41.00,152.51,121.05,688.00,440.00,east,89.00,5.07
207,41.20,153.01,129.56,688.00,584.00,east,91.49,8.52
208,41.40,151.99,134.36,672.00,600.00,east,91.95,4.91
209,41.60,149.23,136.53,708.00,580.00,east,90.04,3.51
210,41.80,144.60,134.17,796.00,624.00,east,84.89,5.19
211,42.00,138.28,130.27,804.00,728.00,east,77.65,7.43
212,42.20,132.50,125.05,864.00,684.00,east,70.55,7.79
213,42.40,128.39,119.67,780.00,684.00,east,65.14,6.77
214,42.60,125.32,113.57,800.00,716.00,east,60.91,6.83
215,42.80,124.06,106.72,816.00,688.00,east,58.82,6.96
216,43.00,124.66,99.36,792.00,696.00,east,59.33,7.39
217,43.20,126.24,93.27,724.00,588.00,east,61.30,6.29
218,43.40,128.50,86.00,792.00,676.00,east,64.72,7.62
219,43.60,133.20,78.68,724.00,620.00,east,71.16,8.69
220,43.80,137.98,72.35,732.00,584.00,east,77.76,7.94
221,44.00,144.41,65.72,624.00,636.00,east,86.15,9.23
222,44.20,149.39,62.74,632.00,560.00,east,91.88,5.81
223,44.40,152.43,61.40,652.00,532.00,east,95.20,3.32
224,44.60,153.94,63.77,612.00,504.00,east,95.73,2.81
225,44.80,152.79,68.44,592.00,436.00,east,93.00,4.81
226,45.00,150.37,73.51,648.00,480.00,east,89.10,5.62
227,45.20,146.41,77.66,688.00,408.00,east,84.12,5.74
228,45.40,140.60,81.77,740.00,588.00,east,77.47,7.12
229,45.60,135.58,83.45,796.00,536.00,east,72.20,5.29
230,45.80,129.84,83.40,844.00,712.00,east,66.63,5.74
231,46.00,122.16,83.60,836.00,784.00,south,59.17,7.69
232,46.20,115.11,83.50,892.00,808.00,south,52.47,7.05
233,46.40,107.41,82.39,872.00,828.00,south,45.62,7.78
234,46.60,100.13,80.09,880.00,776.00,south,39.78,7.63
235,46.80,93.05,76.56,816.00,768.00,south,35.39,7.91
236,47.00,84.51,72.58,800.00,752.00,south,31.26,9.42
237,47.20,75.62,66.28,768.00,744.00,south,30.97,10.90
238,47.40,64.50,57.95,732.00,788.00,south,35.07,13.89
239,47.60,53.16,48.94,672.00,700.00,south,43.52,14.48
240,47.80,39.82,37.04,584.00,664.00,south,57.80,17.88
241,48.00,27.05,24.78,544.00,592.00,south,73.76,17.70
242,48.20,14.01,11.84,500.00,556.00,south,91.10,18.37
243,48.40,1.36,-1.11,332.00,432.00,s ext,108.57,18.10
244,48.60,-3.68,-6.17,320.00,180.00,s ext,115.47,7.14
245,48.80,-5.79,-8.44,172.00,180.00,s ext,118.50,3.10
246,49.00,8.08,5.94,116.00,288.00,s ext,99.12,19.98
247,49.20,-0.65,-3.83,132.00,248.00,s ext,111.93,13.10
248,49.40,5.46,1.57,364.00,360.00,s ext,104.21,8.16
249,49.60,9.98,5.41,472.00,324.00,s ext,98.68,5.92
250,49.80,14.23,8.25,508.00,292.00,south,94.19,5.11
251,50.00,23.87,14.25,432.00,468.00,south,84.70,11.35
252,50.20,31.32,19.19,468.00,316.00,south,77.41,8.94
253,50.40,42.58,26.99,572.00,376.00,south,66.85,13.70
254,50.60,53.14,33.69,576.00,460.00,south,58.74,12.50
255,50.80,63.64,40.96,572.00,500.00,south,51.80,12.77
256,51.00,73.49,48.70,644.00,592.00,south,46.31,12.53
257,51.20,82.02,55.41,708.00,592.00,south,43.58,10.85
258,51.40,88.43,61.06,764.00,616.00,south,42.43,8.54
259,51.60,93.94,67.50,696.00,676.00,south,41.69,8.48
260,51.80,97.76,73.35,752.00,640.00,south,41.08,6.98
261,52.00,101.69,78.93,828.00,724.00,south,41.68,6.83
262,52.20,105.28,82.98,860.00,784.00,south,43.42,5.42
263,52.40,111.01,84.34,812.00,856.00,south,48.32,5.89
264,52.60,116.09,84.82,796.00,688.00,south,53.00,5.10
265,52.80,122.82,83.53,820.00,656.00,south,59.82,6.85
266,53.00,129.42,82.65,844.00,704.00,east,66.42,6.66
267,53.20,137.48,81.35,880.00,820.00,east,74.54,8.16
268,53.40,145.37,78.91,832.00,800.00,east,82.79,8.26
269,53.60,154.31,75.99,760.00,848.00,east,92.18,9.40
270,53.80,162.11,75.83,756.00,772.00,east,99.77,7.81
271,54.00,169.87,77.84,712.00,716.00,east,106.89,8.02
272,54.20,176.92,82.78,620.00,636.00,east,112.93,8.60
273,54.40,183.39,91.11,516.00,592.00,e ext,118.41,10.56
274,54.60,188.45,94.23,412.00,376.00,e ext,123.27,5.94
275,54.80,188.45,94.23,440.00,172.00,e ext,123.27,0.00
276,55.00,191.16,94.89,188.00,260.00,e ext,125.95,2.79
277,55.20,188.68,92.13,216.00,148.00,e ext,123.62,3.71
278,55.40,188.94,90.03,236.00,68.00,e ext,124.03,2.12
279,55.60,191.97,81.68,224.00,228.00,e ext,127.98,8.89
280,55.80,191.43,79.43,268.00,204.00,e ext,127.79,2.31
281,56.00,192.66,68.52,176.00,292.00,e ext,131.18,10.98
282,56.20,189.10,68.82,348.00,452.00,e ext,127.65,3.58
283,56.40,189.08,58.82,436.00,552.00,e ext,130.45,10.00
284,56.60,190.25,47.25,516.00,480.00,e ext,135.56,11.63
285,56.80,190.29,37.15,544.00,420.00,e ext,139.63,10.11
286,57.00,190.88,28.01,624.00,520.00,e ext,144.31,9.15
287,57.20,191.04,19.35,584.00,584.00,e ext,148.78,8.67
288,57.40,188.48,17.39,572.00,484.00,east,147.64,3.23
289,57.60,185.86,16.13,556.00,552.00,east,146.13,2.91
290,57.80,178.19,22.47,616.00,508.00,east,136.24,9.95
291,58.00,170.59,28.39,576.00,512.00,south,126.65,9.63
292,58.20,160.55,37.01,600.00,600.00,south,113.55,13.24
293,58.40,149.64,46.74,632.00,680.00,south,99.19,14.62
294,58.60,140.74,55.11,684.00,668.00,south,87.32,12.22
295,58.80,131.08,65.81,704.00,748.00,south,73.85,14.42
296,59.00,123.53,73.11,704.00,704.00,south,64.01,10.50
297,59.20,117.66,81.22,812.00,780.00,south,55.62,10.01
298,59.40,112.52,89.61,864.00,940.00,south,48.34,9.83
299,59.60,108.41,95.79,896.00,816.00,south,43.30,7.43
