Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0002\data\track_00128.trk
Object,0
Samples,450
treatment,4,
cage,50,
mark,2,
id,113,
trial,8,
date,2009-07-28 15:13:36.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,94.26,10.13,716.00,404.00,s ext,89.71,-
2,0.20,93.97,12.16,260.00,480.00,s ext,87.73,2.05
3,0.40,96.82,17.19,348.00,280.00,s ext,84.31,5.78
4,0.60,96.98,16.21,320.00,148.00,s ext,85.26,1.00
5,0.80,100.70,15.19,436.00,244.00,s ext,87.84,3.85
6,1.00,104.48,14.06,364.00,328.00,s ext,90.63,3.95
7,1.20,107.47,15.88,404.00,320.00,s ext,90.56,3.50
8,1.40,111.99,17.48,444.00,240.00,s ext,91.60,4.80
9,1.60,114.99,18.11,448.00,188.00,s ext,92.76,3.07
10,1.80,117.15,20.70,504.00,240.00,south,91.92,3.37
11,2.00,119.52,22.22,464.00,288.00,south,92.18,2.82
12,2.20,118.36,25.20,536.00,216.00,south,89.13,3.19
13,2.40,117.25,28.11,592.00,248.00,south,86.19,3.12
14,2.60,117.59,30.74,520.00,232.00,south,84.41,2.66
15,2.80,116.55,33.55,600.00,232.00,south,81.62,3.00
16,3.00,114.56,35.58,640.00,288.00,south,78.78,2.84
17,3.20,112.65,37.55,616.00,184.00,south,76.04,2.74
18,3.40,111.09,38.58,600.00,128.00,south,74.23,1.87
19,3.60,110.31,41.19,576.00,368.00,south,71.77,2.73
20,3.80,110.06,42.05,564.00,276.00,south,70.96,0.90
21,4.00,109.58,43.76,584.00,204.00,south,69.39,1.77
22,4.20,109.11,45.44,588.00,148.00,south,67.85,1.74
23,4.40,108.89,46.27,536.00,148.00,south,67.10,0.86
24,4.60,107.32,47.99,560.00,280.00,south,64.77,2.33
25,4.80,105.82,49.67,624.00,328.00,south,62.53,2.25
26,5.00,104.55,50.51,648.00,304.00,south,61.04,1.52
27,5.20,103.31,51.32,648.00,120.00,south,59.59,1.49
28,5.40,99.93,52.08,584.00,296.00,south,56.73,3.46
29,5.60,99.73,53.61,528.00,368.00,south,55.46,1.55
30,5.80,99.53,55.12,512.00,288.00,south,54.23,1.53
31,6.00,99.34,56.62,536.00,200.00,south,53.03,1.51
32,6.20,99.08,58.83,608.00,240.00,south,51.30,2.23
33,6.40,99.70,61.77,588.00,268.00,south,49.79,3.00
34,6.60,99.53,63.19,548.00,240.00,south,48.74,1.43
35,6.80,102.03,64.72,528.00,412.00,south,49.71,2.92
36,7.00,101.93,65.42,580.00,116.00,south,49.18,0.71
37,7.20,102.58,66.85,580.00,360.00,south,48.80,1.57
38,7.40,102.98,69.64,620.00,376.00,south,47.49,2.82
39,7.60,102.67,71.68,700.00,320.00,south,46.10,2.07
40,7.80,102.38,73.69,660.00,232.00,south,44.80,2.03
41,8.00,102.02,76.33,616.00,316.00,south,43.17,2.66
42,8.20,101.77,78.28,664.00,216.00,south,42.04,1.96
43,8.40,100.84,80.15,632.00,224.00,south,40.38,2.09
44,8.60,100.01,81.35,712.00,248.00,south,39.13,1.46
45,8.80,99.82,83.23,712.00,264.00,south,38.24,1.89
46,9.00,99.04,84.40,660.00,308.00,south,37.09,1.41
47,9.20,98.87,86.24,648.00,268.00,south,36.27,1.85
48,9.40,98.07,87.98,624.00,224.00,south,34.90,1.92
49,9.60,97.97,89.19,648.00,144.00,south,34.41,1.21
50,9.80,97.87,90.39,608.00,192.00,south,33.95,1.21
51,10.00,97.15,91.50,620.00,180.00,south,32.95,1.32
52,10.20,96.38,93.20,568.00,196.00,south,31.81,1.86
53,10.40,96.38,93.20,644.00,220.00,south,31.81,0.00
54,10.60,95.67,94.29,684.00,160.00,south,30.89,1.30
55,10.80,95.57,95.47,668.00,216.00,south,30.60,1.19
56,11.00,94.91,95.97,700.00,184.00,south,29.88,0.83
57,11.20,94.75,97.74,692.00,320.00,west,29.52,1.78
58,11.40,94.63,98.92,684.00,264.00,west,29.34,1.19
59,11.60,94.44,100.69,684.00,312.00,west,29.08,1.78
60,11.80,94.76,103.12,648.00,276.00,west,29.36,2.45
61,12.00,94.08,103.63,700.00,180.00,west,28.71,0.85
62,12.20,94.35,106.06,708.00,312.00,west,29.19,2.44
63,12.40,94.58,108.48,668.00,296.00,north,29.76,2.43
64,12.60,94.90,110.31,656.00,268.00,north,30.39,1.85
65,12.80,94.57,112.08,724.00,212.00,north,30.50,1.80
66,13.00,94.98,113.32,700.00,192.00,north,31.24,1.30
67,13.20,95.26,115.14,724.00,272.00,north,32.08,1.85
68,13.40,95.67,116.38,636.00,168.00,north,32.83,1.30
69,13.60,96.08,117.62,732.00,248.00,north,33.63,1.31
70,13.80,96.50,118.86,696.00,196.00,north,34.46,1.31
71,14.00,96.37,119.46,724.00,172.00,north,34.57,0.61
72,14.20,96.67,121.30,660.00,256.00,north,35.60,1.87
73,14.40,96.54,121.90,732.00,152.00,north,35.74,0.61
74,14.60,97.11,122.56,696.00,180.00,north,36.54,0.87
75,14.80,97.57,123.82,736.00,168.00,north,37.53,1.34
76,15.00,97.30,125.02,740.00,180.00,north,37.88,1.23
77,15.20,97.91,125.69,724.00,320.00,north,38.74,0.90
78,15.40,99.27,126.43,692.00,376.00,north,40.29,1.55
79,15.60,99.90,127.12,768.00,332.00,north,41.19,0.94
80,15.80,102.18,127.41,728.00,344.00,north,43.30,2.30
81,16.00,103.79,127.04,684.00,260.00,north,44.53,1.65
82,16.20,104.62,126.57,716.00,320.00,north,45.05,0.95
83,16.40,104.75,125.38,676.00,344.00,north,44.64,1.20
84,16.60,104.87,124.18,676.00,208.00,north,44.25,1.20
85,16.80,104.35,122.28,748.00,232.00,north,43.02,1.98
86,17.00,103.72,121.57,764.00,256.00,north,42.17,0.95
87,17.20,102.48,120.17,760.00,236.00,north,40.52,1.86
88,17.40,101.88,119.48,764.00,180.00,north,39.72,0.91
89,17.60,100.71,118.12,704.00,260.00,north,38.17,1.79
90,17.80,100.23,116.86,656.00,264.00,north,37.33,1.35
91,18.00,99.02,116.12,656.00,232.00,north,35.96,1.42
92,18.20,98.47,115.46,704.00,152.00,north,35.23,0.86
93,18.40,97.93,114.80,760.00,184.00,north,34.51,0.85
94,18.60,97.40,114.15,736.00,200.00,north,33.80,0.84
95,18.80,96.87,113.50,708.00,140.00,north,33.10,0.84
96,19.00,96.34,112.85,748.00,232.00,north,32.41,0.84
97,19.20,95.82,112.20,744.00,148.00,north,31.74,0.83
98,19.40,94.68,111.49,708.00,268.00,north,30.46,1.34
99,19.60,94.17,110.84,728.00,108.00,north,29.81,0.83
100,19.80,93.67,110.19,660.00,212.00,north,29.17,0.82
101,20.00,93.67,110.19,684.00,224.00,north,29.17,0.00
102,20.20,93.16,109.54,696.00,196.00,north,28.54,0.82
103,20.40,92.65,108.89,664.00,248.00,west,27.92,0.83
104,20.60,92.65,108.89,652.00,196.00,west,27.92,0.00
105,20.80,92.04,108.83,712.00,140.00,west,27.31,0.61
106,21.00,92.15,108.24,696.00,208.00,west,27.31,0.61
107,21.20,91.64,107.58,712.00,352.00,west,26.72,0.83
108,21.40,90.63,106.25,748.00,388.00,west,25.53,1.67
109,21.60,90.12,105.58,688.00,284.00,west,24.94,0.84
110,21.80,88.91,105.45,748.00,276.00,west,23.72,1.22
111,22.00,87.80,104.70,704.00,212.00,west,22.52,1.35
112,22.20,86.68,103.93,684.00,204.00,west,21.34,1.36
113,22.40,85.55,103.14,700.00,216.00,west,20.16,1.37
114,22.60,84.42,102.34,648.00,276.00,west,19.01,1.39
115,22.80,83.28,101.51,632.00,168.00,west,17.88,1.41
116,23.00,82.66,101.42,652.00,156.00,west,17.27,0.62
117,23.20,82.05,101.32,656.00,268.00,west,16.67,0.62
118,23.40,80.20,101.01,668.00,196.00,west,14.84,1.88
119,23.60,78.96,100.80,632.00,212.00,west,13.62,1.26
120,23.80,77.63,101.27,624.00,224.00,west,12.26,1.41
121,24.00,76.92,101.87,620.00,308.00,west,11.52,0.93
122,24.20,75.48,103.11,652.00,248.00,west,10.11,1.90
123,24.40,75.26,104.56,684.00,264.00,west,10.07,1.47
124,24.60,74.24,106.70,632.00,228.00,west,9.47,2.37
125,24.80,73.61,109.68,768.00,288.00,west,9.80,3.05
126,25.00,72.61,111.18,772.00,244.00,west,9.58,1.80
127,25.20,71.53,115.03,828.00,376.00,west,10.94,4.00
128,25.40,69.56,119.03,824.00,412.00,west,12.37,4.45
129,25.60,66.98,124.02,840.00,424.00,west,15.03,5.62
130,25.80,63.99,129.26,836.00,492.00,west,18.91,6.03
131,26.00,60.06,135.66,780.00,504.00,west,24.51,7.51
132,26.20,54.90,143.37,800.00,588.00,north,32.24,9.28
133,26.40,49.75,151.15,816.00,552.00,north,40.51,9.32
134,26.60,44.60,158.24,740.00,516.00,north,48.50,8.76
135,26.80,40.54,163.48,792.00,436.00,north,54.63,6.63
136,27.00,36.15,168.87,756.00,380.00,north,61.11,6.96
137,27.20,33.36,172.19,732.00,344.00,north,65.18,4.34
138,27.40,30.44,175.56,700.00,312.00,north,69.37,4.46
139,27.60,24.23,182.50,624.00,540.00,north,78.11,9.31
140,27.80,19.96,187.64,632.00,488.00,north,84.53,6.69
141,28.00,18.43,191.48,656.00,464.00,north,88.66,4.13
142,28.20,20.95,192.04,636.00,444.00,n ext,88.18,2.59
143,28.40,19.76,195.43,592.00,524.00,n ext,91.77,3.59
144,28.60,19.47,197.30,604.00,356.00,n ext,93.61,1.89
145,28.80,19.28,199.18,576.00,404.00,n ext,95.42,1.89
146,29.00,19.81,199.54,368.00,272.00,n ext,95.56,0.64
147,29.20,22.62,197.57,364.00,220.00,n ext,92.73,3.43
148,29.40,24.89,197.18,300.00,224.00,n ext,91.56,2.30
149,29.60,35.12,192.99,344.00,572.00,n ext,84.51,11.06
150,29.80,43.78,188.49,500.00,372.00,n ext,78.33,9.76
151,30.00,58.12,183.78,564.00,448.00,n ext,72.54,15.09
152,30.20,67.26,181.18,624.00,412.00,n ext,70.56,9.51
153,30.40,76.30,179.15,612.00,372.00,n ext,70.29,9.26
154,30.60,85.24,177.68,608.00,364.00,n ext,71.54,9.06
155,30.80,94.08,176.77,500.00,332.00,n ext,74.33,8.89
156,31.00,106.73,174.32,568.00,548.00,north,78.97,12.89
157,31.20,115.17,173.97,644.00,404.00,north,83.76,8.45
158,31.40,126.61,175.02,712.00,524.00,north,92.17,11.48
159,31.60,134.68,176.72,720.00,416.00,north,99.12,8.25
