Track file,C:\Users\tiago\rat_navigation\data\ethovision\exp nestle 3_0003\data\track_00026.trk
Object,0
Samples,249
treatment,4,
cage,33,
mark,1,
id,53,
trial,10,
date,2009-07-28 09:47:18.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,110.00,18.64,620.00,240.00,s ext,89.55,-
2,0.20,108.61,17.78,680.00,340.00,s ext,89.55,1.63
3,0.40,110.93,15.61,716.00,252.00,s ext,92.61,3.17
4,0.60,113.34,13.37,728.00,308.00,s ext,95.79,3.29
5,0.80,117.24,11.89,740.00,260.00,s ext,99.16,4.18
6,1.00,123.00,9.99,660.00,320.00,s ext,104.01,6.06
7,1.20,131.18,6.35,688.00,300.00,s ext,111.86,8.96
8,1.40,139.01,3.39,668.00,324.00,s ext,119.11,8.37
9,1.60,147.27,1.83,596.00,384.00,s ext,125.76,8.41
10,1.80,157.84,-2.11,660.00,424.00,s ext,135.92,11.28
11,2.00,162.18,-3.08,616.00,260.00,s ext,139.69,4.44
12,2.20,169.77,-5.84,608.00,320.00,s ext,147.10,8.08
13,2.40,177.12,-8.98,636.00,348.00,s ext,154.65,7.99
14,2.60,182.60,-11.47,644.00,320.00,s ext,160.40,6.02
15,2.80,189.52,-15.22,652.00,400.00,s ext,168.09,7.87
16,3.00,193.40,-16.65,644.00,272.00,s ext,171.97,4.13
17,3.20,197.02,-18.17,636.00,320.00,s ext,175.72,3.93
18,3.40,198.93,-18.57,648.00,292.00,s ext,177.45,1.95
19,3.60,197.80,-16.63,660.00,252.00,s ext,175.35,2.24
20,3.80,196.67,-14.69,672.00,220.00,s ext,173.24,2.25
21,4.00,198.29,-15.02,600.00,264.00,s ext,174.70,1.65
22,4.20,197.00,-13.45,600.00,232.00,s ext,172.71,2.03
23,4.40,193.24,-8.81,648.00,328.00,s ext,166.86,5.97
24,4.60,188.44,-2.75,644.00,316.00,s ext,159.32,7.73
25,4.80,182.67,4.12,696.00,308.00,south,150.53,8.98
26,5.00,177.24,10.73,728.00,384.00,south,142.20,8.55
27,5.20,173.11,15.72,696.00,344.00,south,135.90,6.48
28,5.40,168.09,21.32,720.00,328.00,south,128.55,7.52
29,5.60,162.49,27.89,804.00,364.00,south,120.18,8.63
30,5.80,155.30,35.33,804.00,424.00,south,110.04,10.35
31,6.00,149.58,41.58,832.00,484.00,south,101.84,8.47
32,6.20,142.80,48.85,816.00,472.00,south,92.23,9.94
33,6.40,138.50,53.10,904.00,408.00,south,86.37,6.04
34,6.60,134.46,57.05,908.00,340.00,south,80.89,5.65
35,6.80,131.47,58.92,888.00,396.00,south,77.37,3.52
36,7.00,128.16,61.53,968.00,360.00,south,73.20,4.22
37,7.20,123.02,65.19,928.00,592.00,south,66.93,6.31
38,7.40,118.68,69.04,944.00,568.00,south,61.31,5.79
39,7.60,114.46,73.22,1024.00,584.00,south,55.66,5.95
40,7.80,110.61,77.00,988.00,612.00,south,50.60,5.39
41,8.00,107.22,79.76,1040.00,516.00,south,46.40,4.38
42,8.20,105.60,81.05,1064.00,360.00,south,44.42,2.07
43,8.40,101.84,83.42,1136.00,552.00,south,40.06,4.44
44,8.60,98.93,85.63,1048.00,560.00,south,36.54,3.66
45,8.80,95.46,88.20,1060.00,612.00,south,32.38,4.32
46,9.00,92.11,91.26,1072.00,676.00,south,28.20,4.53
47,9.20,89.51,93.18,1088.00,672.00,west,25.14,3.24
48,9.40,88.15,95.38,1108.00,588.00,west,23.30,2.58
49,9.60,86.10,98.12,1076.00,632.00,west,20.87,3.42
50,9.80,85.25,100.53,1184.00,500.00,west,19.92,2.55
51,10.00,83.72,102.90,1112.00,488.00,west,18.33,2.82
52,10.20,82.10,105.35,1100.00,500.00,west,16.95,2.94
53,10.40,80.37,107.91,1168.00,508.00,west,15.70,3.09
54,10.60,77.07,111.26,1072.00,632.00,west,13.60,4.70
55,10.80,73.06,114.21,1044.00,636.00,west,11.70,4.98
56,11.00,68.13,117.60,1012.00,600.00,west,10.38,5.98
57,11.20,63.86,120.53,1028.00,568.00,west,10.52,5.17
58,11.40,58.28,124.91,1076.00,680.00,west,13.67,7.09
59,11.60,51.55,130.15,928.00,636.00,west,19.56,8.54
60,11.80,43.72,137.44,964.00,732.00,west,29.02,10.70
61,12.00,35.89,145.58,904.00,732.00,west,39.74,11.30
62,12.20,26.42,155.36,880.00,688.00,west,52.96,13.61
63,12.40,15.97,166.62,820.00,676.00,west,68.11,15.36
64,12.60,4.48,179.51,712.00,732.00,w ext,85.27,17.27
65,12.80,-2.76,187.92,660.00,484.00,w ext,96.34,11.10
66,13.00,-2.56,186.78,672.00,548.00,w ext,95.31,1.15
67,13.20,-2.19,184.42,624.00,400.00,w ext,93.20,2.39
68,13.40,-0.77,179.98,676.00,308.00,w ext,88.83,4.66
69,13.60,1.54,173.41,728.00,420.00,w ext,82.29,6.96
70,13.80,6.26,160.77,724.00,524.00,w ext,69.73,13.50
71,14.00,10.18,149.54,708.00,440.00,w ext,59.14,11.89
72,14.20,14.82,136.30,708.00,408.00,w ext,47.37,14.03
73,14.40,20.53,121.63,724.00,520.00,w ext,35.10,15.74
74,14.60,25.45,109.85,848.00,548.00,west,27.00,12.77
75,14.80,29.38,99.14,836.00,572.00,west,22.58,11.41
76,15.00,34.05,88.70,828.00,672.00,west,20.18,11.43
77,15.20,37.88,82.44,860.00,640.00,west,19.95,7.34
78,15.40,42.00,77.60,908.00,664.00,west,20.30,6.36
79,15.60,45.91,74.77,888.00,612.00,west,20.59,4.83
80,15.80,50.18,72.02,868.00,668.00,west,21.32,5.07
81,16.00,53.18,70.73,908.00,656.00,west,21.88,3.27
82,16.20,56.14,69.67,924.00,584.00,west,22.66,3.14
83,16.40,58.01,67.43,916.00,608.00,west,24.93,2.93
84,16.60,58.80,65.97,868.00,600.00,west,26.44,1.66
85,16.80,59.28,63.77,868.00,504.00,west,28.68,2.26
86,17.00,58.88,61.08,892.00,424.00,south,31.32,2.71
87,17.20,57.50,57.86,904.00,452.00,south,34.47,3.50
88,17.40,54.66,53.19,876.00,484.00,south,39.19,5.47
89,17.60,49.48,46.99,852.00,440.00,south,45.90,8.08
90,17.80,43.75,40.42,772.00,464.00,south,53.50,8.72
91,18.00,39.21,35.22,832.00,396.00,south,59.72,6.90
92,18.20,34.35,29.80,720.00,488.00,south,66.39,7.28
93,18.40,29.73,24.23,764.00,492.00,south,73.24,7.24
94,18.60,26.89,20.50,792.00,460.00,south,77.76,4.69
95,18.80,25.37,17.79,764.00,444.00,south,80.85,3.11
96,19.00,26.06,17.05,720.00,428.00,south,81.27,1.01
97,19.20,30.51,19.15,760.00,328.00,south,77.72,4.92
98,19.40,35.72,21.91,716.00,348.00,south,73.47,5.89
99,19.60,40.07,24.45,748.00,304.00,south,69.88,5.04
100,19.80,44.88,27.67,728.00,236.00,south,65.72,5.79
