Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0002\data\track_00117.trk
Object,0
Samples,282
treatment,3,
cage,42,
mark,2,
id,82,
trial,5,
date,2009-07-28 14:40:48.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,70.56,194.81,1252.00,900.00,n ext,84.52,-
2,0.20,78.83,190.40,1272.00,900.00,n ext,81.83,9.37
3,0.40,78.28,195.11,816.00,712.00,n ext,86.30,4.74
4,0.60,75.64,196.24,792.00,160.00,n ext,86.82,2.87
5,0.80,75.64,196.24,796.00,156.00,n ext,86.82,0.00
6,1.00,73.94,199.26,616.00,348.00,n ext,89.46,3.46
7,1.20,74.67,194.43,1388.00,844.00,n ext,84.85,4.89
8,1.40,74.04,188.96,1680.00,1172.00,n ext,79.37,5.50
9,1.60,67.67,190.59,1392.00,744.00,n ext,79.94,6.58
10,1.80,123.46,195.11,1600.00,2992.00,n ext,105.61,55.97
11,2.00,67.06,186.28,636.00,2236.00,n ext,75.59,57.09
12,2.20,58.80,191.14,540.00,400.00,n ext,79.91,9.58
13,2.40,47.73,195.30,336.00,476.00,n ext,84.57,11.82
14,2.60,41.92,193.68,192.00,448.00,n ext,83.75,6.03
15,2.80,47.20,188.98,216.00,344.00,n ext,78.34,7.06
16,3.00,48.01,184.91,340.00,396.00,n ext,74.21,4.15
17,3.20,52.04,179.97,520.00,444.00,north,68.94,6.37
18,3.40,55.83,173.76,624.00,480.00,north,62.55,7.28
19,3.60,62.63,164.73,664.00,656.00,north,53.69,11.30
20,3.80,70.78,155.72,720.00,704.00,north,46.22,12.15
21,4.00,78.82,148.68,688.00,680.00,north,42.37,10.69
22,4.20,87.99,143.62,768.00,728.00,north,43.10,10.46
23,4.40,95.73,140.89,836.00,652.00,north,46.20,8.21
24,4.60,105.56,140.60,784.00,772.00,north,53.51,9.83
25,4.80,114.26,141.27,760.00,624.00,north,60.94,8.72
26,5.00,123.91,143.94,792.00,672.00,north,70.45,10.02
27,5.20,134.18,149.26,820.00,772.00,north,81.97,11.56
28,5.40,144.71,156.90,764.00,656.00,north,94.95,13.01
29,5.60,154.40,165.27,796.00,592.00,north,107.63,12.80
30,5.80,164.44,174.76,760.00,532.00,north,121.26,13.82
31,6.00,173.55,184.08,600.00,568.00,north,134.08,13.04
32,6.20,177.74,188.78,648.00,504.00,north,140.22,6.30
33,6.40,179.08,191.24,576.00,688.00,north,142.75,2.80
34,6.60,173.66,187.66,652.00,388.00,north,136.26,6.49
35,6.80,167.04,182.67,580.00,512.00,north,127.97,8.29
36,7.00,159.12,175.63,672.00,460.00,north,117.43,10.60
37,7.20,151.84,167.57,724.00,620.00,north,106.82,10.86
