Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0002\data\track_00140.trk
Object,0
Samples,48
treatment,2,
cage,53,
mark,1,
id,63,
trial,8,
date,2009-07-28 15:54:08.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,100.49,16.19,336.00,240.00,s ext,86.86,-
2,0.20,96.98,16.21,308.00,228.00,s ext,85.26,3.51
3,0.40,93.21,18.09,388.00,232.00,s ext,81.98,4.21
4,0.60,91.21,20.89,552.00,228.00,south,78.62,3.44
5,0.80,87.65,25.29,552.00,376.00,south,73.19,5.66
6,1.00,86.03,29.60,588.00,412.00,south,68.58,4.61
7,1.20,83.12,31.81,600.00,300.00,south,65.46,3.66
8,1.40,81.77,33.29,576.00,264.00,south,63.61,2.00
9,1.60,79.28,36.12,596.00,476.00,south,60.10,3.77
10,1.80,78.25,38.29,580.00,272.00,south,57.71,2.40
11,2.00,77.32,40.40,668.00,232.00,south,55.41,2.31
12,2.20,76.48,42.45,724.00,280.00,south,53.19,2.22
13,2.40,73.47,44.50,732.00,416.00,south,50.29,3.64
14,2.60,71.48,45.26,792.00,276.00,south,49.00,2.13
15,2.80,68.66,46.28,664.00,304.00,south,47.33,2.99
16,3.00,67.77,46.59,600.00,288.00,south,46.85,0.95
17,3.20,64.89,46.67,660.00,276.00,south,46.28,2.87
18,3.40,63.26,47.17,628.00,480.00,south,45.58,1.71
19,3.60,62.80,48.17,584.00,308.00,south,44.54,1.10
20,3.80,62.70,49.93,616.00,312.00,south,42.78,1.76
21,4.00,63.29,53.19,692.00,316.00,south,39.60,3.32
22,4.20,64.20,57.20,728.00,444.00,south,35.76,4.11
23,4.40,64.76,60.45,796.00,444.00,south,32.66,3.30
24,4.60,63.54,62.72,824.00,468.00,south,30.20,2.58
25,4.80,62.10,64.28,880.00,536.00,south,28.45,2.12
26,5.00,59.34,65.68,876.00,516.00,west,26.78,3.09
27,5.20,55.84,66.68,788.00,576.00,west,25.66,3.64
28,5.40,53.44,67.15,720.00,420.00,west,25.38,2.45
29,5.60,51.03,67.73,748.00,316.00,west,25.24,2.47
30,5.80,49.96,68.56,688.00,292.00,west,24.70,1.35
31,6.00,47.80,67.85,680.00,352.00,west,26.04,2.28
32,6.20,46.97,69.85,624.00,560.00,west,24.49,2.16
33,6.40,46.88,72.52,556.00,388.00,west,22.11,2.67
34,6.60,47.49,75.77,560.00,316.00,west,18.94,3.31
35,6.80,48.24,81.25,664.00,368.00,west,13.81,5.53
36,7.00,49.35,86.06,724.00,420.00,west,9.11,4.93
37,7.20,50.22,90.80,656.00,284.00,platform larger,5.05,4.82
38,7.40,50.13,95.23,640.00,288.00,platform larger,2.85,4.43
39,7.60,52.78,99.39,596.00,404.00,platform,0.00,4.93
40,7.80,54.19,99.77,624.00,292.00,platform,0.00,1.46
41,8.00,53.58,98.52,568.00,144.00,platform,0.00,1.38
42,8.20,52.87,98.32,596.00,172.00,platform,0.00,0.74
43,8.40,53.38,100.64,620.00,192.00,platform,0.00,2.38
44,8.60,54.09,100.81,648.00,172.00,platform,0.00,0.72
45,8.80,53.27,101.71,708.00,212.00,platform,0.00,1.21
46,9.00,53.27,101.71,660.00,88.00,platform,0.00,0.00
47,9.20,53.97,101.87,596.00,176.00,platform,0.00,0.72
48,9.40,54.09,100.81,580.00,80.00,platform,0.00,1.06
