Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00006.trk,,,,,,
Object,0,,,,,,
Samples,450,,,,,,
id,104,,,,,,
trial,2,,,,,,
date,34:30.0,yyyy-MM-dd HH:mm:ss,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0,86.8,166.82,340,420,north,59.76
2,0.2,83.09,159.05,396,488,north,51.33
3,0.4,80.27,150.07,436,592,north,42.65
4,0.6,77.56,140.67,448,620,north,34.15
5,0.8,74.92,130.78,464,696,west,26.23
6,1,73,120.97,524,724,west,20.32
7,1.2,71.06,110.45,516,744,west,17.4
8,1.4,69.74,101.22,540,696,west,18.77
9,1.6,69.07,90.4,508,720,west,24.73
10,1.8,69.01,79.38,504,716,west,33.38
11,2,71.08,69.11,484,684,south,43.14
12,2.2,74.56,58.88,568,756,south,53.77
13,2.4,77.99,48.41,636,860,south,64.66
14,2.6,82.2,40.2,732,776,south,73.88
15,2.8,87.15,31.81,712,860,south,83.6
16,3,92.87,24.84,668,780,south,92.42
17,3.2,100.08,19.27,592,716,s ext,100.81
18,3.4,108.67,12.96,404,772,s ext,110.66
19,3.6,114.36,8.79,256,500,s ext,117.26
20,3.8,116.47,10.37,208,352,s ext,117.12
21,4,117.86,12.92,196,332,s ext,115.8
22,4.2,119.94,14.38,188,336,s ext,115.82
23,4.4,124.73,17.86,148,328,s ext,115.99
24,4.6,126.74,20.92,228,224,s ext,114.94
25,4.8,129.39,26.36,308,328,s ext,112.69
26,5,132.69,32.32,372,464,south,110.84
27,5.2,135.31,40.89,428,544,south,107.17
28,5.4,137.98,49.32,492,616,east,104.28
29,5.6,140.75,58.52,532,672,east,101.63
30,5.8,143.69,69.38,580,736,east,99.19
31,6,146.16,81.3,564,784,east,97.23
32,6.2,148.12,92.63,588,768,east,96.37
33,6.4,150.36,105.03,576,820,platform reversal,96.87
34,6.6,151.27,116.78,568,744,east,97.56
35,6.8,153.33,130.63,512,784,east,100.97
36,7,153.75,141.9,500,708,east,103.73
37,7.2,152.84,154.69,448,668,east,106.81
38,7.4,150.06,165.17,480,680,north,108.57
39,7.6,146.26,174.41,444,676,north,109.84
40,7.8,142.28,182.74,424,612,north,111.12
41,8,137.23,189.87,368,616,n ext,111.48
42,8.2,132.08,197.15,316,556,n ext,112.55
43,8.4,127.53,203.03,248,404,n ext,113.63
44,8.6,124.33,205.74,88,224,n ext,113.57
45,8.8,123.52,206.43,64,88,n ext,113.59
46,9,-,-,-,-,-,-
47,9.2,112.95,203.21,76,-,n ext,104.55
48,9.4,108.53,200.25,184,196,n ext,99.51
49,9.6,101.63,196.16,228,284,n ext,92.17
50,9.8,94.9,191.7,284,336,n ext,84.72
51,10,86.76,186.88,320,428,n ext,76.39
52,10.2,78.87,182.82,316,420,north,69.14
53,10.4,71.24,177.73,340,456,north,61.44
54,10.6,64.63,171.44,368,540,north,53.34
55,10.8,57.36,166.56,376,600,north,46.69
56,11,50.94,160.96,396,564,west,40.15
57,11.2,44.59,153.8,396,608,west,32.63
58,11.4,39.66,146.1,460,592,west,25.4
59,11.6,34.65,135.57,388,640,west,17.03
60,11.8,31.71,125.84,436,584,west,11.21
61,12,28.56,114.84,420,608,west,10.31
62,12.2,25.11,102.39,468,632,west,16.63
63,12.4,22.19,90.21,452,632,west,26.15
64,12.6,18.97,77.37,452,656,west,37.97
65,12.8,17.27,65.22,368,556,w ext,48.89
66,13,15.71,56.78,316,468,w ext,56.94
67,13.2,15.15,50.5,288,420,w ext,62.74
68,13.4,13.62,43.79,240,400,w ext,69.44
69,13.6,15.25,42.31,212,228,w ext,70.1
70,13.8,15.86,39.43,152,284,w ext,72.51
71,14,19.12,36.58,140,244,w ext,74.02
72,14.2,24.17,34.54,212,272,w ext,74.47
