Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00079.trk,,,,,,
Object,0,,,,,,
Samples,450,,,,,,
id,115,,,,,,
trial,3,,,,,,
date,03:17.0,yyyy-MM-dd HH:mm:ss,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0,170.5,29.66,88,48,e ext,142.23
2,0.2,169.79,30.05,80,64,e ext,141.43
3,0.4,169.77,29.03,68,36,e ext,141.98
4,0.6,169.07,30.43,76,24,e ext,140.62
5,0.8,167.67,32.19,108,88,e ext,138.49
6,1,167.67,32.19,116,64,e ext,138.49
7,1.2,169.12,32.46,132,168,e ext,139.55
8,1.4,169.19,35.48,148,176,e ext,137.94
9,1.6,169.24,37.49,252,176,e ext,136.91
10,1.8,169.35,41.49,260,224,e ext,134.91
11,2,168.69,43.79,296,164,e ext,133.18
12,2.2,168.79,46.75,280,192,e ext,131.81
13,2.4,168.14,49.01,308,196,e ext,130.16
14,2.6,167.45,50.26,288,180,e ext,128.96
15,2.8,166.04,51.77,300,212,e ext,127.01
16,3,165.35,52.98,312,236,e ext,125.84
17,3.2,164.6,52.29,308,236,e ext,125.49
18,3.4,164.5,49.43,348,128,e ext,126.76
19,3.6,163.02,48.07,288,356,e ext,126.13
20,3.8,162.33,49.29,288,248,e ext,124.93
21,4,161.65,50.49,316,244,e ext,123.75
22,4.2,158.83,52.42,360,212,east,120.35
23,4.4,154.69,57.38,428,348,east,114.35
24,4.6,149.83,61.34,460,416,east,108.22
25,4.8,145.01,65.83,504,444,east,101.9
26,5,138.83,71.01,528,536,east,94.1
27,5.2,133.35,75.64,536,536,east,87.2
28,5.4,127.88,80.67,584,536,east,80.21
29,5.6,121,84.69,572,644,east,72.34
30,5.8,114.8,86.98,568,684,east,65.73
31,6,106.52,85.64,552,696,south,58.63
32,6.2,100.31,82.1,560,600,south,54.81
33,6.4,94.77,77.05,596,652,south,52.98
34,6.6,89.15,69.59,584,700,south,53.64
35,6.8,84.09,61.74,568,664,south,56.44
36,7,78.83,52.53,552,648,south,61.39
37,7.2,73.34,43.39,584,640,south,67.39
38,7.4,67.5,32.54,592,680,south,76.02
39,7.6,63.83,23.34,504,592,south,84.26
40,7.8,61.54,13.19,412,500,s ext,93.87
41,8,61.33,10.23,332,200,s ext,96.76
42,8.2,60.26,6.89,236,144,s ext,99.92
43,8.4,63.13,12.83,100,224,s ext,94.47
44,8.6,62.16,10.55,152,156,s ext,96.57
45,8.8,59.58,8.56,164,148,s ext,98.18
46,9,58.97,11.22,192,172,s ext,95.46
47,9.2,56.6,12.19,272,152,s ext,94.24
48,9.4,54.31,14.13,344,192,s ext,92.11
49,9.6,51.32,17.69,344,256,s ext,88.38
50,9.8,48.33,21.22,304,280,s ext,84.77
51,10,45.06,21.77,248,264,s ext,84.24
52,10.2,44.38,23.39,240,192,s ext,82.63
53,10.4,40.31,24.56,208,312,s ext,81.61
54,10.6,41.35,26.92,204,228,s ext,79.2
55,10.8,43.16,28.6,244,176,s ext,77.44
56,11,46.8,32.81,328,268,south,73.18
57,11.2,51.11,36.18,340,308,south,69.9
58,11.4,56.19,40.51,396,280,south,66.07
59,11.6,60.29,43.45,372,304,south,63.85
60,11.8,64.31,46.23,316,272,south,61.97
61,12,68.21,48.01,344,300,south,61.33
62,12.2,68.91,46.52,324,300,south,62.96
63,12.4,70.38,45.21,412,240,south,64.67
64,12.6,71.08,43.71,412,240,south,66.32
65,12.8,72.51,41.54,428,408,south,68.84
