Track file,I:\Rat Navigation Data\exp nesté 1morris_0003\data\track_00076.trk,,,,,,,
Object,0,,,,,,,
Samples,107,,,,,,,
id,101,,,,,,,
trial,4,,,,,,,
date,22:52.0,yyyy-MM-dd HH:mm:ss,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,166.54,44.71,204,212,e ext,130.85,-
2,0.2,166.6,46.66,232,156,e ext,129.94,1.95
3,0.4,167.38,48.31,256,272,e ext,129.82,1.83
4,0.6,168.14,49.01,224,192,e ext,130.16,1.03
5,0.8,168.17,49.98,264,144,e ext,129.73,0.98
6,1,168.29,52.91,284,308,e ext,128.49,2.93
7,1.2,166.91,55.36,288,316,e ext,126.18,2.81
8,1.4,165.5,56.79,356,196,e ext,124.28,2.02
9,1.6,163.36,58.43,348,272,east,121.65,2.69
10,1.8,161.99,60.72,324,216,east,119.44,2.67
11,2,159.83,61.33,312,236,east,117.22,2.25
12,2.2,159.14,62.44,360,224,east,116.13,1.3
13,2.4,156.31,64.08,368,480,east,112.88,3.27
14,2.6,155.66,66.02,352,328,east,111.49,2.05
15,2.8,155.04,68.82,460,284,east,109.83,2.86
16,3,153.77,73.44,456,324,east,106.97,4.79
17,3.2,153.2,77,420,260,east,105.25,3.6
18,3.4,153.39,81.28,380,240,east,104.15,4.28
19,3.6,153.52,83.84,368,252,east,103.59,2.57
20,3.8,152.15,85.68,436,396,east,101.8,2.3
21,4,151.51,87.43,452,248,east,100.76,1.86
22,4.2,149.36,88.43,464,324,east,98.45,2.36
23,4.4,147.22,89.39,456,328,east,96.15,2.35
24,4.6,145.09,90.33,488,312,east,93.86,2.33
25,4.8,142.97,91.23,488,488,east,91.59,2.31
26,5,140.91,93.68,516,420,east,89.09,3.2
27,5.2,139.57,96.06,520,348,east,87.34,2.73
28,5.4,137.54,99.16,504,296,east,84.81,3.71
29,5.6,136.26,102.97,520,304,east,83.03,4.02
30,5.8,134.92,105.21,528,296,east,81.46,2.61
31,6,133.6,108.17,492,524,east,79.94,3.24
