Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00009.trk,,,,,,
Object,0,,,,,,
Samples,450,,,,,,
id,87,,,,,,
trial,1,,,,,,
date,43:33.0,yyyy-MM-dd HH:mm:ss,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0,74.11,-2.76,124,220,s ext,111.89
2,0.2,-,-,-,-,-,-
3,0.4,79.17,2.75,96,-,s ext,107.82
4,0.6,78.37,2.52,124,68,s ext,107.82
5,0.8,77.73,5.25,204,272,s ext,105.02
6,1,72.1,3.5,108,272,s ext,105.35
7,1.2,69.78,4.65,132,168,s ext,103.74
8,1.4,71.47,6.2,288,228,s ext,102.57
9,1.6,68.21,5.07,296,304,s ext,103.03
10,1.8,60.79,3.17,172,300,s ext,103.68
11,2,61.86,6.56,284,328,s ext,100.47
12,2.2,59.5,7.56,252,312,s ext,99.17
13,2.4,54.06,11.13,152,348,s ext,95.09
14,2.6,52.69,14.42,160,192,s ext,91.71
15,2.8,52.94,17.4,304,352,s ext,88.76
16,3,47.72,23.82,324,404,s ext,82.17
17,3.2,42.55,31.19,356,432,south,74.88
18,3.4,36.56,39.29,380,520,west,67.31
19,3.6,31.53,49.83,428,544,west,57.88
20,3.8,26.35,59.7,428,544,west,49.81
21,4,22.01,71.14,428,576,west,41.35
22,4.2,18.44,83.13,448,644,west,33.83
23,4.4,13.82,94.53,396,516,w ext,30.36
24,4.6,9.01,104.53,384,428,w ext,30.96
25,4.8,4.04,113.07,352,368,w ext,34.83
26,5,2.5,120.62,264,368,w ext,36.82
27,5.2,3.43,122.6,192,200,w ext,36.26
28,5.4,4.48,133.91,144,280,w ext,38.69
29,5.6,6.21,135.57,248,272,w ext,37.93
30,5.8,7.92,141.26,252,380,w ext,39.55
31,6,8.69,149.1,276,320,w ext,43.83
32,6.2,10.22,155.56,288,324,w ext,47.43
33,6.4,12.51,161.58,268,348,w ext,50.82
34,6.6,14.82,164.49,252,232,w ext,52.04
35,6.8,15.67,163.16,140,280,w ext,50.47
36,7,17.29,162.49,132,120,w ext,49.05
37,7.2,19.46,167.23,264,204,w ext,52.1
38,7.4,21.77,168.08,248,264,w ext,51.85
39,7.6,24.94,166.71,292,300,w ext,49.33
40,7.8,28.83,166,292,344,w ext,47.34
41,8,35.82,163.31,272,412,west,43.01
42,8.2,41.97,161.19,348,380,west,40.16
43,8.4,49.52,159.74,396,448,west,38.79
44,8.6,57,158.64,404,432,west,38.91
45,8.8,65.92,158.46,452,520,north,41.59
46,9,74.82,159.6,428,576,north,46.87
47,9.2,83.05,161.38,404,504,north,53.16
48,9.4,89.88,163.67,396,384,north,59.21
49,9.6,96.8,164.01,372,416,north,64.15
50,9.8,103.79,164.72,380,424,north,69.73
51,10,110.04,164.86,412,384,north,74.6
52,10.2,113.97,164.78,400,420,north,77.65
53,10.4,117.81,163.15,336,352,north,79.84
54,10.6,118.41,160.05,388,340,north,78.65
55,10.8,116.62,155.72,432,316,north,74.79
56,11,110.97,149.35,448,432,north,66.67
57,11.2,104.05,144.03,432,472,north,58.02
58,11.4,95.13,138.35,468,588,north,47.47
59,11.6,86.45,132.54,504,604,north,37.08
60,11.8,78.63,126.38,508,644,west,27.4
61,12,71.61,118.91,512,652,west,18.52
62,12.2,64.51,111.28,528,640,west,10.79
63,12.4,58.71,103.25,512,608,west,8.41
64,12.6,53.45,93.96,480,592,west,13.07
65,12.8,48.69,84.06,444,548,west,21.96
66,13,45.25,74.51,392,532,west,31.5
67,13.2,41.81,68.76,372,540,west,37.43
68,13.4,36.68,64.12,392,556,west,42.8
69,13.6,32.42,62.19,420,460,west,45.63
70,13.8,28.41,64.94,432,316,west,44.19
71,14,24.49,69.73,440,376,west,41.37
72,14.2,19.72,75.55,440,392,west,39
73,14.4,13.18,82.49,424,416,w ext,38
74,14.6,6.42,87.92,384,432,w ext,40.12
75,14.8,2.15,91.84,304,304,w ext,41.82
76,15,1.37,93.95,272,288,w ext,41.6
77,15.2,1.61,98.27,260,260,w ext,39.79
78,15.4,1.87,103.63,268,272,w ext,38.13
