Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00040.trk,,,,,,
Object,0,,,,,,
Samples,450,,,,,,
id,118,,,,,,
trial,4,,,,,,
date,14:53.0,yyyy-MM-dd HH:mm:ss,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0,-,-,-,-,-,-
2,0.2,-,-,-,-,-,-
3,0.4,-,-,-,-,-,-
4,0.6,-,-,-,-,-,-
5,0.8,188.82,154.57,112,-,e ext,140.91
6,1,186.42,155.82,164,172,e ext,138.95
7,1.2,184.76,156.26,132,120,e ext,137.49
8,1.4,182.19,156.36,80,140,e ext,135.07
9,1.6,-,-,-,-,-,-
10,1.8,-,-,-,-,-,-
11,2,-,-,-,-,-,-
12,2.2,-,-,-,-,-,-
13,2.4,175.87,154.14,104,-,east,128.37
14,2.6,173.94,152.51,152,120,east,126.05
15,2.8,171.88,149.91,200,192,east,123.34
16,3,171.59,147.9,204,132,east,122.52
17,3.2,169.18,142.46,304,308,east,118.85
18,3.4,168.53,137.6,316,268,east,117.2
19,3.6,167.08,132.6,372,344,east,114.87
20,3.8,166.18,125.03,364,328,east,112.98
21,4,165.35,117.56,380,352,east,111.66
22,4.2,162.4,111.81,412,392,east,108.63
23,4.4,158.8,106.24,412,360,east,105.21
24,4.6,153.01,100.05,456,492,platform reversal,100
25,4.8,148.2,94.27,448,488,platform reversal,96.15
26,5,143.52,87.21,500,500,east,93.06
27,5.2,139.05,81.24,552,500,east,90.49
28,5.4,134.03,74.8,564,572,east,88.16
29,5.6,129.15,68.51,572,568,east,86.59
30,5.8,124.37,62.28,544,588,south,85.77
31,6,118.94,57.59,560,584,south,83.99
32,6.2,113.49,55.04,592,536,south,81.36
33,6.4,107.31,53.83,572,524,south,77.63
34,6.6,101.06,53.85,580,568,south,73.25
35,6.8,94.73,55.12,624,532,south,68.16
36,7,89.07,57.72,592,496,south,62.62
37,7.2,82.63,60.05,556,532,south,57.01
38,7.4,75.38,62.87,508,544,south,50.7
39,7.6,67.99,64,456,572,south,46.29
40,7.8,61.23,65.15,472,448,south,42.89
41,8,52.77,65.93,440,512,west,40.41
42,8.2,45.69,66.13,428,452,west,39.87
43,8.4,37.56,65.22,400,508,west,41.55
44,8.6,32.42,62.19,364,356,west,45.63
45,8.8,27,57.02,368,308,west,52.13
46,9,24.14,53.29,308,300,west,56.59
47,9.2,23,50,304,228,w ext,60.07
48,9.4,20.03,46.04,248,296,w ext,64.83
49,9.6,18.72,41.53,208,344,w ext,69.5
50,9.8,20.24,39.05,240,200,w ext,71.31
51,10,22.67,36.96,284,188,w ext,72.56
52,10.2,26.88,35.62,268,192,w ext,72.76
53,10.4,32.03,35.68,232,252,w ext,71.61
54,10.6,37.27,37.66,284,236,south,68.84
55,10.8,44.08,40.1,272,340,south,65.92
56,11,49.9,42.05,304,328,south,63.98
57,11.2,55.55,42.93,348,380,south,63.58
58,11.4,59.4,41.47,332,424,south,65.62
59,11.6,62.34,38,392,468,south,69.58
60,11.8,64.53,35.17,408,368,south,72.79
61,12,65.82,30.28,420,372,south,77.84
62,12.2,65.66,27.55,464,348,south,80.47
63,12.4,64.75,25.46,492,348,south,82.35
64,12.6,62.96,22.12,492,328,s ext,85.29
65,12.8,60.44,20.31,396,288,s ext,86.67
66,13,57.13,19.07,324,272,s ext,87.46
67,13.2,57.96,19.38,356,176,s ext,87.24
68,13.4,55.39,17.44,284,168,s ext,88.91
69,13.6,53.62,15.77,248,236,s ext,90.43
70,13.8,53.54,14.78,284,228,s ext,91.41
71,14,54.23,13.14,272,100,s ext,93.1
72,14.2,56.76,14.18,272,264,s ext,92.28
73,14.4,58.43,14.84,280,192,s ext,91.81
74,14.6,60.1,15.49,284,148,s ext,91.39
75,14.8,63.39,16.71,332,176,s ext,90.7
76,15,65.84,17.57,372,184,s ext,90.31
77,15.2,68.26,18.38,324,176,s ext,89.99
78,15.4,69.06,18.64,340,136,s ext,89.91
79,15.6,70.71,20.07,360,148,s ext,88.89
80,15.8,72.3,20.55,380,132,s ext,88.83
81,16,73.87,21,404,120,s ext,88.82
82,16.2,74.61,20.3,396,104,s ext,89.7
83,16.4,76.18,20.73,408,100,s ext,89.74
84,16.6,76.96,20.93,404,84,s ext,89.79
85,16.8,77.74,21.13,428,112,south,89.84
86,17,79.28,21.51,440,124,south,89.98
87,17.2,80.79,20.96,500,148,south,91
88,17.4,81.55,21.14,492,112,south,91.11
89,17.6,83.08,21.47,520,132,south,91.36
90,17.8,84.6,21.78,512,176,south,91.64
91,18,86.87,22.2,508,164,south,92.15
92,18.2,87.62,22.33,540,288,south,92.35
93,18.4,89.89,23.57,504,292,south,92.19
94,18.6,91.42,25.54,580,220,south,91.13
95,18.8,94.43,29.33,664,372,south,89.27
96,19,96.64,32.06,664,368,south,88.09
97,19.2,100.28,37.24,672,472,south,85.79
98,19.4,103.83,42.16,648,488,south,83.95
99,19.6,107.32,45.29,596,508,south,83.81
100,19.8,110.78,47.49,552,428,south,84.56
101,20,114.21,48.8,552,400,south,86.08
102,20.2,117.62,50.03,580,356,south,87.76
103,20.4,120.34,50.47,528,268,south,89.53
104,20.6,122.37,51.75,524,260,south,90.28
105,20.8,124.4,52.22,500,264,south,91.59
106,21,126.43,53.46,508,336,south,92.47
107,21.2,128.46,54.68,496,268,south,93.41
108,21.4,130.5,57.46,488,344,east,93.54
109,21.6,132.54,59.44,556,324,east,94.16
110,21.8,134.59,61.43,576,292,east,94.85
111,22,137.36,64.09,524,372,east,95.91
112,22.2,140.13,65.17,532,312,east,97.84
113,22.4,142.93,66.25,536,348,east,99.84
114,22.6,147.15,67.05,512,416,east,103.3
115,22.8,151.39,67,496,368,east,107.2
116,23,155.72,67.78,444,372,east,110.86
117,23.2,160.12,68.59,384,372,east,114.64
118,23.4,163.86,69.59,428,276,east,117.77
119,23.6,167.78,72.54,408,340,east,120.5
120,23.8,171.05,75.79,416,272,east,122.64
121,24,174.34,78.19,400,320,e ext,125.16
122,24.2,176.3,82.95,432,392,e ext,125.93
123,24.4,177.72,89.91,448,344,e ext,125.97
124,24.6,179.23,96.98,432,336,e ext,126.4
125,24.8,182.61,105.25,440,408,e ext,129.04
126,25,185.48,114.87,420,428,e ext,131.73
127,25.2,189.41,124.98,324,424,e ext,136.12
128,25.4,191.46,132.92,324,336,e ext,139.01
129,25.6,192.87,141.94,340,352,e ext,141.92
130,25.8,194.04,154.24,340,384,e ext,145.84
131,26,194.17,165.12,312,396,e ext,149.21
132,26.2,195.68,173.36,240,312,e ext,153.52
133,26.4,193.84,177.93,188,356,e ext,153.61
134,26.6,190.81,180.77,204,288,e ext,152.02
135,26.8,188.95,185.14,284,304,e ext,152.29
136,27,185.13,188.43,252,392,e ext,150.45
137,27.2,181.71,193.87,220,304,e ext,150.22
138,27.4,176.1,196.97,204,312,n ext,147.13
139,27.6,169.88,201.66,164,352,n ext,144.58
140,27.8,166.94,205.08,188,288,n ext,144.21
141,28,164.77,207.9,152,268,n ext,144.23
142,28.2,162.58,210.73,96,216,n ext,144.31
143,28.4,156.8,207.58,84,164,n ext,137.86
144,28.6,151.91,204.07,200,220,n ext,131.86
145,28.8,145.27,199.9,268,292,n ext,124.12
146,29,136.11,194.99,300,376,n ext,114.01
147,29.2,127.22,190.75,288,396,n ext,104.61
148,29.4,118.52,186.26,320,416,north,95.25
149,29.6,109.25,182.3,328,464,north,85.99
150,29.8,99.45,179.04,380,484,north,77.15
151,30,91.47,176.72,352,500,north,70.46
152,30.2,82.11,174.23,340,484,north,63.13
153,30.4,73.69,172.45,372,496,north,57.55
154,30.6,66.85,172.65,324,424,north,55.17
155,30.8,60.79,173.09,332,416,north,53.84
156,31,53.98,174.05,304,364,north,53.49
157,31.2,50.26,173.51,252,260,north,52.57
158,31.4,47.3,172.8,256,252,west,51.66
159,31.6,44.5,169.55,300,348,west,48.39
160,31.8,41.73,165.46,348,328,west,44.43
161,32,38.31,159.03,392,412,west,38.4
162,32.2,34.05,152.76,420,452,west,33.14
163,32.4,30.43,146.94,412,488,west,29.04
164,32.6,25.92,140.22,412,488,west,25.63
165,32.8,20.41,133.31,384,492,west,24.75
166,33,15.48,125.73,376,504,w ext,25.35
167,33.2,10.28,117.59,384,448,w ext,28.72
168,33.4,7.48,110.73,320,352,w ext,31.48
169,33.6,6.33,103.55,260,348,w ext,33.79
170,33.8,7.87,98.38,248,276,w ext,33.88
171,34,10.27,93.35,292,244,w ext,34
172,34.2,11.65,86.35,320,284,w ext,36.67
173,34.4,13.06,80.46,336,328,w ext,39.48
174,34.6,14.3,72.6,336,360,w ext,44.58
175,34.8,16.38,65.02,348,380,w ext,49.55
176,35,17.43,56.26,380,400,w ext,56.58
177,35.2,19.32,47.8,324,376,w ext,63.45
178,35.4,21.36,41.49,308,320,w ext,68.65
179,35.6,24.17,34.54,248,308,w ext,74.47
180,35.8,26.37,30.44,248,280,w ext,77.93
181,36,29.36,25.72,284,332,s ext,81.89
182,36.2,30.63,21.29,236,280,s ext,86.01
183,36.4,32.69,16.22,272,268,s ext,90.7
184,36.6,34.17,13.9,260,268,s ext,92.81
185,36.8,36.55,12.02,220,240,s ext,94.42
186,37,40.02,12.67,224,244,s ext,93.5
187,37.2,42.67,13.91,256,232,s ext,92.15
188,37.4,45.2,14.07,256,232,s ext,91.93
189,37.6,49.53,15.97,244,220,s ext,90.04
190,37.8,52.86,16.41,236,200,s ext,89.74
191,38,56.15,16.79,280,188,s ext,89.62
192,38.2,58.72,18.73,288,232,s ext,87.98
193,38.4,61.13,18.69,312,152,s ext,88.36
194,38.6,63.59,19.57,316,188,s ext,87.91
195,38.8,65.21,20.13,320,140,s ext,87.67
196,39,68.43,21.19,364,196,s ext,87.28
197,39.2,70.76,21,412,208,s ext,88
198,39.4,73.14,21.7,432,196,south,87.94
199,39.6,75.49,22.35,448,216,south,87.99
200,39.8,77.82,22.95,472,248,south,88.14
201,40,80.89,23.67,484,260,south,88.51
202,40.2,83.97,25.2,496,236,south,88.24
203,40.4,86.23,25.62,496,224,south,88.78
204,40.6,88.5,26.86,452,244,south,88.63
205,40.8,89.98,27.08,496,204,south,89.1
206,41,92.21,28.23,480,208,south,89.13
207,41.2,94.43,29.33,496,208,south,89.27
208,41.4,96.62,30.37,504,200,south,89.51
209,41.6,98.07,31.31,472,176,south,89.5
210,41.8,99.52,32.23,544,176,south,89.53
211,42,100.95,33.12,512,224,south,89.59
212,42.2,102.38,33.99,476,228,south,89.67
213,42.4,103.8,34.83,480,164,south,89.79
214,42.6,105.22,36.47,464,184,south,89.3
215,42.8,106.63,38.08,468,164,south,88.89
216,43,108.02,38.85,456,188,south,89.16
217,43.2,109.41,40.41,452,196,south,88.86
218,43.4,110.1,41.98,472,188,south,88.13
219,43.6,112.17,44.24,480,208,south,87.87
220,43.8,112.85,44.98,504,160,south,87.81
221,44,114.22,47.24,496,200,south,87.18
222,44.2,114.9,47.96,496,200,south,87.16
223,44.4,116.26,49.39,500,172,south,87.18
224,44.6,116.93,50.88,484,168,south,86.68
225,44.8,117.6,52.36,528,164,south,86.22
226,45,118.96,53.75,500,188,south,86.37
227,45.2,119.64,54.45,492,120,south,86.47
228,45.4,120.31,55.14,484,160,south,86.57
229,45.6,120.98,56.59,480,148,south,86.22
230,45.8,121.66,57.27,476,180,south,86.36
231,46,123.02,57.87,440,212,south,87.12
232,46.2,123.7,58.54,472,144,south,87.28
233,46.4,124.38,58.45,472,144,south,87.9
234,46.6,125.73,59.02,464,192,south,88.7
235,46.8,126.41,60.47,456,184,south,88.47
236,47,127.09,61.14,444,172,south,88.67
237,47.2,128.45,61.7,436,200,east,89.5
238,47.4,128.45,62.47,436,184,east,89.08
239,47.6,129.13,63.14,460,152,east,89.3
240,47.8,130.5,64.48,436,176,east,89.77
241,48,131.88,65.82,440,140,east,90.28
242,48.2,132.57,66.49,420,148,east,90.56
243,48.4,133.26,67.94,448,148,east,90.48
244,48.6,134.65,69.29,424,160,east,91.09
245,48.8,135.35,69.96,440,144,east,91.41
246,49,136.05,70.64,440,104,east,91.74
247,49.2,136.76,72.11,452,108,east,91.76
248,49.4,137.48,73.58,440,140,east,91.81
249,49.6,138.19,74.27,428,140,east,92.19
250,49.8,138.92,75.75,408,156,east,92.29
251,50,138.94,76.53,396,68,east,92.01
252,50.2,139.66,77.24,428,128,east,92.43
253,50.4,139.68,78.02,448,156,east,92.16
254,50.6,139.72,79.6,420,140,east,91.66
255,50.8,139.76,81.17,408,148,east,91.18
