Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00066.trk,,,,,,
Object,0,,,,,,
Samples,259,,,,,,
id,100,,,,,,
trial,2,,,,,,
date,32:17.0,yyyy-MM-dd HH:mm:ss,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0,128.09,182.04,296,288,north,99.45
2,0.2,124.96,174.12,344,368,north,92.06
3,0.4,121.12,165.55,396,436,north,83.92
4,0.6,117.58,159.08,396,440,north,77.41
5,0.8,112.56,151.12,376,500,north,68.93
6,1,107.07,145.09,404,452,north,61.17
7,1.2,101.01,138.68,452,464,north,52.86
8,1.4,96.59,133.43,464,468,north,46.69
9,1.6,92.28,127.69,464,408,north,40.7
10,1.8,88.07,120.04,496,544,north,34.86
11,2,83.2,112.48,476,532,west,29.43
12,2.2,79.76,104.9,488,548,west,26.92
13,2.4,77,96.49,476,588,west,27.42
14,2.6,74.88,87.18,524,576,west,31.14
15,2.8,74.12,77.7,452,608,south,37.67
16,3,74,68,448,564,south,45.62
17,3.2,75.3,59,468,516,south,54.02
18,3.4,78.81,51.74,496,508,south,62.07
19,3.6,83.07,45.24,548,516,south,69.82
20,3.8,87.33,39.37,628,496,south,77.03
21,4,93.03,32.58,584,604,south,85.76
22,4.2,97.26,25.26,532,556,south,94.21
23,4.4,100.8,19.3,448,444,s ext,101.14
24,4.6,102.9,13.03,304,360,s ext,107.62
25,4.8,102.84,8.39,240,256,s ext,111.64
26,5,102.84,8.39,240,152,s ext,111.64
27,5.2,102.85,9.33,240,160,s ext,110.82
28,5.4,102.89,12.11,272,320,s ext,108.41
29,5.6,100.71,12.96,364,380,s ext,106.61
30,5.8,97.09,15.46,416,412,s ext,102.69
31,6,92.01,19.42,460,452,s ext,96.85
32,6.2,88.4,23.34,564,400,south,91.75
33,6.4,83.33,28.57,568,516,south,84.9
34,6.6,77.55,35.1,620,604,south,76.65
35,6.8,71.01,42.02,508,672,south,67.89
