Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00046.trk,,,,,,
Object,0,,,,,,
Samples,450,,,,,,
id,121,,,,,,
trial,2,,,,,,
date,31:36.0,yyyy-MM-dd HH:mm:ss,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0,94.51,116.73,500,460,north,40.85
2,0.2,89.54,115.95,520,428,north,35.85
3,0.4,85.28,115.91,492,452,west,31.59
4,0.6,82.39,117.98,452,392,west,28.93
5,0.8,80.91,120.76,508,400,west,28
6,1,80.85,123.53,468,376,west,28.56
7,1.2,82.95,126.28,492,352,north,31.4
8,1.4,85.76,130.44,476,408,north,35.55
9,1.6,90.05,133.96,488,444,north,40.94
10,1.8,95.87,138.38,472,464,north,48.13
11,2,101.07,143.77,476,476,north,55.3
12,2.2,108.71,149.8,436,576,north,64.95
13,2.4,115.88,156.36,472,548,north,74.52
14,2.6,123.37,163.64,420,532,north,84.75
15,2.8,131.08,169.98,428,496,north,94.67
16,3,139.9,176.45,408,460,north,105.59
17,3.2,147.97,181.43,360,416,north,115.07
18,3.4,157.09,186.38,332,396,n ext,125.41
19,3.6,165.58,191.46,288,364,n ext,135.3
20,3.8,171.27,194.39,224,264,n ext,141.67
21,4,177.48,199.77,208,232,n ext,149.8
22,4.2,177.48,199.77,180,84,n ext,149.8
23,4.4,176.1,196.97,160,148,n ext,147.13
24,4.6,176.3,198.1,104,128,n ext,147.91
25,4.8,175.32,197.57,152,96,n ext,146.8
26,5,174.75,199.28,208,112,n ext,147.25
27,5.2,172.22,199.92,220,196,n ext,145.5
28,5.4,167.17,201.19,212,248,n ext,142.09
29,5.6,163.09,202.97,272,252,n ext,139.87
30,5.8,157.42,205.92,228,300,n ext,137.27
31,6,150.94,209.51,184,324,n ext,134.75
32,6.2,147.6,210.82,160,224,n ext,133.21
33,6.4,142.11,209.15,128,232,n ext,128.12
34,6.6,138.28,206.43,164,188,n ext,123.49
35,6.8,133.61,203.48,212,176,n ext,118.11
36,7,127.24,200.07,236,248,n ext,111.25
37,7.2,122.76,197.58,248,188,n ext,106.39
38,7.4,115.64,192.7,296,320,n ext,98.01
39,7.6,108.69,187.46,308,348,north,89.52
40,7.8,101.16,182.68,360,428,north,81.08
41,8,93.85,177.69,356,468,north,72.68
42,8.2,84.43,174.98,356,520,north,65
43,8.4,75.95,173.84,332,504,north,59.79
44,8.6,67.55,174.17,360,460,north,56.84
45,8.8,60.67,175.6,348,436,north,56.25
46,9,52.26,177.93,296,468,n ext,57.17
47,9.2,46.07,180.91,264,368,n ext,59.74
48,9.4,40.5,185.77,184,288,w ext,64.78
49,9.6,38.89,187.37,144,144,w ext,66.51
50,9.8,38.17,186.8,128,128,w ext,66.01
51,10,37.51,185.31,108,132,w ext,64.6
52,10.2,36.86,183.83,160,164,w ext,63.19
53,10.4,34.65,183.05,192,160,w ext,62.69
54,10.6,31.77,180.8,296,216,w ext,60.95
55,10.8,28.99,176.69,288,248,w ext,57.56
56,11,26.22,171.61,296,304,w ext,53.48
57,11.2,21.94,164.3,312,392,w ext,48.36
58,11.4,18.27,157.36,320,408,w ext,44.15
59,11.6,14.46,149.16,324,436,w ext,39.82
60,11.8,9.6,141.79,296,444,w ext,38.47
61,12,6.22,137.63,240,272,w ext,38.98
62,12.2,5.33,132.68,216,264,w ext,37.39
63,12.4,6.16,129.41,256,272,w ext,35.36
64,12.6,7.79,122.98,268,268,w ext,32.03
65,12.8,10.23,115.59,320,300,w ext,28.64
66,13,12.59,107.43,320,352,w ext,26.91
67,13.2,14.9,99.49,380,404,west,27
68,13.4,17.87,88.9,372,504,west,30.22
69,13.6,19.95,79.46,356,456,west,35.7
70,13.8,22.01,71.14,360,428,west,41.35
71,14,24.02,62.93,364,380,west,47.69
72,14.2,25.1,54.55,308,376,west,55.08
73,14.4,26.29,48.14,324,400,west,60.81
74,14.6,25.76,42.1,328,372,w ext,66.77
75,14.8,24.28,35.59,308,364,w ext,73.44
76,15,23.05,32.07,248,172,w ext,77.15
77,15.2,21.8,28.49,276,236,w ext,80.93
78,15.4,24.23,26.49,280,316,w ext,82.26
79,15.6,26.64,24.52,292,244,s ext,83.64
80,15.8,30.74,22.34,316,240,s ext,84.96
81,16,34.92,21.24,304,284,s ext,85.43
82,16.2,39.74,18.48,256,304,s ext,87.72
83,16.4,44.52,15.72,256,288,s ext,90.29
84,16.6,47.72,14.22,256,224,s ext,91.77
85,16.8,51.84,14.06,252,212,s ext,92.03
86,17,56.84,15.16,336,284,s ext,91.31
87,17.2,62.71,18.33,420,380,s ext,88.98
88,17.4,69.28,22.37,488,444,south,86.33
89,17.6,75.69,26.86,632,536,south,83.76
90,17.8,82.69,31.89,672,640,south,81.6
91,18,91.65,36.61,664,776,south,81.59
92,18.2,100.3,41.3,628,740,south,82.5
93,18.4,110.1,44.38,632,780,south,86.35
94,18.6,118.31,48.38,620,756,south,89.38
95,18.8,126.44,51.88,568,724,south,93.42
96,19,133.9,55.19,516,700,east,97.63
97,19.2,142.13,59.02,540,672,east,102.56
98,19.4,149.19,64.07,476,656,east,106.43
99,19.6,155.04,68.82,456,524,east,109.83
100,19.8,161.16,74.77,396,540,east,113.51
101,20,166.77,80.36,360,532,east,117.29
102,20.2,171.71,84.52,356,428,east,121.1
103,20.4,175.07,87.12,340,344,e ext,123.88
104,20.6,179.92,87.66,276,248,e ext,128.55
105,20.8,182.44,88.47,268,208,e ext,130.87
106,21,186.74,90.25,260,280,e ext,134.8
107,21.2,188.89,94.49,284,224,e ext,136.3
108,21.4,191.23,99.96,300,240,e ext,138.02
109,21.6,193.08,107.82,308,288,e ext,139.39
110,21.8,194.73,113.54,276,224,e ext,140.96
111,22,195.7,120.41,264,236,e ext,142.1
112,22.2,195.66,126.02,176,248,e ext,142.42
113,22.4,195.45,130.45,140,140,e ext,142.67
114,22.6,193.62,135.58,80,172,e ext,141.53
115,22.8,192.88,136.5,120,112,e ext,140.96
116,23,189.27,135.65,144,144,e ext,137.25
117,23.2,186.43,133.94,264,176,e ext,134.18
